,포지션,회사명,지역명,경력,링크
0,NLP 개발자,베링랩,서울 마포구 , 경력 3-10년,/wd/157380
1,시니어 개발자 (Rust),베링랩,서울 마포구 , 경력 5-10년,/wd/206209
2,Head of Architecture,인터엑스,서울 금천구 , 경력 10년 이상,/wd/256936
3,"Physical AI Research Scientist (강화학습, 시뮬레이션)",인터엑스,서울 금천구 , 신입,/wd/261251
4,AI Model Optimization Engineer (CPU/GPU/NPU),인터엑스,울산 중구 , 경력 3-15년,/wd/252960
5,Data Engineer,엘박스,서울 강남구 , 경력 3년 이상,/wd/251752
6,[EQST Lab] AI 보안 연구,에스케이쉴더스(SK쉴더스),경기 성남시 , 경력 3-10년,/wd/267714
7,AI/ML 엔지니어,와탭랩스(WhaTapLabs),서울 서초구 , 경력 5년 이상,/wd/244545
8,Vision AI 개발자,넥스트랩,서울 강남구 , 신입-경력 5년,/wd/267710
9,영상 인식 알고리즘 개발 엔지니어,모본,서울 강남구 , 신입-경력 8년,/wd/136818
10,ML engineer 주니어,에이아이구루,서울 서초구 , 경력 1-6년,/wd/267684
11,MLOps Engineer (2년 이상),뤼이드(Riiid),서울 강남구 , 경력 2년 이상,/wd/251415
12,AI어플리케이션 개발자 / 3년 이상,필라넷,서울 강남구 , 경력 3-15년,/wd/267483
13,[원티드단독] 머신러닝 엔지니어,강남언니(힐링페이퍼),서울 강남구 , 경력 7년 이상,/wd/256471
14,[원티드단독] 데이터 엔지니어,강남언니(힐링페이퍼),서울 강남구 , 경력 3년 이상,/wd/195243
15,[원티드단독] 자연어처리(NLP) 엔지니어,강남언니(힐링페이퍼),서울 강남구 , 경력 5년 이상,/wd/267657
16,ML Platform Team Leader,하이퍼커넥트,서울 강남구 , 경력 5-15년,/wd/247297
17,웹 개발자,씨알에스큐브(CRScube),서울 마포구 , 경력 3-8년,/wd/267640
18,Backend Engineer,인터엑스,서울 금천구 , 경력 3-10년,/wd/252955
19,NLP/LLM 엔지니어,테스트웍스,서울 송파구 , 경력 3-10년,/wd/267632
20,인공지능 음성 합성(TTS) 전문가,미니레코드,서울 송파구 , 신입-경력 5년,/wd/265105
21,VisionAI 엔진 개발,포지큐브(POSICUBE),서울 강남구 , 경력 3-12년,/wd/267616
22,Data Pipeline Backend Engineer(Seoul),스트라드비젼(STRADVISION),서울 강남구 , 경력 5년 이상,/wd/267610
23,[쿠키런: 모험의탑] 서버 소프트웨어 엔지니어,데브시스터즈(Devsisters),서울 강남구 , 경력 3년 이상,/wd/255010
24,[잡플래닛] Sr.Data Engineer,브레인커머스,서울 강남구 , 경력 5-13년,/wd/117898
25,Python 개발자(4년 이상),자이온아이티에스,서울 서초구 , 경력 4-11년,/wd/267569
26,LLM Agent 개발자,온더플라이,서울 관악구 , 신입,/wd/267543
27,[플레이오] Python 백엔드 개발,지엔에이컴퍼니,서울 서초구 , 경력 3년 이상,/wd/193602
28,Data Engineer,레브잇,서울 관악구 , 경력 7년 이상,/wd/260184
29,Sr. Data Analyst,레브잇,서울 관악구 , 경력 5년 이상,/wd/266293
30,서버 엔지니어 (Kotlin/Spring),페이히어,서울 강남구 , 경력 3-15년,/wd/230925
31,Head of Data,쏘카(SOCAR),서울 성동구 , 경력 10-30년,/wd/267517
32,Software Engineer(Backend),피에프씨테크놀로지스,서울 서초구 , 경력 2년 이상,/wd/267511
33,[인턴] [채널톡] AI Team,채널코퍼레이션,서울 강남구 , 신입,/wd/168348
34,AI Engineer,파워테스크,서울 강남구 , 경력 2-15년,/wd/267405
35,Backend Developer (Senior),바비톡,서울 서초구 , 경력 7년 이상,/wd/228215
36,Backend Developer (Middle),바비톡,서울 서초구 , 경력 5년 이상,/wd/233087
37,[DATA&AI] AI Engineer,베이글코드(Bagelcode),서울 강남구 , 경력 1-5년,/wd/267481
38,백엔드 개발자 (3~5년차),리원엑스,서울 강남구 , 경력 3-5년,/wd/267452
39,AI Engineer,플랜바이테크놀로지스,서울 강남구 , 경력 1-10년,/wd/249770
40,Back-end SWE,휴이노,서울 강남구 , 경력 5년 이상,/wd/267392
41,"CTO (Gen AI, 머신 러닝)",링크12,서울 강남구 , 경력 5-10년,/wd/263133
42,[원티드단독]시니어 AI 엔지니어,웨이커,서울 강남구 , 경력 7-12년,/wd/267362
43,[서울][데이터분석팀]게임 데이터 분석가 (4년 이하),트리노드,서울 강남구 , 경력 1-4년,/wd/249546
44,Data Engineer (5년 이상),알스퀘어,서울 강남구 , 경력 5-20년,/wd/244076
45,프롬프트 엔지니어,버블탭,서울 강남구 , 경력 2년 이상,/wd/265769
46,데이터엔지니어,블리몽키즈,서울 마포구 , 경력 3-10년,/wd/264097
47,Senior Machine Learning Engineer,심플랫폼,서울 금천구 , 경력 5-15년,/wd/263651
48,[개발] 솔루션 개발팀장(9년 이상),혜움,서울 강남구 , 경력 9년 이상,/wd/266015
49,[개발] 백엔드 개발자(5-8년),혜움,서울 강남구 , 경력 5-8년,/wd/263825
50,[채널톡] Machine Learning Engineer,채널코퍼레이션,서울 강남구 , 경력 2-10년,/wd/167547
51,Python 개발자,애드크림,서울 강남구 , 경력 3-20년,/wd/267253
52,Robotics Engineer,씨메스(CMES),서울 강남구 , 경력 3-15년,/wd/256658
53,[인턴] 백엔드 개발자,비모소프트,경기 안양시 , 신입,/wd/250137
54,MLOps 엔지니어 (주니어),라이언로켓,서울 중구 , 경력 1-3년,/wd/267224
55,백엔드 개발자 (Node.js),큐피스트(글램),서울 강남구 , 경력 3-12년,/wd/29390
56,데이터 엔지니어,페이히어,서울 강남구 , 경력 2년 이상,/wd/267167
57,[쿠팡] Staff Data Scientist (Biz Analytics),쿠팡,서울 송파구 , 경력 7-20년,/wd/267159
58,AI 소프트웨어 엔지니어,에버엑스,서울 강남구 , 경력 1년 이상,/wd/264326
59,Financial Analyst,프렉스코리아(Prex),서울 영등포구 , 신입 이상,/wd/259893
60,AI Engineer (병특 전문연구요원가능),코코네엠(coconeM),서울 강남구 , 신입 이상,/wd/255120
61,[Gopax] Wallet Engineer,스트리미(Streami),서울 강남구 , 경력 3-7년,/wd/262179
62,[그루비 SaaS 솔루션] AI 엔지니어 (NLP),플래티어,서울 송파구 , 경력 3-7년,/wd/261357
