,포지션,회사명,지역명,경력,링크
0,소프트웨어 엔지니어,폴라리스오피스,서울 구로구 , 신입-경력 6년,/wd/267736
1,시니어 개발자 (Rust),베링랩,서울 마포구 , 경력 5-10년,/wd/206209
2,Unity 개발자,인터엑스,서울 금천구 , 경력 5-10년,/wd/261266
3,Head of Architecture,인터엑스,서울 금천구 , 경력 10년 이상,/wd/256936
4,AI Model Optimization Engineer (CPU/GPU/NPU),인터엑스,울산 중구 , 경력 3-15년,/wd/252960
5,"Physical AI Research Scientist (강화학습, 시뮬레이션)",인터엑스,서울 금천구 , 신입,/wd/261251
6,Data Engineer,엘박스,서울 강남구 , 경력 3년 이상,/wd/251752
7,QA 엔지니어 (3년 이상),파더스랩,서울 강남구 , 경력 3-10년,/wd/267730
8,[hourplace] React Native 모바일앱 개발자,먼치팩토리,서울 강남구 , 경력 3-10년,/wd/227361
9,DevOps,핸들,서울 서초구 , 경력 3-6년,/wd/267724
10,[hourplace] React 프론트엔드 개발자,먼치팩토리,서울 강남구 , 경력 3-16년,/wd/230222
11,[hourplace] QA,먼치팩토리,서울 강남구 , 경력 3-10년,/wd/250094
12,[hourplace] 웹 퍼블리셔,먼치팩토리,서울 강남구 , 경력 4-10년,/wd/246337
13,[hourplace] Back-end 개발자,먼치팩토리,서울 강남구 , 경력 5-15년,/wd/260944
14,백엔드 개발자 (4년 이상),스토어링크,서울 중구 , 경력 4-8년,/wd/267718
15,[EQST Lab] 신규 보안 취약점 연구,에스케이쉴더스(SK쉴더스),경기 성남시 , 경력 3-10년,/wd/255262
16,[EQST Lab] 악성코드 분석,에스케이쉴더스(SK쉴더스),경기 성남시 , 경력 3-10년,/wd/267716
17,[EQST Lab] AI 보안 연구,에스케이쉴더스(SK쉴더스),경기 성남시 , 경력 3-10년,/wd/267714
18,AI/ML 엔지니어,와탭랩스(WhaTapLabs),서울 서초구 , 경력 5년 이상,/wd/244545
19,프론트엔드 개발자 (React),데이오프컴퍼니,서울 강남구 , 경력 2-7년,/wd/267715
20,RnD팀 소프트웨어 엔지니어,메이사,서울 강남구 , 경력 3-6년,/wd/253416
21,시스템소프트웨어 개발자,넥스트랩,서울 강남구 , 신입-경력 5년,/wd/267713
22,워크농 Flutter App 개발자(2~5년),모두의플래닛,서울 강남구 , 경력 2-5년,/wd/267698
23,프론트엔드 개발자 (3년이상),카테노이드,서울 강남구 , 경력 3-6년,/wd/265931
24,Vision AI 개발자,넥스트랩,서울 강남구 , 신입-경력 5년,/wd/267710
25,Software Engineer (Server Applications),센드버드코리아,서울 강남구 , 경력 6-20년,/wd/228129
26,영상 인식 알고리즘 개발 엔지니어,모본,서울 강남구 , 신입-경력 8년,/wd/136818
27,서버 백엔드 개발자 (Node.js),티피씨인터넷,서울 강남구 , 경력 3-5년,/wd/263125
28,Infra 개발,바텍,경기 화성시 , 신입-경력 20년,/wd/221647
29,DevOps Engineer,오케스트로,서울 영등포구 , 경력 3-25년,/wd/267694
30,[Solution] Product Manager,노타(Nota),서울 강남구 , 경력 6-10년,/wd/261163
31,X-Ray 영상개발,바텍,경기 화성시 , 경력 2-6년,/wd/262149
32,ML engineer 주니어,에이아이구루,서울 서초구 , 경력 1-6년,/wd/267684
33,[Solution] Frontend Software Engineer,노타(Nota),서울 강남구 , 경력 3-5년,/wd/263676
34,MLOps Engineer (2년 이상),뤼이드(Riiid),서울 강남구 , 경력 2년 이상,/wd/251415
35,프론트엔드 개발(7~15년),그립컴퍼니,경기 성남시 , 경력 7-15년,/wd/254174
36,프론트엔드 개발자,씨디알아이(CDRI),서울 강남구 , 경력 3-8년,/wd/206124
37,백엔드 개발자,씨디알아이(CDRI),서울 강남구 , 경력 3-8년,/wd/264022
38,Backend Software Engineer,두핸즈(품고),서울 성동구 , 경력 7년 이상,/wd/263359
39,QA Engineering Lead,두핸즈(품고),서울 성동구 , 경력 5년 이상,/wd/262624
40,Web Frontend Developer,바비톡,서울 서초구 , 경력 7년 이상,/wd/249587
41,모델 개발 (제어기개발팀),슈어소프트테크,대전 유성구 , 경력 5-10년,/wd/267662
42,모델 개발 (SDx플랫폼팀),슈어소프트테크,경기 성남시 , 경력 5-10년,/wd/267668
43,AI어플리케이션 개발자 / 3년 이상,필라넷,서울 강남구 , 경력 3-15년,/wd/267483
44,인공지능 MLOps 플랫폼 백엔드 개발자 (자바/4년 이상),텐,서울 강남구 , 경력 4-20년,/wd/266941
45,[원티드단독] 머신러닝 엔지니어,강남언니(힐링페이퍼),서울 강남구 , 경력 7년 이상,/wd/256471
46,[원티드단독] 데이터 엔지니어,강남언니(힐링페이퍼),서울 강남구 , 경력 3년 이상,/wd/195243
47,Full Stack Engineer,알타바그룹,서울 성동구 , 경력 5년 이상,/wd/267393
48,[원티드단독] 자연어처리(NLP) 엔지니어,강남언니(힐링페이퍼),서울 강남구 , 경력 5년 이상,/wd/267657
49,웹개발자 (Front End),라닉스,서울 강남구 , 경력 4-8년,/wd/267659
50,ML Platform Team Leader,하이퍼커넥트,서울 강남구 , 경력 5-15년,/wd/247297
51,주니어 풀스택 엔지니어,패스트뷰,서울 강남구 , 경력 3-7년,/wd/266444
52,시니어 풀스택 엔지니어,패스트뷰,서울 강남구 , 경력 7-10년,/wd/265557
53,Flutter 개발자 (디지털트윈 & 스마트 솔루션 혁신),시어스랩(Seerslab),서울 서초구 , 경력 3-10년,/wd/267655
54,블록체인 스마트컨트랙트 주니어 개발자,디카르고,서울 강남구 , 경력 1-3년,/wd/267654
55,웹 개발자,씨알에스큐브(CRScube),서울 마포구 , 경력 3-8년,/wd/267640
56,Backend Engineer,인터엑스,서울 금천구 , 경력 3-10년,/wd/252955
57,Frontend Engineer,인터엑스,서울 금천구 , 경력 3-10년,/wd/252956
58,Installer Developer,오케스트로,서울 영등포구 , 경력 3-15년,/wd/267645
59,시스템 검증 (모빌리티솔루션2팀),슈어소프트테크,경기 화성시 , 신입-경력 5년,/wd/267643
60,[개발본부]Frontend 개발자 (4년 이상),엔쓰리엔(N3N),서울 강남구 , 경력 4-10년,/wd/252361
61,윈도우 어플리케이션 개발자,다이나믹큐에스,서울 구로구 , 경력 1-10년,/wd/267621
62,[디어테일] 백엔드 리드 개발자 (3년 이상),페치,서울 강남구 , 경력 3-10년,/wd/258141
63,시니어 백엔드 개발자,레디포스트,서울 강남구 , 경력 5-10년,/wd/267636
64,NLP/LLM 엔지니어,테스트웍스,서울 송파구 , 경력 3-10년,/wd/267632
65,QA 엔지니어,뱅크샐러드,서울 마포구 , 경력 3년,/wd/262991
66,보안 솔루션 운영 담당자 (Endpoint Security Engineer),뱅크샐러드,서울 마포구 , 경력 3-10년,/wd/267594
67,웹 프론트엔드 엔지니어,뱅크샐러드,서울 마포구 , 경력 3년 이상,/wd/267599
68,인공지능 음성 합성(TTS) 전문가,미니레코드,서울 송파구 , 신입-경력 5년,/wd/265105
69,VisionAI 엔진 개발,포지큐브(POSICUBE),서울 강남구 , 경력 3-12년,/wd/267616
70,코딩 교육 콘텐츠 제작자,팀스파르타,서울 강남구 , 경력 1년 이상,/wd/246626
71,[인턴] 코딩 교육 콘텐츠 제작자,팀스파르타,서울 강남구 , 신입,/wd/247091
72,SAP ERP 운영담당자(Seoul),스트라드비젼(STRADVISION),서울 강남구 , 경력 3년 이상,/wd/259381
73,Data Pipeline Backend Engineer(Seoul),스트라드비젼(STRADVISION),서울 강남구 , 경력 5년 이상,/wd/267610
74,임베디드 어플리케이션 개발자,모노리스,서울 영등포구 , 경력 5-12년,/wd/151961
75,시니어 웹 프론트엔드 엔지니어,뱅크샐러드,서울 마포구 , 경력 5년 이상,/wd/267605
76,3D Mesh Processing 개발자 (C++/QT),이우소프트,서울 서초구 , 경력 5-15년,/wd/267601
77,블록체인 서비스 DBA,위메이드(WEMADE),경기 성남시 , 경력 7-10년,/wd/267470
78,모바일 스토어 마켓 관리 담당자,위메이드(WEMADE),경기 성남시 , 경력 3-10년,/wd/267471
79,모바일개발팀 팀원,아이쿱,서울 강남구 , 경력 2년 이상,/wd/267595
80,[쿠키런: 모험의탑] 서버 소프트웨어 엔지니어,데브시스터즈(Devsisters),서울 강남구 , 경력 3년 이상,/wd/255010
81,Product Manager(PM),페이타랩(패스오더),서울 강남구 , 경력 3-10년,/wd/189905
82,[병역특례] Windows 개발자(산업기능요원/보충역/전직),페이타랩(패스오더),서울 강남구 , 신입-경력 10년,/wd/242364
83,"Windows 개발자 (C#, WPF)",페이타랩(패스오더),서울 강남구 , 신입-경력 10년,/wd/242362
84,백엔드 개발자 (8년 이상),워트인텔리전스,서울 서초구 , 경력 8-12년,/wd/257202
85,모바일 App 서비스 모의해킹 담당자,카카오페이증권(kakaopay증권),경기 성남시 , 경력 5년 이상,/wd/267587
86,Back-end Engineer,부릉,서울 서초구 , 경력 7-15년,/wd/257009
87,iOS 개발자 (3년 이상),레벨13(룩핀),서울 강남구 , 경력 3-5년,/wd/261101
88,[잡플래닛] Software Architect(Team Lead),브레인커머스,서울 강남구 , 경력 10-20년,/wd/267583
89,WPF Engineer (C# windows 개발자),부릉,서울 서초구 , 경력 3년 이상,/wd/244370
90,[잡플래닛] Sr.Data Engineer,브레인커머스,서울 강남구 , 경력 5-13년,/wd/117898
91,웹개발자/앱개발자,지피에이코리아,서울 강남구 , 신입,/wd/267580
92,Site Reliability Engineer,불마켓랩스,서울 강남구 , 경력 3-10년,/wd/213109
93,Back-End Engineer,불마켓랩스,서울 강남구 , 경력 7-10년,/wd/202870
94,Front-End Engineer,불마켓랩스,서울 강남구 , 경력 5-10년,/wd/202867
95,QA Engineer,불마켓랩스,서울 강남구 , 경력 3-10년,/wd/254794
96,플러터(Flutter) 모바일 애플리케이션 개발자 (3-7년차 이상),젠다카디언,서울 종로구 , 경력 3-7년,/wd/267555
97,"이커머스 백엔드, 서버 개발 담당자",브이에이트코프,서울 강남구 , 신입,/wd/267573
98,Python 개발자(4년 이상),자이온아이티에스,서울 서초구 , 경력 4-11년,/wd/267569
99,프론트엔드 개발자,아이씨티케이,서울 강남구 , 신입,/wd/267568
100,Staff Backend Engineer (Service Engineering),쿠팡,서울 강남구 , 경력 5년 이상,/wd/229418
101,LLM Agent 개발자,온더플라이,서울 관악구 , 신입,/wd/267543
102,"[쿠팡페이] Staff, Back-end Engineer (Payment)",쿠팡,서울 강남구 , 경력 8-20년,/wd/266402
103,Staff Backend Engineer (Core Serving),쿠팡,서울 강남구 , 경력 5년 이상,/wd/266224
104,"Staff, Front-end Engineer(Fintech Frontend)",쿠팡,서울 강남구 , 경력 7-17년,/wd/266805
