"지역문화시설별(1)","지역문화시설별(2)",시점,계,시각예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술
"지역문화시설별(1)","지역문화시설별(2)",시점,소계,소계,소계,국악,양악,연극,무용,혼합
"서울특별시","예술의전당",2015,1268,42,1226,4,1138,23,43,18
"서울특별시","예술의전당",2016,1174,0,1174,4,1081,20,29,40
"서울특별시","예술의전당",2017,1102,0,1102,2,1009,21,32,38
"서울특별시","예술의전당",2018,1026,0,1026,3,924,21,40,38
"서울특별시","예술의전당",2019,1051,84,967,1,878,14,33,41
"서울특별시","예술의전당",2020,500,16,484,2,454,12,10,6
"서울특별시","예술의전당",2021,1059,1,1058,0,963,16,34,45
"서울특별시","예술의전당",2022,1265,52,1213,1,1134,18,33,27
"서울특별시","세종문화회관",2015,617,67,550,38,445,24,12,31
"서울특별시","세종문화회관",2016,545,74,471,9,409,16,7,30
"서울특별시","세종문화회관",2017,569,88,481,9,400,15,5,52
"서울특별시","세종문화회관",2018,468,82,386,6,329,18,6,27
"서울특별시","세종문화회관",2019,456,58,398,8,303,30,17,40
"서울특별시","세종문화회관",2020,191,0,191,6,159,10,6,10
"서울특별시","세종문화회관",2021,419,13,406,15,334,25,18,14
"서울특별시","세종문화회관",2022,419,11,408,10,344,19,17,18
"서울특별시","금호아트홀 연세",2015,422,0,422,11,411,0,0,0
"서울특별시","금호아트홀 연세",2016,400,0,400,4,395,0,0,1
"서울특별시","금호아트홀 연세",2017,393,0,393,2,390,0,0,1
"서울특별시","금호아트홀 연세",2018,434,0,434,10,423,0,0,1
"서울특별시","금호아트홀 연세",2019,321,0,321,5,314,0,0,2
"서울특별시","금호아트홀 연세",2020,261,0,261,4,256,0,0,1
"서울특별시","금호아트홀 연세",2021,391,0,391,6,384,0,0,1
"서울특별시","금호아트홀 연세",2022,385,0,385,6,379,0,0,0
"서울특별시","영산아트홀",2015,331,0,331,2,325,1,0,3
"서울특별시","영산아트홀",2016,291,0,291,4,277,0,0,10
"서울특별시","영산아트홀",2018,324,0,324,5,312,1,0,6
"서울특별시","영산아트홀",2019,312,0,312,4,301,0,0,7
"서울특별시","영산아트홀",2020,169,0,169,3,164,0,0,2
"서울특별시","영산아트홀",2021,237,0,237,0,229,1,0,7
"서울특별시","영산아트홀",2022,301,0,301,1,294,0,0,6
"서울특별시","인사아트센터",2018,292,292,0,0,0,0,0,0
"서울특별시","경인미술관",2016,288,288,0,0,0,0,0,0
"서울특별시","경인미술관",2017,268,268,0,0,0,0,0,0
"서울특별시","경인미술관",2019,260,260,0,0,0,0,0,0
"서울특별시","국립국악원",2015,401,0,401,180,2,3,68,148
"서울특별시","국립국악원",2017,247,0,247,132,0,0,28,87
"서울특별시","롯데콘서트홀",2020,131,0,131,2,118,0,0,11
"서울특별시","롯데콘서트홀",2021,238,0,238,0,225,0,0,13
"서울특별시","롯데콘서트홀",2022,287,0,287,0,275,1,1,10
"부산광역시","부산문화회관",2015,494,35,459,33,300,66,40,20
"부산광역시","부산문화회관",2016,370,16,354,35,216,53,45,5
"부산광역시","부산문화회관",2017,298,34,264,5,207,12,17,23
"부산광역시","부산문화회관",2018,395,25,370,10,286,22,21,31
"부산광역시","부산문화회관",2019,421,20,401,19,290,27,31,34
"부산광역시","부산문화회관",2020,177,8,169,7,136,7,13,6
"부산광역시","부산문화회관",2021,295,10,285,15,217,24,19,10
"부산광역시","부산문화회관",2022,369,10,359,15,281,26,13,24
"부산광역시","금정문화회관",2015,376,33,343,15,270,41,9,8
"부산광역시","금정문화회관",2016,177,0,177,2,170,0,2,3
"부산광역시","금정문화회관",2017,295,28,267,0,232,16,6,13
"부산광역시","금정문화회관",2018,342,49,293,2,228,30,16,17
"부산광역시","금정문화회관",2019,295,22,273,9,206,37,10,11
"부산광역시","금정문화회관",2020,60,9,51,1,41,1,4,4
"부산광역시","금정문화회관",2021,210,5,205,4,177,10,9,5
"부산광역시","금정문화회관",2022,276,32,244,12,190,14,14,14
"부산광역시","해운대문화회관",2015,100,44,56,1,33,17,2,3
"부산광역시","해운대문화회관",2016,156,42,114,2,57,46,4,5
"부산광역시","해운대문화회관",2017,238,73,165,7,86,53,10,9
"부산광역시","해운대문화회관",2018,217,66,151,5,90,51,5,0
"부산광역시","해운대문화회관",2019,261,62,199,16,123,48,8,4
"부산광역시","해운대문화회관",2020,77,0,77,3,50,17,2,5
"부산광역시","해운대문화회관",2022,210,53,157,16,96,32,5,8
"부산광역시","동래문화회관",2019,153,3,150,11,63,46,20,10
"부산광역시","부산시민회관",2015,181,42,139,11,41,73,8,6
"부산광역시","부산시민회관",2016,189,47,142,6,40,79,4,13
"부산광역시","부산시민회관",2017,184,59,125,6,32,72,3,12
"부산광역시","부산시민회관",2018,144,35,109,15,29,45,10,10
"부산광역시","부산시민회관",2021,119,23,96,4,46,27,9,10
"부산광역시","부산시민회관",2022,126,31,95,8,32,36,11,8
"부산광역시","을숙도문화회관",2018,110,24,86,4,35,38,1,8
"부산광역시","을숙도문화회관",2019,123,19,104,6,36,50,5,7
"부산광역시","을숙도문화회관",2020,44,8,36,6,17,8,4,1
"부산광역시","영화의전당",2015,89,2,87,6,61,6,14,0
"부산광역시","영화의전당",2017,94,5,89,3,62,9,6,9
"부산광역시","영화의전당",2021,78,3,75,4,43,12,11,5
"부산광역시","국립부산국악원",2016,115,0,115,51,0,6,27,31
"부산광역시","국립부산국악원",2021,69,0,69,28,0,0,9,32
"부산광역시","부산교육대학교한새뮤지엄",2020,45,45,0,0,0,0,0,0
"부산광역시","게네랄파우제",2022,117,0,117,0,112,0,0,5
"대구광역시","대구콘서트하우스",2015,266,0,266,8,256,0,0,2
"대구광역시","대구콘서트하우스",2016,274,0,274,1,263,0,0,10
"대구광역시","대구콘서트하우스",2017,270,0,270,2,257,1,0,10
"대구광역시","대구콘서트하우스",2018,324,0,324,7,305,0,2,10
"대구광역시","대구콘서트하우스",2019,353,0,353,4,337,0,0,12
"대구광역시","대구콘서트하우스",2020,217,0,217,4,201,0,1,11
"대구광역시","대구콘서트하우스",2021,270,0,270,9,253,0,0,8
"대구광역시","대구콘서트하우스",2022,269,0,269,4,257,0,0,8
"대구광역시","수성아트피아",2015,200,54,146,7,100,25,10,4
"대구광역시","수성아트피아",2016,208,59,149,3,103,26,11,6
"대구광역시","수성아트피아",2017,197,40,157,2,120,18,6,11
"대구광역시","수성아트피아",2018,243,60,183,14,126,13,11,19
"대구광역시","수성아트피아",2019,258,53,205,4,150,16,14,21
"대구광역시","수성아트피아",2020,132,34,98,13,67,2,5,11
"대구광역시","수성아트피아",2021,252,47,205,5,165,16,13,6
"대구광역시","대구문화예술회관",2015,139,117,22,7,10,3,2,0
"대구광역시","대구문화예술회관",2016,279,111,168,20,97,16,15,20
"대구광역시","대구문화예술회관",2017,263,113,150,18,55,36,24,17
"대구광역시","대구문화예술회관",2018,149,101,48,5,21,3,9,10
"대구광역시","대구문화예술회관",2019,299,134,165,23,44,9,52,37
"대구광역시","대구문화예술회관",2020,112,40,72,20,23,6,16,7
"대구광역시","대구문화예술회관",2021,211,75,136,26,43,12,33,22
"대구광역시","대구문화예술회관",2022,330,141,189,28,91,11,31,28
"대구광역시","봉산문화회관",2015,167,104,63,5,17,29,9,3
"대구광역시","봉산문화회관",2016,128,91,37,0,9,18,3,7
"대구광역시","봉산문화회관",2017,166,97,69,2,18,32,10,7
"대구광역시","봉산문화회관",2018,146,85,61,5,11,28,14,3
"대구광역시","봉산문화회관",2019,139,72,67,3,19,26,13,6
"대구광역시","봉산문화회관",2021,124,69,55,4,11,24,9,7
"대구광역시","아양아트센터",2017,101,36,65,1,15,32,6,11
"대구광역시","아양아트센터",2018,101,35,66,2,21,24,11,8
"대구광역시","아양아트센터",2022,122,42,80,4,38,22,8,8
"대구광역시","계명대학교",2019,107,1,106,0,73,22,9,2
"대구광역시","웃는얼굴아트센터",2015,115,25,90,7,46,17,15,5
"대구광역시","웃는얼굴아트센터",2016,91,22,69,3,32,20,8,6
"대구광역시","대구예술발전소",2020,43,28,15,3,6,2,1,3
"대구광역시","범어아트스트리트",2020,42,32,10,3,4,2,0,1
"대구광역시","달서아트센터",2021,97,27,70,7,36,19,6,2
"대구광역시","달서아트센터",2022,131,22,109,3,70,20,11,5
"대구광역시","한영아트센터",2022,123,3,120,1,116,0,0,3
"인천광역시","인천문화예술회관",2015,283,76,207,15,121,42,24,5
"인천광역시","인천문화예술회관",2016,200,58,142,5,91,22,12,12
"인천광역시","인천문화예술회관",2017,299,98,201,12,110,48,16,15
"인천광역시","인천문화예술회관",2018,207,83,124,5,56,46,13,4
"인천광역시","인천문화예술회관",2019,291,90,201,10,108,39,23,21
"인천광역시","인천문화예술회관",2020,47,21,26,0,15,5,4,2
"인천광역시","인천문화예술회관",2021,206,93,113,5,62,26,12,8
