"행정구역별(1)","시점",계,계,시각예술,시각예술,융합,융합,융합,융합,융합,융합,융합,융합
"행정구역별(1)","시점",소계,소계,소계,소계,소계,소계,융합(+공연예술),융합(+공연예술),융합(+문학),융합(+문학),융합(+공연예술문학),융합(+공연예술문학)
"행정구역별(1)","시점",전시건수 (건),평균전시기간 (일),전시건수 (건),평균전시기간 (일),전시건수 (건),평균전시기간 (일),전시건수 (건),평균전시기간 (일),전시건수 (건),평균전시기간 (일),전시건수 (건),평균전시기간 (일)
"전국","2015",13207,22.0,13195,21.9,-,-,12,40.8,-,-,-,-
"전국","2016",13260,24.5,13149,24.4,111,29.2,29,24.1,78,27.4,4,100.5
"전국","2017",14619,22.6,14218,22.7,401,18.2,74,15.6,318,18.8,9,17.8
"전국","2018",15192,22.9,14917,22.8,275,28.3,51,28.5,221,28.3,3,18.7
"전국","2019",15256,26.4,14995,26.4,261,29.6,102,9.6,150,42.7,9,38.8
"전국","2020",6379,47.1,6277,47.3,102,35.2,21,28.5,80,36.2,1,89.0
"전국","2021",13364,29.8,13233,29.7,131,43.0,25,21.7,105,47.8,1,76.0
"전국","2022",16151,25.5,15334,25.4,817,26.8,42,19.2,769,27.3,6,20.8
"서울특별시","2015",5516,19.4,5511,19.4,-,-,5,55.0,-,-,-,-
"서울특별시","2016",5697,20.6,5654,20.5,43,34.3,15,27.1,26,26.0,2,196.0
"서울특별시","2017",6199,19.1,6080,19.1,119,20.8,37,18.6,79,22.1,3,13.7
"서울특별시","2018",6312,19.0,6199,18.9,113,23.9,24,23.0,88,23.9,1,44.0
"서울특별시","2019",6268,21.6,6140,21.4,128,30.6,60,5.8,61,52.9,7,48.4
"서울특별시","2020",2110,37.1,2082,37.1,28,34.9,11,26.2,16,37.6,1,89.0
"서울특별시","2021",5609,24.2,5562,24.2,47,26.0,9,14.7,38,28.7,0,0.0
"서울특별시","2022",6699,22.4,6572,22.3,127,29.3,13,19.6,114,30.4,0,0.0
"부산광역시","2015",851,20.0,851,20.0,-,-,0,0.0,-,-,-,-
"부산광역시","2016",829,22.9,823,22.9,6,11.8,3,20.3,3,3.3,0,0.0
"부산광역시","2017",914,23.2,874,23.9,40,7.8,2,16.0,37,7.5,1,3.0
"부산광역시","2018",942,27.4,923,27.2,19,35.5,4,15.0,15,41.0,0,0.0
"부산광역시","2019",978,31.0,972,31.1,6,13.2,2,25.5,4,7.0,0,0.0
"부산광역시","2020",369,49.6,368,49.6,1,20.0,0,0.0,1,20.0,0,0.0
"부산광역시","2021",806,27.5,797,27.7,9,11.8,5,8.0,4,16.5,0,0.0
"부산광역시","2022",830,28.4,808,28.5,22,25.2,1,1.0,20,27.3,1,8.0
"대구광역시","2015",773,17.6,772,17.6,-,-,1,5.0,-,-,-,-
"대구광역시","2016",811,20.7,808,20.6,3,44.7,0,0.0,3,44.7,0,0.0
"대구광역시","2017",828,15.3,826,15.3,2,34.5,2,34.5,0,0.0,0,0.0
"대구광역시","2018",850,15.7,843,15.7,7,21.3,1,16.0,6,22.2,0,0.0
"대구광역시","2019",798,23.3,790,23.2,8,27.6,5,39.0,3,8.7,0,0.0
"대구광역시","2020",322,27.5,320,27.6,2,18.5,0,0.0,2,18.5,0,0.0
"대구광역시","2021",759,32.4,750,31.1,9,143.6,3,42.3,6,194.2,0,0.0
"대구광역시","2022",806,20.0,759,19.7,47,25.4,4,41.3,43,23.9,0,0.0
"인천광역시","2015",351,18.3,349,18.2,-,-,2,28.5,-,-,-,-
"인천광역시","2016",402,21.4,398,21.3,4,35.5,1,16.0,2,60.5,1,5.0
"인천광역시","2017",691,21.0,675,21.2,16,13.0,3,15.7,12,12.8,1,7.0
"인천광역시","2018",620,21.1,605,20.0,15,65.6,7,11.6,8,112.9,0,0.0
"인천광역시","2019",545,21.8,537,21.4,8,48.5,3,2.0,5,76.4,0,0.0
"인천광역시","2020",166,59.6,162,60.3,4,31.3,1,52.0,3,24.3,0,0.0
"인천광역시","2021",393,24.4,390,24.5,3,7.3,1,2.0,2,10.0,0,0.0
"인천광역시","2022",645,24.6,632,24.6,13,29.3,7,22.9,4,49.3,2,12.0
"광주광역시","2015",559,23.1,556,22.9,-,-,3,48.7,-,-,-,-
"광주광역시","2016",500,27.9,494,27.7,6,47.8,1,31.0,5,51.2,0,0.0
"광주광역시","2017",571,22.6,540,23.2,31,11.1,14,4.8,15,16.0,2,19.0
"광주광역시","2018",587,24.6,582,24.7,5,17.0,1,33.0,4,13.0,0,0.0
"광주광역시","2019",535,34.6,525,34.2,10,55.4,1,30.0,9,58.2,0,0.0
"광주광역시","2020",241,29.0,240,29.0,1,14.0,1,14.0,0,0.0,0,0.0
"광주광역시","2021",358,25.6,355,25.5,3,35.7,2,13.5,1,80.0,0,0.0
"광주광역시","2022",600,28.5,590,28.2,10,44.5,0,0.0,10,44.5,0,0.0
"대전광역시","2015",353,17.7,353,17.7,-,-,0,0.0,-,-,-,-
"대전광역시","2016",364,16.4,360,16.4,4,16.5,0,0.0,4,16.5,0,0.0
"대전광역시","2017",404,16.1,402,16.1,2,6.0,0,0.0,2,6.0,0,0.0
"대전광역시","2018",407,16.4,399,16.3,8,24.6,0,0.0,8,24.6,0,0.0
"대전광역시","2019",451,20.7,446,20.8,5,15.0,0,0.0,5,15.0,0,0.0
"대전광역시","2020",96,37.9,96,37.9,0,0.0,0,0.0,0,0.0,0,0.0
"대전광역시","2021",241,32.4,237,32.0,4,58.3,1,31.0,2,63.0,1,76.0
"대전광역시","2022",470,17.8,452,17.7,18,20.7,1,3.0,17,21.8,0,0.0
"울산광역시","2015",355,15.1,355,15.1,-,-,0,0.0,-,-,-,-
"울산광역시","2016",213,20.9,213,20.9,0,0.0,0,0.0,0,0.0,0,0.0
"울산광역시","2017",225,15.3,223,15.2,2,26.0,0,0.0,2,26.0,0,0.0
"울산광역시","2018",256,18.2,256,18.2,0,0.0,0,0.0,0,0.0,0,0.0
"울산광역시","2019",250,19.3,249,19.3,1,13.0,0,0.0,1,13.0,0,0.0
"울산광역시","2020",133,24.3,131,24.4,2,22.5,0,0.0,2,22.5,0,0.0
"울산광역시","2021",234,18.0,232,18.0,2,14.5,2,14.5,0,0.0,0,0.0
"울산광역시","2022",347,19.9,337,20.0,10,16.0,2,5.0,8,18.8,0,0.0
"세종특별자치시","2015",21,23.1,21,23.1,-,-,0,0.0,-,-,-,-
"세종특별자치시","2016",28,33.6,28,33.6,0,0.0,0,0.0,0,0.0,0,0.0
"세종특별자치시","2017",30,22.9,30,22.9,0,0.0,0,0.0,0,0.0,0,0.0
"세종특별자치시","2018",33,24.7,30,21.5,3,57.0,1,26.0,2,72.5,0,0.0
"세종특별자치시","2019",41,23.3,39,22.7,2,34.5,0,0.0,2,34.5,0,0.0
"세종특별자치시","2020",16,38.6,16,38.6,0,0.0,0,0.0,0,0.0,0,0.0
"세종특별자치시","2021",50,22.6,49,22.9,1,7.0,0,0.0,1,7.0,0,0.0
"세종특별자치시","2022",72,13.0,68,12.5,4,22.0,2,13.0,2,31.0,0,0.0
"경기도","2015",1464,32.4,1464,32.4,-,-,0,0.0,-,-,-,-
"경기도","2016",1390,34.1,1372,34.2,18,22.6,5,11.0,12,28.9,1,5.0
"경기도","2017",1457,38.9,1427,39.3,30,17.1,7,15.9,23,17.5,0,0.0
"경기도","2018",1700,32.8,1669,32.5,31,47.4,7,77.3,24,38.7,0,0.0
"경기도","2019",1657,32.8,1614,32.5,43,44.4,12,13.6,30,58.1,1,4.0
"경기도","2020",836,55.9,802,56.8,34,33.9,6,36.5,28,33.3,0,0.0
"경기도","2021",1602,48.7,1572,48.3,30,68.4,0,0.0,30,68.4,0,0.0
"경기도","2022",1611,37.1,1511,37.4,100,32.6,2,11.0,98,33.0,0,0.0
"강원특별자치도","2015",454,24.5,454,24.5,-,-,0,0.0,-,-,-,-
"강원특별자치도","2016",519,29.1,513,29.0,6,35.0,1,3.0,5,41.4,0,0.0
"강원특별자치도","2017",554,19.8,537,20.3,17,5.9,2,2.0,15,6.5,0,0.0
"강원특별자치도","2018",620,23.8,610,24.0,10,11.1,1,7.0,9,11.6,0,0.0
"강원특별자치도","2019",613,40.7,598,41.5,15,8.2,8,8.6,7,7.7,0,0.0
"강원특별자치도","2020",219,86.6,214,86.8,5,79.4,0,0.0,5,79.4,0,0.0
"강원특별자치도","2021",368,40.9,365,40.9,3,36.3,0,0.0,3,36.3,0,0.0
"강원특별자치도","2022",404,40.0,374,41.2,30,23.8,2,21.0,28,24.0,0,0.0
"충청북도","2015",343,18.8,343,18.8,-,-,0,0.0,-,-,-,-
"충청북도","2016",305,29.6,303,29.8,2,7.0,1,5.0,1,9.0,0,0.0
"충청북도","2017",299,28.4,265,30.6,34,10.8,2,2.0,32,11.4,0,0.0
"충청북도","2018",291,20.1,278,20.4,13,14.5,0,0.0,13,14.5,0,0.0
"충청북도","2019",287,24.4,285,24.6,2,4.0,0,0.0,2,4.0,0,0.0
"충청북도","2020",189,32.2,185,32.7,4,11.0,1,6.0,3,12.7,0,0.0
"충청북도","2021",250,21.5,246,21.5,4,19.8,0,0.0,4,19.8,0,0.0
"충청북도","2022",401,26.1,361,26.8,40,19.4,1,5.0,39,19.7,0,0.0
"충청남도","2015",182,34.8,182,34.8,-,-,0,0.0,-,-,-,-
"충청남도","2016",253,23.6,250,23.8,3,8.3,0,0.0,3,8.3,0,0.0
"충청남도","2017",289,26.0,284,26.3,5,6.0,0,0.0,5,6.0,0,0.0
"충청남도","2018",300,25.3,294,25.5,6,15.7,1,12.0,5,16.4,0,0.0
"충청남도","2019",300,30.1,289,31.1,11,4.4,4,4.0,7,4.6,0,0.0
"충청남도","2020",166,51.2,164,51.8,2,4.5,0,0.0,2,4.5,0,0.0
"충청남도","2021",278,26.0,273,26.0,5,23.0,0,0.0,5,23.0,0,0.0
"충청남도","2022",351,27.1,322,27.3,29,24.6,2,15.0,27,25.3,0,0.0
"전북특별자치도","2015",508,15.7,508,15.7,-,-,0,0.0,-,-,-,-
"전북특별자치도","2016",486,33.3,486,33.3,0,0.0,0,0.0,0,0.0,0,0.0
"전북특별자치도","2017",572,17.8,566,18.0,6,6.8,0,0.0,6,6.8,0,0.0
"전북특별자치도","2018",604,23.6,593,23.7,11,21.1,1,56.0,10,17.6,0,0.0
"전북특별자치도","2019",588,28.7,584,28.8,4,16.0,3,19.7,1,5.0,0,0.0
"전북특별자치도","2020",394,37.9,390,38.0,4,27.5,0,0.0,4,27.5,0,0.0
"전북특별자치도","2021",384,21.0,382,20.8,2,64.5,1,123.0,1,6.0,0,0.0
"전북특별자치도","2022",697,19.7,669,19.5,28,24.8,0,0.0,27,25.5,1,5.0
"전라남도","2015",258,45.6,258,45.6,-,-,0,0.0,-,-,-,-
"전라남도","2016",269,34.6,267,34.8,2,12.0,0,0.0,2,12.0,0,0.0
"전라남도","2017",357,36.5,322,35.9,35,42.0,1,22.0,34,42.6,0,0.0
"전라남도","2018",409,31.8,401,32.0,8,24.6,0,0.0,8,24.6,0,0.0
"전라남도","2019",400,42.9,397,43.0,3,30.7,0,0.0,3,30.7,0,0.0
"전라남도","2020",264,69.2,261,69.7,3,28.0,0,0.0,3,28.0,0,0.0
"전라남도","2021",392,43.2,392,43.2,0,0.0,0,0.0,0,0.0,0,0.0
"전라남도","2022",417,43.0,382,43.6,35,36.2,1,6.0,33,35.7,1,82.0
"경상북도","2015",381,21.3,381,21.3,-,-,0,0.0,-,-,-,-
"경상북도","2016",396,27.9,391,28.0,5,23.2,0,0.0,5,23.2,0,0.0
"경상북도","2017",394,24.7,373,24.8,21,22.7,1,9.0,20,23.4,0,0.0
"경상북도","2018",403,40.1,386,41.2,17,15.0,3,23.3,12,14.4,2,6.0
"경상북도","2019",391,30.2,388,30.4,3,6.0,1,6.0,2,6.0,0,0.0
"경상북도","2020",345,50.1,341,50.5,4,19.5,0,0.0,4,19.5,0,0.0
"경상북도","2021",717,40.0,713,40.1,4,12.5,1,31.0,3,6.3,0,0.0
"경상북도","2022",621,25.8,524,26.3,97,23.0,2,20.0,95,23.1,0,0.0
"경상남도","2015",555,20.8,554,20.9,-,-,1,6.0,-,-,-,-
"경상남도","2016",530,24.1,523,24.2,7,17.4,1,6.0,6,19.3,0,0.0
"경상남도","2017",543,19.6,538,19.6,5,15.8,0,0.0,5,15.8,0,0.0
"경상남도","2018",562,21.7,556,21.9,6,10.0,0,0.0,6,10.0,0,0.0
"경상남도","2019",796,22.9,785,23.0,11,11.6,2,6.5,8,13.6,1,6.0
"경상남도","2020",312,49.3,305,48.9,7,67.7,0,0.0,7,67.7,0,0.0
"경상남도","2021",640,20.9,635,20.9,5,17.4,0,0.0,5,17.4,0,0.0
"경상남도","2022",864,20.7,658,19.0,206,26.0,2,21.0,203,26.1,1,6.0
"제주특별자치도","2015",283,36.6,283,36.6,-,-,0,0.0,-,-,-,-
"제주특별자치도","2016",268,39.2,266,38.9,2,72.0,1,115.0,1,29.0,0,0.0
"제주특별자치도","2017",292,44.1,256,47.4,36,20.4,3,33.0,31,18.3,2,35.5
"제주특별자치도","2018",296,33.7,293,33.4,3,68.0,0,0.0,3,68.0,0,0.0
"제주특별자치도","2019",358,39.7,357,39.7,1,24.0,1,24.0,0,0.0,0,0.0
"제주특별자치도","2020",201,123.3,200,123.8,1,19.0,1,19.0,0,0.0,0,0.0
"제주특별자치도","2021",283,39.6,283,39.6,0,0.0,0,0.0,0,0.0,0,0.0
"제주특별자치도","2022",316,34.8,315,34.8,1,5.0,0,0.0,1,5.0,0,0.0
