"소재지(시도)별(1)","시점",학교,학교,운동장,운동장,공공청사,공공청사,문화시설,문화시설,체육시설,체육시설
"소재지(시도)별(1)","시점",시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡)
"전국","2005",9901,278595762,169,29661138,2365,24929516,217,5265770,361,148532602
"전국","2006",10008,280787164,172,30351834,2471,24526949,257,5802980,409,158090124
"전국","2007",10200,286221251,174,30587073,2649,26840773,109998,6928562,39613,227614044
"전국","2008",10243,291745886,185,33294829,2938,31856681,338,9001116,638,292763090
"전국","2009",11017,310568176,180,33426942,3316,37541434,418,10353758,802,354510833
"전국","2010",11744,324404625,176,30587182,3603,42749001,483,13960458,843,391965170
"전국","2011",12116,334029240,178,30943591,3714,49301193,521,15095034,896,407195984
"전국","2012",12358,342187202,179,30782333,3856,51603224,569,16292140,963,428515371
"전국","2013",12482,343931836,180,30578075,3943,50411807,591,17448191,1002,435562492
"전국","2014",12622,346176792,179,30671451,4108,52002663,623,18303884,1088,447637059
"전국","2015",12958,352754102,178,30729139,4230,53260765,634,18604780,1112,457743837
"전국","2016",12981,353533291,170,29725522,4333,53949567,891,20242079,1156,458963396
"전국","2017",12991,355613750,169,29687819,4431,55432848,944,20553953,1198,469793169
"전국","2018",13090,356131720,-,-,4571,56847255,987,21149891,1418,510976621
"전국","2019",13087,355092369,-,-,4660,57593982,1011,21844503,1435,507556913
"전국","2020",13085,353430056,-,-,4735,59243189,1055,24506055,1457,481984988
"전국","2021",13220,363023900,-,-,4847,61841471,1087,25154939,1496,486025976
"전국","2022",13292,365733522,-,-,4943,61998483,1128,25595320,1507,483752345
"전국","2023",13292,366532281,-,-,5031,63447549,1161,25841062,1534,484339830
"서울특별시","2005",1261,30918584,5,2754553,231,2902287,11,264240,20,902597
"서울특별시","2006",1269,30893291,6,2776038,230,2951545,15,334515,20,902559
"서울특별시","2007",1281,30446634,6,2770149,285,3152735,22,342088,27,957334
"서울특별시","2008",1236,33674820,5,3113110,379,3295857,22,430897,28,1174688
"서울특별시","2009",1241,33737387,5,3113110,429,3640344,35,475121,30,1165740
"서울특별시","2010",1263,34093742,5,3081275,469,3768893,51,506763,35,1205597
"서울특별시","2011",1269,33664401,5,3081275,472,3738277,54,582874,36,1194736
"서울특별시","2012",1273,33713568,5,3081275,479,3759746,57,602177,40,1240423
"서울특별시","2013",1274,33731479,5,3081275,479,3737855,60,570740,42,1249810
"서울특별시","2014",1280,33326095,6,3204732,495,3753723,57,567329,43,1144215
"서울특별시","2015",1285,33402201,5,2739863,496,3752196,57,567329,44,1135225
"서울특별시","2016",1282,33312089,5,2739863,499,3741885,96,673179,44,1135225
"서울특별시","2017",1282,34866631,5,2739863,524,3851964,107,692343,48,1145522
"서울특별시","2018",1279,34762912,-,-,533,3859283,111,739722,55,3887881
"서울특별시","2019",1278,34744614,-,-,549,3886055,115,757644,56,3888867
"서울특별시","2020",1268,34615969,-,-,555,3904022,120,850497,60,1950847
"서울특별시","2021",1254,34380510,-,-,571,4000810,121,852331,62,3420299
"서울특별시","2022",1263,34647906,-,-,584,4013950,126,988918,64,3427023
"서울특별시","2023",1264,34661130,-,-,586,3944669,128,998429,63,3423191
"부산광역시","2005",546,15438033,3,922638,183,1091627,9,187952,17,6242678
"부산광역시","2006",557,15582588,3,922638,195,1110378,10,199851,21,8196787
"부산광역시","2007",574,15683983,3,922638,204,1115035,11,201191,22,8209714
"부산광역시","2008",611,16360634,3,922638,234,1252405,11,201188,21,8217408
"부산광역시","2009",639,16754080,3,920438,239,1218587,14,203150,21,8162290
"부산광역시","2010",643,16820196,3,920438,238,1217388,14,203150,21,8173028
"부산광역시","2011",636,16881221,3,920438,239,1469568,14,315507,22,8558800
"부산광역시","2012",636,16874288,3,920438,238,2466764,15,317865,22,8563430
"부산광역시","2013",631,16796958,3,920438,247,2543551,16,320825,23,9704910
"부산광역시","2014",625,15933457,3,920438,252,2563501,16,315441,24,9705417
"부산광역시","2015",643,17248877,4,1210984,252,2597081,16,315441,24,9694132
"부산광역시","2016",654,17189150,4,1210984,251,2597324,34,378560,24,9698091
"부산광역시","2017",649,16662862,6,1480589,264,2938886,37,383574,24,9696597
"부산광역시","2018",657,16119218,-,-,289,2990997,40,414399,32,11251229
"부산광역시","2019",657,16079489,-,-,290,3025886,43,438410,32,11254009
"부산광역시","2020",657,16092727,-,-,282,2720457,44,444277,32,11254009
"부산광역시","2021",657,16082091,-,-,280,2718370,44,444268,33,14016291
"부산광역시","2022",657,16072593,-,-,279,2718049,45,449876,33,14022999
"부산광역시","2023",658,16097450,-,-,285,2768087,51,480847,33,14045699
"대구광역시","2005",439,10875107,1,116940,70,858397,3,20776,3,90068
"대구광역시","2006",459,11073892,1,116940,73,875778,3,20776,3,90068
