"구분(1)","시점",총예산,총예산,문화예산,문화예산,문화예술예산,문화예술예산,공연예술예산,공연예술예산
"구분(1)","시점",금액,비율,금액,비율,금액,비율,금액,비율
"전체","2012",3997075,100,87485,100,42294,100,9299,100
"전체","2014",4382466,100,86749,100,41613,100,9931,100
"전체","2015",4415528,100,111276,100,52596,100,14017,100
"전체","2016",4803032,100,109725,100,55814,100,15705,100
"전체","2017",4962964,100,122085,100,63236,100,17217,100
"전체","2018",5699529,100,122771,100,65117,100,18842,100
"전체","2019",6338392,100,137745,100,74565,100,24659,100
"전체","2020",6923474,100,140590,100,81082,100,22851,100
"전체","2021",7450070,100,152076,100,88573,100,25849,100
"전체","2022",8074316,100,164844,100,96623,100,30353,100
"중앙정부","2012",2486125,62.2,28560,32.6,16225,38.4,1392,15
"중앙정부","2014",2746673,62.7,33761,38.9,18782,45.1,2405,24.2
"중앙정부","2015",2682938,60.8,37039,33.3,19868,37.8,2551,18.2
"중앙정부","2016",2957207,61.6,26462,24.1,19483,34.9,3235,20.6
"중앙정부","2017",3031432,61.1,27804,22.8,20395,32.3,3271,19
"중앙정부","2018",3308413,58,28931,23.6,21914,33.7,3114,16.5
"중앙정부","2019",3617859,57.1,32127,23.3,25273,33.9,3339,13.5
"중앙정부","2020",3862379,55.8,33301,23.7,28679,35.4,3179,13.9
"중앙정부","2021",4174201,56,34847,22.9,30155,34,3550,13.7
"중앙정부","2022",4558366,56.5,37221,22.6,33310,34.5,3780,12.5
"지방자치단체","2012",1510950,37.8,58925,67.4,26069,61.6,7907,85
"지방자치단체","2014",1635793,37.3,52988,61.1,22831,54.9,7526,75.8
"지방자치단체","2015",1732590,39.2,74237,66.7,32728,62.2,11466,81.8
"지방자치단체","2016",1845825,38.4,83263,75.9,36331,65.1,12470,79.4
"지방자치단체","2017",1931532,38.9,94281,77.2,42841,67.7,13946,81
"지방자치단체","2018",2391116,42,93840,76.4,43203,66.3,15728,83.5
"지방자치단체","2019",2720533,42.9,105618,76.7,49292,66.1,21320,86.5
"지방자치단체","2020",3061095,44.2,107289,76.3,52403,64.6,19672,86.1
"지방자치단체","2021",3275869,44,117229,77.1,58418,66,22299,86.3
"지방자치단체","2022",3515950,43.5,127623,77.4,63313,65.5,26573,87.5
