"통계분류(1)",통계분류(2),통계분류(3),2021,2021,2021,2021,2021,2021,2021,2021,2021
"통계분류(1)",통계분류(2),통계분류(3),공연장수,연극,뮤지컬,무용,발레,양악,오페라,국악,복합
"전체",공연장수,소계,1281,-,-,-,-,-,-,-,-
"전체",공연건수,소계,-,3948,1865,1732,247,10716,322,2603,1953
"전체",공연일수,소계,-,25881,14143,2180,368,11022,520,3215,3396
"전체",공연횟수,소계,-,33226,20134,2438,451,11339,578,3321,4373
"전체",관객수,소계,-,1949980,4258066,271913,174215,1775121,147434,305917,722168
"전체",유료관객비중,소계,-,43.5,33.2,38.5,73.7,33.4,52.5,33.1,38.8
"전체",평균티켓가격,소계,-,17602,28350,17975,24505,19719,27275,17115,18024
"지역2",서울,공연장수,409,-,-,-,-,-,-,-,-
"지역2",서울,공연건수,-,1575,534,723,99,4067,66,611,487
"지역2",서울,공연일수,-,17942,10395,1054,186,4130,185,969,911
"지역2",서울,공연횟수,-,23852,14395,1096,217,4233,225,1007,1048
"지역2",서울,관객수,-,1377481,3326102,108918,118487,765327,52201,78795,332846
"지역2",서울,유료관객비중,-,42,29.3,52.9,81.8,32.7,65.5,55.7,60.5
"지역2",서울,평균티켓가격,-,23357,32464,24667,25540,23611,31666,21587,30677
"지역2",경기/인천,공연장수,218,-,-,-,-,-,-,-,-
"지역2",경기/인천,공연건수,-,500,393,158,40,1301,50,279,261
"지역2",경기/인천,공연일수,-,1177,1016,188,45,1359,63,306,932
"지역2",경기/인천,공연횟수,-,1521,1816,208,73,1411,67,317,1598
"지역2",경기/인천,관객수,-,114288,269487,32153,13487,217011,18697,33716,165572
"지역2",경기/인천,유료관객비중,-,43.2,59.4,42.1,53.9,40.8,51,43.6,9.9
"지역2",경기/인천,평균티켓가격,-,16080,25365,19616,26133,21317,29263,19001,16559
"지역2",강원,공연장수,62,-,-,-,-,-,-,-,-
"지역2",강원,공연건수,-,185,95,40,7,238,8,49,110
"지역2",강원,공연일수,-,453,131,51,8,289,9,49,132
"지역2",강원,공연횟수,-,583,182,54,10,298,9,52,144
"지역2",강원,관객수,-,26792,21428,4092,2356,41890,3256,3943,12178
"지역2",강원,유료관객비중,-,49.7,58.7,30.3,78.9,18.2,29,35.3,38.1
"지역2",강원,평균티켓가격,-,15456,12998,13758,15087,9510,14839,9312,10616
"지역2",충청,공연장수,122,-,-,-,-,-,-,-,-
"지역2",충청,공연건수,-,339,238,155,9,1072,45,263,307
"지역2",충청,공연일수,-,1596,1145,172,13,1083,67,275,352
"지역2",충청,공연횟수,-,1936,1792,202,18,1109,72,295,365
"지역2",충청,관객수,-,124511,118669,35866,9747,162656,14672,39089,37477
"지역2",충청,유료관객비중,-,66.7,46.6,36.7,69.1,40.4,39.9,38.6,10.5
"지역2",충청,평균티켓가격,-,13904,25144,11334,38668,17795,19272,7979,12503
"지역2",전라,공연장수,155,-,-,-,-,-,-,-,-
"지역2",전라,공연건수,-,382,210,166,34,961,47,788,238
"지역2",전라,공연일수,-,1216,425,172,51,998,62,919,287
"지역2",전라,공연횟수,-,1378,619,183,56,1040,63,943,316
"지역2",전라,관객수,-,97137,143005,24725,7105,113551,14403,80363,51213
"지역2",전라,유료관객비중,-,47.1,43.6,12.1,35.4,18.8,30.7,5.3,6.4
"지역2",전라,평균티켓가격,-,18993,34401,12258,20220,21115,23100,13202,18869
"지역2",경상,공연장수,293,-,-,-,-,-,-,-,-
"지역2",경상,공연건수,-,887,381,449,52,2796,93,572,517
"지역2",경상,공연일수,-,3207,749,500,60,2868,118,653,745
"지역2",경상,공연횟수,-,3493,1041,650,72,2924,126,659,863
"지역2",경상,관객수,-,191480,344267,60819,21460,409733,37764,65838,106929
"지역2",경상,유료관객비중,-,37.1,34.7,25.1,57,38.8,52.5,33.1,47
"지역2",경상,평균티켓가격,-,13446,27590,14893,22834,17298,26803,17200,14027
"지역2",제주,공연장수,22,-,-,-,-,-,-,-,-
"지역2",제주,공연건수,-,79,13,40,5,282,13,41,33
"지역2",제주,공연일수,-,290,282,45,6,296,15,43,38
"지역2",제주,공연횟수,-,461,288,47,6,325,15,49,38
"지역2",제주,관객수,-,18291,35108,5340,1573,64953,6441,4174,15953
"지역2",제주,유료관객비중,-,44.3,81.8,16.4,54.3,0,39.6,0.4,3.7
"지역2",제주,평균티켓가격,-,11287,28023,16291,28500,14000,39355,10000,15000
