"시점","통계분류(1)",통계분류(2),공연장수,가동률
"2012","전체",소계,1188,55.8
"2012","지역2",서울,435,79.3
"2012","지역2",경기/인천,205,32.8
"2012","지역2",강원,52,35.6
"2012","지역2",충청,106,47.9
"2012","지역2",전라,118,39
"2012","지역2",경상,245,48.1
"2012","지역2",제주,27,63.7
"2012","지역3",특별/광역시,681,72.8
"2012","지역3",광역도,507,33
"2012","지역4",수도권,640,64.4
"2012","지역4",비수도권,548,45.7
"2012","시설특성",중앙정부,25,96.8
"2012","시설특성",문예회관,341,34.8
"2012","시설특성",기타(공공),256,34.6
"2012","시설특성",대학로,162,93.1
"2012","시설특성",민간(대학로 외),404,69.4
"2012","운영주체2",공공,556,37.7
"2012","운영주체2",민간,632,71.7
"2013","전체",소계,1227,63.8
"2013","지역2",서울,466,83.6
"2013","지역2",경기/인천,210,49
"2013","지역2",강원,53,43.5
"2013","지역2",충청,102,49.1
"2013","지역2",전라,120,43.1
"2013","지역2",경상,248,56.2
"2013","지역2",제주,28,79.5
"2013","지역3",특별/광역시,713,78.5
"2013","지역3",광역도,514,42.5
"2013","지역4",수도권,676,73.1
"2013","지역4",비수도권,551,52.1
"2013","시설특성",중앙정부,25,99.9
"2013","시설특성",문예회관,339,41.2
"2013","시설특성",기타(공공),260,45
"2013","시설특성",대학로,170,98.1
"2013","시설특성",민간(대학로 외),433,76.3
"2013","운영주체2",공공,561,45.7
"2013","운영주체2",민간,666,78.7
"2014","전체",소계,1280,54.2
"2014","지역2",서울,471,72.6
"2014","지역2",경기/인천,211,40.6
"2014","지역2",강원,53,32.7
"2014","지역2",충청,106,39.9
"2014","지역2",전라,129,37.6
"2014","지역2",경상,271,49.2
"2014","지역2",제주,39,59.8
"2014","지역3",특별/광역시,739,66.5
"2014","지역3",광역도,541,37.2
"2014","지역4",수도권,682,62.8
"2014","지역4",비수도권,598,44.3
"2014","시설특성",중앙정부,25,98.3
"2014","시설특성",문예회관,362,41.6
"2014","시설특성",기타(공공),271,30.5
"2014","시설특성",대학로,165,93.2
"2014","시설특성",민간(대학로 외),457,61.6
"2014","운영주체2",공공,588,40.4
"2014","운영주체2",민간,692,65.7
"2015","전체",소계,1290,55.7
"2015","지역1",서울,468,81.7
"2015","지역1",부산,76,61
"2015","지역1",대구,60,68.4
"2015","지역1",인천,42,47.8
"2015","지역1",광주,42,41.9
"2015","지역1",대전,37,60.4
"2015","지역1",울산,23,51.5
"2015","지역1",세종,2,32.5
"2015","지역1",경기,157,32.2
"2015","지역1",강원,50,28.4
"2015","지역1",충북,27,42.5
"2015","지역1",충남,46,26.7
"2015","지역1",전북,47,48.4
"2015","지역1",전남,53,25.2
"2015","지역1",경북,59,26.8
"2015","지역1",경남,67,24
"2015","지역1",제주,34,59.9
"2015","지역2",서울,468,81.7
"2015","지역2",경기/인천,199,35.5
"2015","지역2",강원,50,28.4
"2015","지역2",충청,112,41.7
"2015","지역2",전라,142,37.8
"2015","지역2",경상,285,46
"2015","지역2",제주,34,59.9
"2015","지역3",특별/광역시,750,72.2
"2015","지역3",광역도,540,32.8
"2015","지역4",수도권,667,67.8
"2015","지역4",비수도권,623,42.7
"2015","시설특성",중앙정부,33,91.7
"2015","시설특성",문예회관,370,41.5
"2015","시설특성",기타(공공),273,24.5
"2015","시설특성",대학로,156,109.1
"2015","시설특성",민간(대학로 외),458,65.1
"2015","운영주체2",공공,602,37.4
"2015","운영주체2",민간,688,71.7
"2016","전체",소계,1268,51.4
"2016","지역1",서울,437,76.7
"2016","지역1",부산,75,58.4
"2016","지역1",대구,60,54.9
"2016","지역1",인천,40,38.7
"2016","지역1",광주,40,42.2
"2016","지역1",대전,43,55.5
"2016","지역1",울산,21,70.6
"2016","지역1",세종,2,18.6
"2016","지역1",경기,164,33.3
"2016","지역1",강원,51,18.8
"2016","지역1",충북,29,29.1
"2016","지역1",충남,44,23.8
"2016","지역1",전북,47,44
"2016","지역1",전남,50,20.3
"2016","지역1",경북,56,21.3
"2016","지역1",경남,76,33.4
"2016","지역1",제주,33,50.7
"2016","지역2",서울,437,76.7
"2016","지역2",경기/인천,204,34.4
"2016","지역2",강원,51,18.8
"2016","지역2",충청,118,36.6
"2016","지역2",전라,137,34.8
"2016","지역2",경상,288,44.7
"2016","지역2",제주,33,50.7
