"시점","통계분류(1)",통계분류(2),공연장수,공연일수,공연일수,기타 행사일수,기타 행사일수,공연준비일수,공연준비일수
"시점","통계분류(1)",통계분류(2),소계,합계,평균,합계,평균,합계,평균
"2009","전체",소계,967,105298,108.9,31579,32.7,30556,31.6
"2009","지역3",특별/광역시,534,83687,156.7,14764,27.6,17057,31.9
"2009","지역3",광역도,433,21611,49.9,16816,38.8,13498,31.2
"2009","지역4",수도권,524,80343,153.3,15030,28.7,17367,33.1
"2009","지역4",비수도권,443,24956,56.3,16550,37.4,13189,29.8
"2009","시설특성",중앙정부,22,3934,178.8,45,2,1524,69.3
"2009","시설특성",문예회관,289,17693,61.2,12816,44.3,10661,36.9
"2009","시설특성",대학로,121,33638,278,256,2.1,3483,28.8
"2009","시설특성",기타(공공),189,9411,49.8,10776,57,3890,20.6
"2009","시설특성",기타(민간),346,40623,117.4,7687,22.2,10999,31.8
"2009","운영주체2",공공,388,23026,59.3,18009,46.4,12487,32.2
"2009","운영주체2",민간,571,82273,144.1,13571,23.8,18069,31.6
"2009","운영주체2",모름/무응답,8,-,-,-,-,-,-
"2009","공연장규모1",대공연장,78,10042,128.7,2399,30.8,3240,41.5
"2009","공연장규모1",중공연장,387,38177,98.6,18454,47.7,12646,32.7
"2009","공연장규모1",소공연장,444,56289,126.8,10726,24.2,14670,33
"2009","공연장규모1",모름/무응답,58,791,13.6,-,-,-,-
"2009","공연장규모2",1000석이상,78,10042,128.7,2399,30.8,3240,41.5
"2009","공연장규모2",500석 이상-1000석 미만,192,16488,85.9,9605,50,8012,41.7
"2009","공연장규모2",300석 이상-500석 미만,195,21689,111.2,8849,45.4,4634,23.8
"2009","공연장규모2",100석 이상-300석 미만,388,50775,130.9,10665,27.5,11946,30.8
"2009","공연장규모2",100석 미만,56,5514,98.5,61,1.1,2724,48.6
"2009","공연장규모2",모름/무응답,58,791,13.6,-,-,-,-
"2010","전체",소계,-,104500,102.5,40924,40.1,37452,36.7
"2010","지역3",특별/광역시,-,76241,149.3,12708,25.8,20430,41.2
"2010","지역3",광역도,-,28258,52.8,28216,53.4,17022,33.6
"2010","지역4",수도권,-,66937,142.3,12039,26.3,20902,45.2
"2010","지역4",비수도권,-,37563,65.3,28885,51.3,16550,30.6
"2010","시설특성",중앙정부,-,3087,199.1,80,6.1,1398,82.2
"2010","시설특성",문예회관,-,19948,59.4,23466,75,9226,30.2
"2010","시설특성",대학로,-,26395,179.4,252,1.7,6059,41.2
"2010","시설특성",기타(공공),-,10414,51.4,11310,54.7,4734,24.4
"2010","시설특성",기타(민간),-,44656,129.6,5816,17.1,16036,47.3
"2010","운영주체2",공공,-,19336,50.7,27482,73.7,10064,28.9
"2010","운영주체2",민간,-,85164,128.3,13442,20.7,27388,41.8
"2010","설립주체2",공공,-,32583,61,34040,66.4,14931,30
"2010","설립주체2",민간,-,71917,140.5,6884,13.5,22521,44.5
"2011","전체",소계,1093,99991,91.5,34106,31.2,39204,35.9
"2011","지역2",서울,385,58123,151,7793,20.2,17603,45.7
"2011","지역2",경기/인천,190,9217,48.5,6340,33.4,5048,26.6
"2011","지역2",강원,51,2387,46.8,1641,32.2,1473,28.9
"2011","지역2",충청,103,5763,56,3279,31.8,3472,33.7
"2011","지역2",전라,107,4835,45.2,3880,36.3,3188,29.8
"2011","지역2",경상,229,18461,80.6,9359,40.9,7816,34.1
"2011","지역2",제주,28,1204,43,1814,64.8,603,21.5
"2011","지역3",특별/광역시,615,79382,129.1,14279,23.2,25730,41.8
"2011","지역3",광역도,478,20608,43.1,19827,41.5,13474,28.2
"2011","지역4",수도권,575,67340,117.1,14133,24.6,22651,39.4
"2011","지역4",비수도권,518,32651,63,19973,38.6,16553,32
"2011","시설특성",중앙정부,22,4280,194.5,137,6.2,1369,62.2
"2011","시설특성",문예회관,336,18810,56,17850,53.1,9826,29.2
"2011","시설특성",대학로,154,28263,183.5,188,1.2,7097,46.1
"2011","시설특성",기타(공공),237,15767,66.5,8969,37.8,9328,39.4
"2011","시설특성",기타(민간),344,32870,95.6,6961,20.2,11584,33.7
"2011","운영주체2",공공,425,24312,57.2,21414,50.4,12221,28.8
"2011","운영주체2",민간,668,75679,113.3,12691,19,26983,40.4
"2011","설립주체2",공공,595,38858,65.3,26957,45.3,20523,34.5
"2011","설립주체2",민간,498,61133,122.8,7149,14.4,18681,37.5
"2012","전체",소계,1188,137700,115.9,37322,31.4,41892,35.3
"2012","지역2",서울,435,77056,177.1,7723,17.8,16455,37.8
"2012","지역2",경기/인천,205,13653,66.6,8675,42.3,4591,22.4
"2012","지역2",강원,52,3263,62.8,1656,31.8,1755,33.7
"2012","지역2",충청,106,8165,77,5788,54.6,5599,52.8
"2012","지역2",전라,118,7528,63.8,5652,47.9,4931,41.8
"2012","지역2",경상,245,23992,97.9,6954,28.4,7941,32.4
"2012","지역2",제주,27,4043,149.7,874,32.4,619,22.9
"2012","지역3",특별/광역시,681,107774,158.3,14744,21.7,26534,39
"2012","지역3",광역도,507,29926,59,22577,44.5,15357,30.3
"2012","지역4",수도권,640,90709,141.7,16398,25.6,21047,32.9
"2012","지역4",비수도권,548,46991,85.7,20924,38.2,20845,38
"2012","시설특성",중앙정부,25,4517,180.7,182,7.3,2040,81.6
"2012","시설특성",문예회관,341,19216,56.4,16690,48.9,12943,38
"2012","시설특성",대학로,162,35608,219.8,786,4.9,5262,32.5
"2012","시설특성",기타(공공),256,18740,73.2,14940,58.4,5259,20.5
"2012","시설특성",기타(민간),404,59.619,147.6,4.723,11.7,16.388,40.6
"2012","운영주체2",공공,556,37895,68.2,29019,52.2,18929,34
"2012","운영주체2",민간,632,99805,157.9,8302,13.1,22963,36.3
"2012","설립주체2",공공,622,42473,68.3,31812,51.1,20242,32.5
"2012","설립주체2",민간,566,95227,168.2,5509,9.7,21650,38.3
"2013","전체",소계,1227,150366,122.5,31570,25.7,47098,38.4
"2013","지역2",서울,466,82852,177.8,7966,17.1,17294,37.1
"2013","지역2",경기/인천,210,19366,92.2,6113,29.1,6292,30
"2013","지역2",강원,53,3342,63.1,1245,23.5,2461,46.4
"2013","지역2",충청,102,7424,72.8,4833,47.4,4688,46
"2013","지역2",전라,120,7294,60.8,3271,27.3,4761,39.7
"2013","지역2",경상,248,26188,105.6,7402,29.8,10296,41.5
"2013","지역2",제주,28,3899,139.2,740,26.4,1306,46.7
"2013","지역3",특별/광역시,713,114845,161.1,14340,20.1,29068,40.8
"2013","지역3",광역도,514,35521,69.1,17230,33.5,18030,35.1
"2013","지역4",수도권,676,102219,151.2,14079,20.8,23586,34.9
"2013","지역4",비수도권,551,48147,87.4,17491,31.7,23512,42.7
"2013","시설특성",중앙정부,25,4594,183.8,74,3,2171,86.8
"2013","시설특성",문예회관,339,21616,63.5,14969,43.9,14604,42.9
"2013","시설특성",대학로,170,39319,232.4,603,3.6,5061,29.9
"2013","시설특성",기타(공공),260,20599,78.9,10905,41.7,7189,27.5
"2013","시설특성",기타(민간),433,64238,149.1,5019,11.6,18073,41.9
"2013","운영주체2",공공,561,41974,74.8,23805,42.4,21867,39
"2013","운영주체2",민간,666,108391,162.7,7765,11.7,25230,37.9
"2013","설립주체2",공공,627,46809,74.7,25948,41.4,23964,38.2
"2013","설립주체2",민간,600,103557,172.5,5622,9.4,23134,38.5
"2014","전체",소계,1280,156147,122,46034,36,31728,24.8
"2014","지역2",서울,471,85495,181.5,10474,22.2,7604,16.1
"2014","지역2",경기/인천,211,16391,77.7,10383,49.2,6731,31.9
"2014","지역2",강원,53,2905,54.8,1975,37.3,1769,33.4
"2014","지역2",충청,106,8674,81.8,4861,45.9,2739,25.8
"2014","지역2",전라,129,10018,77.7,4671,36.2,3084,23.9
"2014","지역2",경상,271,27042,99.8,9321,34.4,9079,33.5
"2014","지역2",제주,39,5622,144.2,4349,111.5,722,18.5
"2014","지역3",특별/광역시,739,119284,161.4,19588,26.5,14230,19.3
"2014","지역3",광역도,541,36863,68.1,26446,48.9,17498,32.3
"2014","지역4",수도권,682,101778,149.2,20917,30.7,14284,20.9
"2014","지역4",비수도권,598,54369,90.9,25117,42,17444,29.2
"2014","시설특성",중앙정부,25,4951,198,75,3,1708,68.3
"2014","시설특성",문예회관,362,24686,68.2,13492,37.3,16123,44.5
"2014","시설특성",대학로,165,40038,242.7,552,3.3,1659,10.1
"2014","시설특성",기타(공공),271,18750,69.2,15077,55.6,3640,13.4
"2014","시설특성",기타(민간),457,67722,148.2,16839,36.8,8599,18.8
"2014","운영주체2",공공,588,43315,73.7,25348,43.1,20565,35
"2014","운영주체2",민간,692,112832,163.1,20686,29.9,11163,16.1
"2014","설립주체2",공공,658,48387,73.5,28643,43.5,21471,32.6
"2014","설립주체2",민간,622,107760,173.2,17391,28,10257,16.5
"2015","전체",소계,1290,144912,112.3,35250,27.3,49537,38.4
"2015","지역1",서울,468,84509,180.6,7727,16.5,18663,39.9
"2015","지역1",부산,76,9026,118.8,1266,16.7,3544,46.6
"2015","지역1",대구,60,7742,129,953,15.9,3374,56.2
"2015","지역1",인천,42,3490,83.1,1455,34.6,1948,46.4
"2015","지역1",광주,42,2942,70.1,1069,25.5,1822,43.4
"2015","지역1",대전,37,4491,121.4,1084,29.3,1562,42.2
"2015","지역1",울산,23,2176,94.6,595,25.9,1036,45
"2015","지역1",세종,2,114,57,84,42,62,31
"2015","지역1",경기,157,8979,57.2,8652,55.1,4736,30.2
"2015","지역1",강원,50,2321,46.4,1104,22.1,1526,30.5
"2015","지역1",충북,27,1820,67.4,618,22.9,1291,47.8
"2015","지역1",충남,46,1868,40.6,1745,37.9,1460,31.7
"2015","지역1",전북,47,3990,84.9,979,20.8,2178,46.3
"2015","지역1",전남,53,1699,32.1,1918,36.2,1923,36.3
"2015","지역1",경북,59,2864,48.5,1989,33.7,1424,24.1
"2015","지역1",경남,67,2601,38.8,1433,21.4,1753,26.2
"2015","지역1",제주,34,4280,125.9,2579,75.8,1236,36.4
"2015","지역2",서울,468,84509,180.6,7727,16.5,18663,39.9
"2015","지역2",경기/인천,199,12469,62.7,10107,50.8,6684,33.6
"2015","지역2",강원,50,2321,46.4,1104,22.1,1526,30.5
"2015","지역2",충청,112,8294,74.1,3532,31.5,4376,39.1
"2015","지역2",전라,142,8631,60.8,3966,27.9,5922,41.7
"2015","지역2",경상,285,24409,85.6,6236,21.9,11130,39.1
"2015","지역2",제주,34,4280,125.9,2579,75.8,1236,36.4
"2015","지역3",특별/광역시,750,114490,152.7,14233,19,32011,42.7
"2015","지역3",광역도,540,30422,56.3,21017,38.9,17527,32.5
"2015","지역4",수도권,667,96978,145.4,17834,26.7,25347,38
"2015","지역4",비수도권,623,47935,76.9,17416,28,24190,38.8
"2015","시설특성",중앙정부,33,5025,152.3,171,5.2,2733,82.8
"2015","시설특성",문예회관,370,25066,67.7,12271,33.2,16501,44.6
"2015","시설특성",대학로,156,39876,255.6,805,5.2,6267,40.2
"2015","시설특성",기타(공공),273,13361,48.9,13389,49,4783,17.5
"2015","시설특성",민간[대학로 외],458,61583,134.5,8614,18.8,19254,42
"2015","운영주체2",공공,602,38367,63.7,22965,38.1,22465,37.3
"2015","운영주체2",민간,688,106545,154.9,12285,17.9,27073,39.3
"2015","설립주체2",공공,676,43452,64.3,25831,38.2,24017,35.5
"2015","설립주체2",민간,614,101460,165.2,9419,15.3,25520,41.6
"2016","전체",소계,1268,127988,100.9,32501,25.6,48521,38.3
"2016","지역1",서울,437,71797,164.3,6920,15.8,19010,43.5
"2016","지역1",부산,75,7939,105.9,1224,16.3,3927,52.4
"2016","지역1",대구,60,5796,96.6,1216,20.3,3130,52.2
"2016","지역1",인천,40,2858,71.5,1835,45.9,1339,33.5
"2016","지역1",광주,40,2806,70.1,1681,42,1774,44.3
"2016","지역1",대전,43,4870,113.3,890,20.7,1601,37.2
"2016","지역1",울산,21,2605,124.1,394,18.8,1410,67.1
"2016","지역1",세종,2,78,39,45,22.5,22,11.2
"2016","지역1",경기,164,9686,59.1,5998,36.6,5134,31.3
"2016","지역1",강원,51,1626,31.9,1502,29.5,968,19
"2016","지역1",충북,29,1336,46.1,753,26,949,32.7
"2016","지역1",충남,44,1587,36.1,1687,38.3,1255,28.5
"2016","지역1",전북,47,3908,83.1,1158,24.6,1696,36.1
"2016","지역1",전남,50,1528,30.6,2281,45.6,1222,24.4
"2016","지역1",경북,56,1684,30.1,1910,34.1,1547,27.6
"2016","지역1",경남,76,4346,57.2,1616,21.3,2535,33.4
"2016","지역1",제주,33,3537,107.2,1389,42.1,1001,30.3
"2016","지역2",서울,437,71797,164.3,6920,15.8,19010,43.5
"2016","지역2",경기/인천,204,12544,61.5,7833,38.4,6473,31.7
"2016","지역2",강원,51,1626,31.9,1502,29.5,968,19
"2016","지역2",충청,118,7872,66.7,3376,28.6,3828,32.4
"2016","지역2",전라,137,8241,60.2,5121,37.4,4692,34.3
"2016","지역2",경상,288,22371,77.7,6360,22.1,12548,43.6
"2016","지역2",제주,33,3537,107.2,1389,42.1,1001,30.3
"2016","지역3",특별/광역시,718,98750,137.5,14206,19.8,32214,44.9
"2016","지역3",광역도,550,29238,53.2,18295,33.3,16307,29.6
"2016","지역4",수도권,641,84341,131.6,14753,23,25484,39.8
"2016","지역4",비수도권,627,43647,69.6,17747,28.3,23038,36.7
"2016","시설특성",중앙정부,33,4531,137.3,152,4.6,2845,86.2
"2016","시설특성",문예회관,388,22397,57.7,13157,33.9,15004,38.7
"2016","시설특성",대학로,152,32905,216.5,711,4.7,7391,48.6
"2016","시설특성",기타(공공),255,13172,51.7,11532,45.2,4498,17.6
"2016","시설특성",민간[대학로 외],440,54983,125,6948,15.8,18782,42.7
"2016","운영주체2",공공,609,35194,57.8,21507,35.3,20962,34.4
"2016","운영주체2",민간,659,92793,140.8,10993,16.7,27559,41.8
"2016","설립주체2",공공,675,40108,59.4,24842,36.8,22348,33.1
"2016","설립주체2",민간,593,87880,148.2,7659,12.9,26173,44.1
"2017","전체",소계,1323,130197,98.4,39190,29.6,50379,38.1
