"지역별(1)","시점",사업체,사업체,사업체,사업체,사업체,사업체,사업체,사업체,구성비,구성비,구성비,구성비,구성비,구성비,구성비
"지역별(1)","시점",전체,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업
"전체","2013",18441,11722,1074,385,508,16,358,4378,63.6,5.8,2.1,2.8,0.1,1.9,23.7
"전체","2014",20769,12854,1278,336,677,17,593,5014,61.9,6.2,1.6,3.3,0.1,2.9,24.1
"전체","2015",23874,14607,1503,1213,619,17,1060,4855,61.2,6.3,5.1,2.6,0.1,4.4,20.3
"전체","2016",27696,16605,1716,3168,700,17,1782,3708,60,6.2,11.4,2.5,0.1,6.4,13.4
"전체","2017",33089,19944,1843,3963,890,17,2548,3884,60.3,5.6,12,2.7,0.1,7.7,11.7
"전체","2018",33452,19039,2110,4323,886,17,3000,4077,56.9,6.3,12.9,2.6,0.1,9,12.2
"전체","2019",33325,18223,2218,4657,1040,17,2981,4189,54.7,6.7,14,3.1,0.1,8.9,12.6
"전체","2020",32015,16660,2223,6079,1110,17,2689,3237,52,6.9,19,3.5,0.1,8.4,10.1
"전체","2021",33553,17433,2372,6582,1201,17,2611,3337,52,7.1,19.6,3.6,0.1,7.8,9.9
"전체","2022",35007,17865,2155,7372,1314,17,2760,3524,51,6.2,21.1,3.8,0,7.9,10.1
"전체","2023",38712,19463,2591,8684,1424,17,2866,3667,50.3,6.7,22.4,3.7,0,7.4,9.5
"서울","2013",6705,4914,185,91,345,3,16,1151,73.3,2.8,1.4,5.1,0,0.2,17.2
"서울","2014",7435,5359,233,7,434,3,33,1366,72.1,3.1,0.1,5.8,0,0.4,18.4
"서울","2015",8406,6187,292,15,411,3,79,1425,73.6,3.5,0.2,4.9,0,0.9,17
"서울","2016",9457,6996,354,884,465,3,130,625,74,3.7,9.3,4.9,0,1.4,6.6
"서울","2017",11984,9152,397,1054,544,3,235,600,76.4,3.3,8.8,4.5,0,2,5
"서울","2018",11561,8518,440,1130,563,3,308,599,73.7,3.8,9.8,4.9,0,2.7,5.2
"서울","2019",11178,7794,460,1288,665,3,321,647,69.7,4.1,11.5,5.9,0,2.9,5.8
"서울","2020",10442,7054,452,1374,712,3,262,585,67.6,4.3,13.2,6.8,0,2.5,5.6
"서울","2021",10534,7119,464,1343,755,3,234,615,67.6,4.4,12.8,7.2,0,2.2,5.8
"서울","2022",10992,7425,459,1422,815,3,234,634,67.5,4.2,12.9,7.4,0,2.1,5.8
"서울","2023",11923,7883,463,1933,860,3,234,547,66.1,3.9,16.2,7.2,0,2,4.6
"부산","2013",1175,801,56,28,35,2,13,240,68.2,4.8,2.4,3,0.2,1.1,20.4
