"소재지(시군구)별(1)","시점",계,계,공연장,공연장,박물관,박물관,미술관,미술관,과학관,과학관,문화산업단지,문화산업단지,문화산업진흥시설,문화산업진흥시설,지방문화원,지방문화원,문화예술진흥시설,문화예술진흥시설,전시시설,전시시설,국제회의시설,국제회의시설,공공도서관,공공도서관,전문도서관,전문도서관
"소재지(시군구)별(1)","시점",시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡)
"전국","2005",217,5265770,28,464098,27,784367,10,212871,1,238909,1,63820,7,124023,10,47740,133,3329942,-,-,-,-,-,-,-,-
"전국","2006",257,5802980,30,547452,31,892946,15,219408,1,238909,1,63820,7,124023,12,57318,160,3659104,-,-,-,-,-,-,-,-
"전국","2007",284,7038276,30,409103,32,1025552,15,256800,1,238909,1,63820,4,41152,10,47740,191,4955200,-,-,-,-,-,-,-,-
"전국","2008",338,9001116,21,344149,33,841919,16,255284,2,254240,1,63820,1,98000,7,30798,257,7112906,-,-,-,-,-,-,-,-
"전국","2009",418,10353758,19,336935,35,1081298,18,271306,3,256127,1,63820,0,0,8,43497,334,8300775,-,-,-,-,-,-,-,-
"전국","2010",483,13960458,20,350899,31,1226737,16,224205,2,254240,1,63820,0,0,7,41180,406,11799377,-,-,-,-,-,-,-,-
"전국","2011",521,15095034,20,346751,35,1433829,16,220768,2,265676,1,63820,0,0,6,36680,441,12727510,-,-,-,-,-,-,-,-
"전국","2012",569,16292140,19,314772,39,1971983,16,220544,3,308811,0,0,0,0,6,29171,486,13446859,-,-,-,-,-,-,-,-
"전국","2013",591,17448191,18,295173,40,2021009,16,227017,4,607568,0,0,0,0,6,29171,507,14268253,-,-,-,-,-,-,-,-
"전국","2014",623,18303884,19,315582,41,2027443,16,226362,4,596132,0,0,0,0,6,29171,537,15109194,-,-,-,-,-,-,-,-
"전국","2015",634,18604780,4,596132,0,0,19,332977,43,2211122,16,226362,0,0,6,23770,546,15214417,-,-,-,-,-,-,-,-
"전국","2016",891,20242079,4,596132,0,0,18,319394,39,2184323,16,226362,0,0,7,27557,586,15891081,0,0,0,0,221,997230,0,0
"전국","2017",944,20553953,4,607568,0,0,20,337926,40,2242666,16,225149,0,0,7,27557,631,16102199,0,0,0,0,226,1010888,0,0
"전국","2018",987,21149891,4,607568,-,-,20,337926,42,2291379,17,253773,-,-,7,27557,666,16600003,-,-,-,-,231,1031685,-,-
"전국","2019",1011,21844503,4,607568,-,-,20,338473,42,2336118,18,283418,-,-,8,28387,684,17174967,-,-,-,-,235,1075572,-,-
"전국","2020",1055,24506055,5,631262,-,-,23,371260,55,3158088,18,282080,6,196829,14,139446,687,18560542,2,4047,-,-,245,1162501,-,-
"전국","2021",1087,25154939,6,660830,-,-,23,355041,58,3205872,18,281989,12,456195,15,136010,699,18580473,5,88198,-,-,251,1390331,-,-
"전국","2022",1128,25595320,6,660830,-,-,26,385468,61,3329421,19,288911,8,431194,17,139938,723,18680473,6,195740,-,-,262,1483345,-,-
"전국","2023",1161,25841062,6,660830,-,-,29,455627,62,3329603,19,288911,10,449647,17,139938,741,18761216,10,221534,-,-,267,1533756,-,-
"서울특별시","2005",11,264240,1,1894,0,0,1,3536,0,0,0,0,1,8027,1,8466,7,242317,-,-,-,-,-,-,-,-
"서울특별시","2006",15,334515,2,5430,0,0,1,3536,0,0,0,0,1,8027,3,18044,8,299478,-,-,-,-,-,-,-,-
"서울특별시","2007",22,342088,3,5844,0,0,1,3536,0,0,0,0,1,8027,1,8466,16,316215,-,-,-,-,-,-,-,-
"서울특별시","2008",22,430897,2,70633,0,0,1,4065,0,0,0,0,0,0,0,0,19,356199,-,-,-,-,-,-,-,-
"서울특별시","2009",35,475121,2,70633,0,0,1,4065,0,0,0,0,0,0,0,0,32,400423,-,-,-,-,-,-,-,-
"서울특별시","2010",51,506763,2,70633,0,0,1,4065,0,0,0,0,0,0,0,0,48,432065,-,-,-,-,-,-,-,-
"서울특별시","2011",54,582874,2,70633,0,0,1,4065,0,0,0,0,0,0,0,0,51,508176,-,-,-,-,-,-,-,-
"서울특별시","2012",57,602177,2,70633,0,0,1,4065,0,0,0,0,0,0,0,0,54,527479,-,-,-,-,-,-,-,-
"서울특별시","2013",60,570740,2,70633,0,0,1,4065,0,0,0,0,0,0,0,0,57,496042,-,-,-,-,-,-,-,-
"서울특별시","2014",57,567329,2,70633,0,0,1,4065,0,0,0,0,0,0,0,0,54,492631,-,-,-,-,-,-,-,-
"서울특별시","2015",57,567329,0,0,0,0,2,70633,0,0,1,4065,0,0,0,0,54,492631,-,-,-,-,-,-,-,-
"서울특별시","2016",96,673179,0,0,0,0,2,70633,0,0,1,4065,0,0,0,0,57,498908,0,0,0,0,36,99573,0,0
