"행정구역별(1)","시점",박물관,박물관,박물관,박물관,미술관,미술관,미술관,미술관
"행정구역별(1)","시점",소계,국공립,사립,대학,소계,국공립,사립,대학
"총계","2009",494,200,126,60,142,47,61,2
"총계","2010",629,285,240,104,154,52,63,5
"총계","2011",654,310,249,95,157,45,76,3
"총계","2012",631,269,268,94,190,60,86,10
"총계","2013",721,337,289,95,197,48,104,7
"총계","2014",768,351,321,96,214,58,111,6
"총계","2015",780,346,338,96,223,52,123,7
"총계","2016",758,320,337,101,244,73,155,16
"총계","2017",829,367,294,168,249,69,164,16
"총계","2018",838,370,366,102,253,71,165,17
"총계","2019",819,371,344,104,262,72,176,14
"총계","2020",892,425,360,107,274,79,181,14
"총계","2021",885,421,355,109,280,80,186,14
"서울특별시","2009",108,-,-,-,32,-,-,-
"서울특별시","2010",112,19,63,30,34,-,-,-
"서울특별시","2011",114,20,64,30,33,11,20,-
"서울특별시","2012",114,20,64,30,34,-,-,-
"서울특별시","2013",115,24,66,25,38,-,-,-
"서울특별시","2014",117,25,67,25,39,...,...,...
"서울특별시","2015",119,21,72,26,41,...,...,...
"서울특별시","2016",120,21,73,26,40,5,30,5
"서울특별시","2017",123,23,73,27,42,4,33,5
"서울특별시","2018",129,28,73,28,45,7,33,5
"서울특별시","2019",128,28,72,28,46,7,34,5
"서울특별시","2020",132,34,70,28,46,7,34,5
"서울특별시","2021",134,37,69,28,46,7,34,5
"부산광역시","2009",13,4,3,6,3,1,2,-
"부산광역시","2010",16,3,3,10,4,1,2,1
"부산광역시","2011",15,5,4,6,5,1,3,1
"부산광역시","2012",16,6,4,6,5,1,3,1
"부산광역시","2013",16,6,4,6,5,1,3,1
"부산광역시","2014",16,6,4,6,5,1,3,1
"부산광역시","2015",21,7,4,10,5,1,3,1
"부산광역시","2016",26,9,6,11,6,1,3,2
"부산광역시","2017",28,11,6,11,6,1,3,2
"부산광역시","2018",30,13,6,11,8,2,4,2
"부산광역시","2019",29,11,7,11,8,2,4,2
"부산광역시","2020",33,13,9,11,9,2,5,2
"부산광역시","2021",33,13,9,11,9,2,5,2
"대구광역시","2009",4,1,-,3,5,1,3,1
"대구광역시","2010",9,3,3,3,2,1,-,1
"대구광역시","2011",13,5,5,3,2,1,-,1
"대구광역시","2012",14,6,5,3,3,1,-,2
"대구광역시","2013",14,6,5,3,3,1,-,2
"대구광역시","2014",13,6,4,3,4,2,0,2
"대구광역시","2015",13,6,4,3,4,2,0,2
"대구광역시","2016",15,7,5,3,4,2,0,2
"대구광역시","2017",15,7,5,3,4,2,0,2
"대구광역시","2018",16,8,5,3,4,2,0,2
"대구광역시","2019",16,8,5,3,4,2,0,2
"대구광역시","2020",17,8,6,3,4,2,0,2
"대구광역시","2021",17,8,6,3,4,2,0,2
"인천광역시","2009",22,10,11,1,-,-,-,-
"인천광역시","2010",24,12,11,1,4,1,3,-
"인천광역시","2011",24,12,11,1,4,1,3,-
"인천광역시","2012",22,13,8,1,5,3,2,-
"인천광역시","2013",22,10,11,1,4,2,2,-
"인천광역시","2014",24,9,14,1,4,2,2,0
"인천광역시","2015",25,13,11,1,4,2,2,0
"인천광역시","2016",26,13,12,1,6,2,2,2
"인천광역시","2017",26,13,12,1,6,2,2,2
"인천광역시","2018",26,13,12,1,6,2,2,2
"인천광역시","2019",18,10,7,1,3,1,2,0
"인천광역시","2020",28,16,11,1,5,2,3,0
"인천광역시","2021",28,16,11,1,5,2,3,0
"광주광역시","2009",5,2,-,3,8,8,-,-
"광주광역시","2010",5,2,-,3,8,8,-,-
"광주광역시","2011",8,5,1,2,7,1,5,1
"광주광역시","2012",10,5,2,3,7,1,5,1
"광주광역시","2013",10,5,2,3,7,1,5,1
"광주광역시","2014",9,4,2,3,10,4,6,-
"광주광역시","2015",10,5,2,3,9,2,6,1
"광주광역시","2016",9,4,2,3,10,4,6,0
"광주광역시","2017",5,1,1,3,9,4,5,0
"광주광역시","2018",5,1,1,3,13,4,8,1
"광주광역시","2019",5,2,0,3,16,4,11,1
"광주광역시","2020",5,2,0,3,16,4,11,1
"광주광역시","2021",10,3,3,4,16,4,11,1
"대전광역시","2009",19,5,7,7,4,2,2,-
"대전광역시","2010",20,6,7,7,5,2,3,-
"대전광역시","2011",16,4,6,6,5,2,3,-
"대전광역시","2012",18,9,2,7,6,2,4,-
"대전광역시","2013",18,9,2,7,5,2,3,-
"대전광역시","2014",19,6,6,7,5,2,3,-
"대전광역시","2015",18,6,5,7,5,2,3,-
"대전광역시","2016",14,4,4,6,5,2,3,-
"대전광역시","2017",14,4,4,6,5,2,3,0
"대전광역시","2018",15,4,4,7,5,2,3,0
"대전광역시","2019",15,4,4,7,5,2,3,0
"대전광역시","2020",15,4,4,7,5,2,3,-
"대전광역시","2021",15,4,4,7,5,2,3,-
"울산광역시","2009",7,6,-,1,-,-,-,-
"울산광역시","2010",7,6,-,1,-,-,-,-
"울산광역시","2011",9,7,1,1,-,-,-,-
"울산광역시","2012",6,4,1,1,-,-,-,-
"울산광역시","2013",5,4,-,1,-,-,-,-
"울산광역시","2014",7,6,0,1,0,0,0,0
"울산광역시","2015",7,6,0,1,0,0,0,0
"울산광역시","2016",8,7,0,1,0,0,0,0
"울산광역시","2017",9,8,0,1,0,0,0,0
"울산광역시","2018",9,7,1,1,0,0,0,0
"울산광역시","2019",10,8,1,1,-,-,-,-
"울산광역시","2020",10,8,1,1,-,-,-,-
"울산광역시","2021",11,8,1,2,1,1,0,0
"세종특별자치시","2012",2,2,-,-,-,-,-,-
"세종특별자치시","2013",2,2,-,-,-,-,-,-
"세종특별자치시","2014",2,2,-,-,0,-,-,-
"세종특별자치시","2015",2,2,0,0,0,0,0,0
"세종특별자치시","2016",0,0,0,0,0,0,0,0
"세종특별자치시","2017",0,-,-,-,0,0,0,0
"세종특별자치시","2018",7,3,4,0,0,0,0,0
"세종특별자치시","2019",6,2,4,0,0,0,0,0
"세종특별자치시","2020",7,3,4,-,-,-,-,-
"세종특별자치시","2021",7,7,0,0,0,0,0,0
"경기도","2009",88,28,52,8,26,5,21,-
"경기도","2010",92,41,38,13,28,9,16,3
"경기도","2011",102,39,52,11,27,6,21,-
"경기도","2012",123,46,67,10,43,9,30,4
"경기도","2013",131,58,63,10,43,11,29,3
"경기도","2014",143,60,72,11,44,10,31,3
"경기도","2015",139,56,72,11,49,10,36,3
"경기도","2016",133,51,71,11,52,10,38,4
"경기도","2017",140,55,10,75,54,12,38,4
"경기도","2018",136,51,74,11,53,12,36,5
"경기도","2019",120,46,63,11,53,11,39,3
"경기도","2020",124,50,63,11,55,13,39,3
"경기도","2021",128,54,63,11,58,14,41,3
"강원특별자치도","2009",64,39,20,5,9,3,6,-
"강원특별자치도","2010",76,45,26,5,9,3,6,-
"강원특별자치도","2011",69,43,21,5,9,3,6,-
"강원특별자치도","2012",56,23,29,4,9,1,8,-
"강원특별자치도","2013",73,40,28,5,8,3,5,-
"강원특별자치도","2014",92,44,43,5,12,4,8,0
"강원특별자치도","2015",101,50,46,5,15,4,11,0
"강원특별자치도","2016",98,50,43,5,17,4,13,0
"강원특별자치도","2017",100,50,45,5,17,4,13,0
"강원특별자치도","2018",100,50,45,5,17,4,13,0
"강원특별자치도","2019",95,50,40,5,18,4,14,0
"강원특별자치도","2020",99,49,45,5,19,4,15,0
"강원특별자치도","2021",82,36,41,5,15,3,12,0
"충청북도","2009",8,4,-,4,6,4,2,-
"충청북도","2010",39,25,9,5,6,2,4,-
"충청북도","2011",41,26,9,6,7,2,5,-
"충청북도","2012",43,26,9,8,7,2,5,-
"충청북도","2013",41,28,7,6,7,2,5,-
"충청북도","2014",42,28,8,6,7,2,5,0
"충청북도","2015",44,28,10,6,8,3,5,-
"충청북도","2016",42,25,11,6,10,5,5,0
"충청북도","2017",42,25,11,6,10,5,5,0
"충청북도","2018",45,27,13,5,11,5,6,0
"충청북도","2019",45,27,13,5,11,5,6,0
"충청북도","2020",43,26,12,5,12,6,6,0
"충청북도","2021",41,25,11,5,12,6,6,0
"충청남도","2009",11,11,-,-,8,6,2,-
"충청남도","2010",11,11,-,-,8,6,2,-
"충청남도","2011",13,13,-,-,8,6,2,-
"충청남도","2012",23,15,6,2,11,-,9,2
"충청남도","2013",24,16,5,3,8,1,7,-
"충청남도","2014",18,15,2,1,8,2,6,-
"충청남도","2015",28,20,5,3,8,2,6,0
"충청남도","2016",30,19,7,4,9,3,5,1
"충청남도","2017",52,31,17,4,9,2,7,0
"충청남도","2018",35,20,12,3,9,2,7,0
"충청남도","2019",55,34,17,4,9,2,7,0
"충청남도","2020",58,34,19,5,8,2,6,0
"충청남도","2021",64,37,21,6,10,2,8,0
"전라북도","2009",17,10,3,4,5,4,-,1
"전라북도","2010",16,12,-,4,6,6,-,-
"전라북도","2011",22,14,3,5,7,4,3,-
"전라북도","2012",24,15,5,4,10,6,4,-
"전라북도","2013",27,16,6,5,14,5,9,-
"전라북도","2014",45,29,10,6,18,9,9,0
"전라북도","2015",40,26,9,5,11,2,9,0
"전라북도","2016",21,17,0,4,20,12,8,0
"전라북도","2017",43,28,10,5,18,6,12,0
"전라북도","2018",41,28,9,4,16,7,9,0
"전라북도","2019",43,28,9,6,17,7,10,0
"전라북도","2020",44,29,9,6,18,7,11,0
"전라북도","2021",44,29,9,6,20,7,13,0
"전라남도","2009",34,24,8,2,12,2,10,-
"전라남도","2010",35,25,8,2,12,2,10,-
"전라남도","2011",37,27,8,2,15,2,13,-
"전라남도","2012",19,19,-,-,17,17,-,-
"전라남도","2013",52,34,15,3,22,7,15,-
"전라남도","2014",46,31,12,3,22,7,15,0
"전라남도","2015",46,31,12,3,25,7,18,0
"전라남도","2016",41,23,15,3,25,7,18,0
"전라남도","2017",57,34,19,4,29,8,21,0
"전라남도","2018",57,34,19,4,29,8,21,0
"전라남도","2019",49,29,17,3,31,8,23,0
"전라남도","2020",64,43,18,3,35,11,24,0
"전라남도","2021",65,42,20,3,38,11,27,-
"경상북도","2009",60,39,10,11,6,2,4,-
"경상북도","2010",72,36,22,14,6,2,4,-
"경상북도","2011",60,39,10,11,-,6,-,-
"경상북도","2012",29,15,6,8,7,7,-,-
"경상북도","2013",57,33,14,10,7,2,5,-
"경상북도","2014",62,34,16,12,9,3,6,0
"경상북도","2015",65,37,17,11,11,5,6,0
"경상북도","2016",65,37,17,11,11,5,6,0
"경상북도","2017",66,39,16,11,11,5,5,1
"경상북도","2018",59,33,16,10,8,3,5,0
"경상북도","2019",58,32,16,10,11,5,5,1
"경상북도","2020",77,43,23,11,11,5,5,1
"경상북도","2021",74,41,23,10,11,5,5,1
"경상남도","2009",31,14,12,5,5,5,-,-
"경상남도","2010",53,32,16,5,7,3,4,-
"경상남도","2011",56,35,16,5,8,4,4,-
"경상남도","2012",57,37,14,6,8,4,4,-
"경상남도","2013",58,38,14,6,8,4,4,-
"경상남도","2014",57,38,14,5,8,4,4,0
"경상남도","2015",40,23,17,0,9,4,5,0
"경상남도","2016",47,24,18,5,9,4,5,0
"경상남도","2017",47,24,18,5,9,4,5,0
"경상남도","2018",60,34,21,5,8,4,4,0
"경상남도","2019",67,41,21,5,10,5,5,0
"경상남도","2020",74,46,22,6,10,5,5,0
"경상남도","2021",77,49,22,6,10,5,5,0
"제주특별자치도","2009",3,3,-,-,13,4,9,-
"제주특별자치도","2010",42,7,34,1,15,6,9,-
"제주특별자치도","2011",55,16,38,1,14,6,8,-
"제주특별자치도","2012",55,8,46,1,18,6,12,-
"제주특별자치도","2013",56,8,47,1,18,6,12,-
"제주특별자치도","2014",56,8,47,1,19,6,13,0
"제주특별자치도","2015",62,9,52,1,19,6,13,0
"제주특별자치도","2016",63,9,53,1,20,7,13,0
"제주특별자치도","2017",62,14,47,1,20,8,12,0
"제주특별자치도","2018",68,16,51,1,21,7,14,-
"제주특별자치도","2019",60,11,48,1,20,7,13,-
"제주특별자치도","2020",62,17,44,1,21,7,14,-
"제주특별자치도","2021",55,12,42,1,20,7,13,0
