"권역별(1)","시점",계,시각예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술
"권역별(1)","시점",소계,소계,소계,소계,국악,국악,양악,양악,연극,연극,무용,무용,혼합,혼합
"권역별(1)","시점",활동건수 (건),활동건수 (건),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회)
"계","2015",33103,13207,19896,123596,1547,2788,10190,11583,5721,99473,1330,2611,1108,7141
"계","2016",34316,13260,21056,138535,1507,4310,9907,11817,6271,112287,1398,3491,1973,6630
"계","2017",37227,14619,22608,117740,1583,3860,10576,12066,6533,89645,1340,4142,2576,8027
"계","2018",39911,15192,24719,127429,1735,3470,11333,12805,7608,101128,1270,2524,2773,7502
"계","2019",44183,15256,28927,126978,1929,4710,12219,14008,9693,97799,1540,2492,3546,7969
"계","2020",15468,6379,9089,62139,645,847,4629,5430,2424,51747,517,1015,874,3100
"계","2021",31924,13364,18560,103009,1435,9393,9467,17425,4870,67328,1237,4518,1551,4345
"계","2022",40532,16151,24381,110501,1941,2690,12542,16496,6708,85428,1358,2574,1832,3313
"수도권","2015",17364,7331,10033,81042,686,1428,5370,6087,2632,67536,710,1853,635,4138
"수도권","2016",17278,7489,9789,87894,605,2355,4906,5412,2783,73743,696,1767,799,4617
"수도권","2017",18832,8347,10485,77754,777,1771,5101,5750,2851,61744,687,3082,1069,5407
"수도권","2018",20260,8632,11628,85536,909,1316,5676,6398,3297,71114,644,1684,1102,5024
"수도권","2019",21549,8470,13079,83998,923,2237,5896,6605,4165,69190,791,1486,1304,4480
"수도권","2020",7730,3112,4618,47394,257,367,2460,3094,1321,41165,237,685,343,2083
"수도권","2021",17186,7604,9582,65227,619,846,5108,7312,2540,53488,663,1613,652,1968
"수도권","2022",21000,8955,12045,77626,967,1274,6542,9394,3185,63754,716,1760,635,1444
"비수도권","2015",15739,5876,9863,42554,861,1360,4820,5496,3089,31937,620,758,473,3003
"비수도권","2016",17038,5771,11267,50641,902,1955,5001,6405,3488,38544,702,1724,1174,2013
"비수도권","2017",18395,6272,12123,39986,806,2089,5475,6316,3682,27901,653,1060,1507,2620
"비수도권","2018",19651,6560,13091,41893,826,2154,5657,6407,4311,30014,626,840,1671,2478
"비수도권","2019",22634,6786,15848,42980,1006,2473,6323,7403,5528,28609,749,1006,2242,3489
"비수도권","2020",7738,3267,4471,14745,388,480,2169,2336,1103,10582,280,330,531,1017
"비수도권","2021",14738,5760,8978,37782,816,8547,4359,10113,2330,13840,574,2905,899,2377
"비수도권","2022",19532,7196,12336,32875,974,1416,6000,7102,3523,21674,642,814,1197,1869
