"통계분류(1)","통계분류(2)",시점,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"전체","소계",2018,7386,16573,3179,8131,1969,3628,2602,545,26258,40181,8255,19441,15101,23136,21844,25424,13587
"전체","소계",2019,12846,15543,4489,10645,2884,4181,3651,1029,36118,36699,10589,21955,18526,24594,24464,24231,11841
"전체","소계",2020,7237,7741,2335,7012,1465,2495,2492,1008,33744,20635,6915,14952,11132,15662,13595,16421,8136
"전체","소계",2021,7608,8544,2970,7373,1187,2327,3304,892,41183,23446,7643,15433,11984,17731,19393,19902,10734
"전체","소계",2022,9689,11051,2977,9612,1284,2879,3833,1086,46116,31989,9466,19928,14159,21593,22503,23488,13874
"전체","소계",2023,9629,12077,3450,9871,1539,3591,3943,1171,46667,37874,10644,21246,16708,24512,24672,26696,12422
"성별","남자",2018,3497,8104,1576,3895,1055,1876,1129,232,13638,20596,4139,9596,7345,11223,10994,13013,6437
"성별","남자",2019,5862,7554,2404,5376,1417,2386,1896,606,17147,18211,5742,11443,9012,12197,11669,12008,5374
"성별","남자",2020,4186,3864,1110,3429,806,1365,1414,503,16130,10185,3354,8059,5876,7877,7109,8172,3610
"성별","남자",2021,3614,4329,1321,3796,703,1299,1810,325,19044,11656,3764,7220,6241,9051,9706,9503,4522
"성별","남자",2022,4677,5376,1459,4940,706,1498,1924,672,21164,16234,4987,9425,7250,10773,10976,11473,5646
"성별","남자",2023,4759,5830,1745,4869,797,1731,2056,665,21280,18533,5417,10505,8338,11798,12084,13230,5113
"성별","여자",2018,3888,8469,1602,4236,914,1752,1473,312,12620,19586,4116,9845,7756,11914,10851,12412,7150
"성별","여자",2019,6984,7989,2085,5269,1467,1795,1755,423,18971,18488,4847,10512,9514,12398,12794,12223,6467
"성별","여자",2020,3051,3877,1225,3582,659,1130,1078,505,17614,10450,3561,6893,5257,7785,6486,8248,4526
"성별","여자",2021,3994,4215,1649,3577,484,1028,1494,568,22139,11790,3879,8213,5742,8680,9687,10399,6212
"성별","여자",2022,5012,5674,1518,4672,578,1381,1909,414,24952,15755,4479,10503,6909,10820,11527,12015,8228
"성별","여자",2023,4871,6247,1705,5002,742,1860,1888,506,25387,19341,5227,10741,8371,12713,12588,13466,7310
"연령","15~19세",2018,1239,1220,273,107,29,203,155,49,2350,1535,168,662,574,777,1047,793,678
