region,year,count,population,get_culture,museum,museum_pub,museum_pri,museum_col,gallery,gallery_pub,gallery_pri,gallery_col
계,2015,"2,519 ","51,529,338 ",0.48885,809,371,336,102,202,51,140,11
서울,2015,342 ,"10,022,181 ",0.34124,122,26,67,29,38,4,30,4
부산,2015,79 ,"3,513,777 ",0.22483,16,6,4,6,5,1,4,0
대구,2015,66 ,"2,487,829 ",0.26529,13,6,4,3,4,2,2,0
인천,2015,88 ,"2,925,815 ",0.30077,25,14,11,1,6,2,3,1
광주,2015,54 ,"1,472,199 ",0.36680,10,5,2,3,7,3,5,0
대전,2015,54 ,"1,518,775 ",0.35555,15,4,7,4,7,4,2,1
울산,2015,40 ,"1,173,534 ",0.34085,9,1,7,1,1,1,0,0
세종,2015,10 ,"210,884 ",0.47419,5,2,3,0,0,0,0,0
경기,2015,481 ,"12,522,606 ",0.38411,143,60,72,11,31,10,31,3
강원,2015,198 ,"1,549,507 ",1.27783,91,44,42,5,10,3,7,0
충북,2015,126 ,"1,583,952 ",0.79548,44,28,10,6,8,3,5,0
충남,2015,149 ,"2,077,649 ",0.71716,44,27,14,3,8,3,8,1
전북,2015,148 ,"1,869,711 ",0.79157,40,26,9,5,9,2,7,0
전남,2015,179 ,"1,908,996 ",0.93767,46,31,12,3,22,7,15,0
경북,2015,193 ,"2,702,826 ",0.71407,64,36,16,12,9,3,6,0
경남,2015,187 ,"3,364,702 ",0.55577,60,38,16,6,8,4,4,0
제주,2015,125 ,"624,395 ",2.00194,62,14,47,1,19,6,13,0
계,2016,"2,595 ","51,696,216 ",0.50197,826,379,351,96,219,55,150,14
서울,2016,356 ,"9,930,616 ",0.35849,120,26,70,24,37,4,28,5
부산,2016,87 ,"3,498,529 ",0.24868,19,7,6,6,6,1,5,0
대구,2016,72 ,"2,484,557 ",0.28979,17,7,6,4,3,2,1,0
인천,2016,81 ,"2,943,069 ",0.27522,24,14,9,1,6,2,3,1
광주,2016,56 ,"1,469,214 ",0.38116,10,4,2,4,3,2,1,0
대전,2016,56 ,"1,514,370 ",0.36979,16,4,5,7,5,4,1,0
울산,2016,39 ,"1,172,304 ",0.33268,9,1,7,1,1,1,0,0
세종,2016,12 ,"243,048 ",0.49373,6,3,3,0,0,0,0,0
경기,2016,492 ,"12,716,780 ",0.38689,139,56,72,11,49,10,36,3
강원,2016,206 ,"1,550,806 ",1.32834,96,47,44,5,11,3,8,0
충북,2016,126 ,"1,591,625 ",0.79164,45,28,11,6,6,3,3,0
충남,2016,154 ,"2,096,727 ",0.73448,46,28,15,3,9,3,7,0
전북,2016,149 ,"1,864,791 ",0.79902,40,26,9,5,5,2,11,0
전남,2016,181 ,"1,903,914 ",0.95067,46,31,12,3,25,3,18,0
경북,2016,196 ,"2,700,398 ",0.72582,65,37,17,11,11,5,5,1
경남,2016,190 ,"3,373,871 ",0.56315,60,38,16,6,9,4,5,0
제주,2016,126 ,"641,597 ",1.96385,63,47,19,1,19,7,13,0
계,2017,"2,657 ","51,778,544 ",0.51315,853,388,361,104,229,57,157,15
서울,2017,365 ,"9,857,426 ",0.37028,128,28,73,27,39,4,30,5
부산,2017,97 ,"3,470,653 ",0.27949,26,14,11,1,6,1,5,0
대구,2017,73 ,"2,475,231 ",0.29492,17,7,7,3,4,2,2,0
인천,2017,101 ,"2,948,542 ",0.34254,26,13,9,4,6,2,2,2
광주,2017,57 ,"1,463,770 ",0.38941,10,4,2,4,2,2,2,0
대전,2017,57 ,"1,502,227 ",0.37944,16,4,7,5,5,4,1,0
울산,2017,40 ,"1,165,132 ",0.34331,9,1,7,1,1,1,0,0
세종,2017,13 ,"280,100 ",0.46412,6,3,3,0,0,0,0,0
경기,2017,504 ,"12,873,895 ",0.39149,133,51,71,11,52,10,38,4
강원,2017,211 ,"1,550,142 ",1.36117,102,50,47,5,11,3,8,0
충북,2017,130 ,"1,594,432 ",0.81534,44,27,11,6,8,3,5,0
충남,2017,158 ,"2,116,770 ",0.74642,50,30,17,3,9,3,7,0
전북,2017,156 ,"1,854,607 ",0.84115,42,27,10,5,5,3,7,0
전남,2017,191 ,"1,896,424 ",1.00716,55,35,17,3,27,3,20,0
경북,2017,195 ,"2,691,706 ",0.72445,66,36,16,11,11,5,5,1
경남,2017,193 ,"3,380,404 ",0.57094,63,39,19,5,9,4,5,0
제주,2017,125 ,"657,083 ",1.90235,61,45,15,1,20,7,13,0
계,2018,"2,749 ","51,826,059 ",0.53043,873,398,371,104,251,68,168,15
서울,2018,386 ,"9,765,623 ",0.39526,129,73,28,28,43,3,33,7
부산,2018,103 ,"3,441,453 ",0.29929,30,16,13,1,7,2,5,1
대구,2018,74 ,"2,461,769 ",0.30060,17,7,8,2,3,2,1,0
인천,2018,101 ,"2,954,642 ",0.34183,14,14,0,0,3,2,1,0
광주,2018,61 ,"1,459,336 ",0.41800,12,5,3,4,4,3,1,0
대전,2018,55 ,"1,489,936 ",0.36914,14,4,4,6,6,4,2,1
울산,2018,41 ,"1,155,623 ",0.35479,9,1,7,1,1,1,0,0
세종,2018,14 ,"314,126 ",0.44568,7,3,3,1,0,0,0,0
경기,2018,526 ,"13,077,153 ",0.40223,140,55,75,10,54,12,38,4
강원,2018,218 ,"1,543,052 ",1.41278,100,50,45,5,17,4,14,0
충북,2018,128 ,"1,599,252 ",0.80037,42,25,12,5,11,5,5,1
충남,2018,160 ,"2,126,282 ",0.75249,52,31,17,4,9,4,7,0
전북,2018,161 ,"1,836,832 ",0.87651,43,28,18,6,16,4,9,3
전남,2018,200 ,"1,882,970 ",1.06215,57,34,19,4,29,8,21,0
경북,2018,198 ,"2,676,831 ",0.73968,67,38,18,11,11,5,5,1
경남,2018,197 ,"3,373,988 ",0.58388,66,42,19,5,9,5,4,0
제주,2018,126 ,"667,191 ",1.88851,62,47,19,1,19,7,12,0
계,2019,"2,825 ","51,849,861 ",0.54484,881,416,363,102,258,72,172,14
서울,2019,399 ,"9,729,107 ",0.41011,128,30,70,28,45,5,35,5
부산,2019,107 ,"3,413,841 ",0.31343,31,17,11,3,8,2,5,1
대구,2019,80 ,"2,438,031 ",0.32813,16,7,8,1,4,2,2,0
인천,2019,104 ,"2,957,026 ",0.35170,15,12,1,2,5,2,3,0
광주,2019,63 ,"1,456,468 ",0.43255,10,5,3,2,6,3,4,0
대전,2019,55 ,"1,474,870 ",0.37291,14,4,4,6,6,4,2,1
울산,2019,43 ,"1,148,019 ",0.37456,10,1,8,1,8,1,0,0
세종,2019,19 ,"340,575 ",0.55788,7,3,3,1,3,0,0,0
경기,2019,537 ,"13,239,666 ",0.40560,136,55,71,10,52,12,36,4
강원,2019,215 ,"1,541,502 ",1.39474,95,50,45,5,18,4,14,0
충북,2019,130 ,"1,600,007 ",0.81250,44,26,13,5,11,5,5,1
충남,2019,166 ,"2,123,709 ",0.78165,55,34,17,4,9,4,7,0
전북,2019,158 ,"1,818,917 ",0.86865,41,28,9,4,16,4,9,3
전남,2019,206 ,"1,868,745 ",1.10234,58,37,18,3,32,8,24,0
경북,2019,201 ,"2,665,836 ",0.75398,69,39,19,11,11,5,5,1
경남,2019,207 ,"3,362,553 ",0.61560,70,41,21,5,9,5,5,0
제주,2019,135 ,"670,989 ",2.01196,68,51,21,1,21,7,14,0
계,2020,"3,017 ","51,829,023 ",0.58211,897,430,362,105,267,73,179,15
서울,2020,410 ,"9,668,465 ",0.42406,128,69,28,31,46,6,35,5
부산,2020,124 ,"3,391,946 ",0.36557,31,17,11,3,8,2,5,1
대구,2020,89 ,"2,418,346 ",0.36802,18,8,6,4,4,2,2,0
인천,2020,115 ,"2,942,828 ",0.39078,16,12,1,3,5,2,3,0
광주,2020,72 ,"1,450,062 ",0.49653,12,5,3,4,4,3,4,0
대전,2020,62 ,"1,463,882 ",0.42353,15,4,4,7,7,4,2,1
울산,2020,46 ,"1,136,017 ",0.40492,10,1,8,1,8,1,0,0
세종,2020,22 ,"355,831 ",0.61827,7,3,3,1,3,0,0,0
경기,2020,567 ,"13,427,014 ",0.42228,136,56,69,11,53,12,38,3
강원,2020,232 ,"1,542,840 ",1.50372,99,49,45,5,19,5,15,0
충북,2020,136 ,"1,600,837 ",0.84956,44,27,12,5,12,5,5,2
충남,2020,176 ,"2,121,029 ",0.82979,57,34,18,5,9,2,7,0
전북,2020,174 ,"1,804,104 ",0.96447,41,29,9,3,8,4,7,0
전남,2020,222 ,"1,851,549 ",1.19900,63,43,17,3,32,8,24,0
경북,2020,211 ,"2,639,422 ",0.79942,70,40,19,11,11,5,5,1
경남,2020,221 ,"3,340,216 ",0.66163,75,49,21,5,10,5,5,0
제주,2020,138 ,"674,635 ",2.04555,65,17,47,1,22,7,15,0
계,2021,"3,087 ","51,638,809 ",0.59781,900,437,358,105,271,77,179,15
서울,2021,429 ,"9,509,458 ",0.45113,131,34,69,28,47,7,35,5
부산,2021,131 ,"3,350,380 ",0.39100,32,19,13,0,8,2,5,1
대구,2021,92 ,"2,385,412 ",0.38568,18,9,6,3,4,2,2,0
인천,2021,120 ,"2,948,375 ",0.40700,16,12,2,2,5,2,3,0
광주,2021,74 ,"1,441,611 ",0.51331,12,5,3,4,4,3,4,0
대전,2021,62 ,"1,452,251 ",0.42692,15,4,4,7,7,4,2,1
울산,2021,47 ,"1,121,592 ",0.41905,11,1,9,1,9,1,1,0
세종,2021,23 ,"371,895 ",0.61845,7,3,3,1,3,0,0,0
경기,2021,569 ,"13,565,450 ",0.41945,128,54,63,11,54,12,39,3
강원,2021,235 ,"1,538,492 ",1.52747,96,49,42,5,20,5,16,0
충북,2021,138 ,"1,597,427 ",0.86389,27,27,12,5,11,5,5,1
