"행정구역별(1)","시점",계,시각예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술
"행정구역별(1)","시점",소계,소계,소계,소계,국악,국악,양악,양악,연극,연극,무용,무용,혼합,혼합
"행정구역별(1)","시점",활동건수 (건),활동건수 (건),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회)
"전국","2015",65.4,26.1,39.3,244.2,3.1,5.5,20.1,22.9,11.3,196.5,2.6,5.2,2.2,14.1
"전국","2016",66.4,25.6,40.7,268.0,2.9,8.3,19.2,22.9,12.1,217.2,2.7,6.8,3.8,12.8
"전국","2017",71.9,28.2,43.7,227.4,3.1,7.5,20.4,23.3,12.6,173.1,2.6,8.0,5.0,15.5
"전국","2018",77.0,29.3,47.7,245.9,3.3,6.7,21.9,24.7,14.7,195.1,2.5,4.9,5.4,14.5
"전국","2019",85.2,29.4,55.8,244.9,3.7,9.1,23.6,27.0,18.7,188.6,3.0,4.8,6.8,15.4
"전국","2020",29.8,12.3,17.5,119.9,1.2,1.6,8.9,10.5,4.7,99.8,1.0,2.0,1.7,6.0
"전국","2021",61.6,25.7,35.9,199.5,2.8,18.2,18.3,33.7,9.4,130.4,2.4,8.7,3.0,8.4
"전국","2022",79.2,31.5,47.6,215.8,3.8,5.3,24.5,32.2,13.1,166.8,2.7,5.0,3.6,6.5
"서울특별시","2015",126.4,55.9,70.5,713.0,5.1,11.0,38.8,43.8,16.6,611.1,5.4,16.5,4.6,30.7
"서울특별시","2016",124.4,57.4,67.0,733.2,4.1,6.5,35.9,39.9,16.3,639.7,5.3,11.7,5.4,35.5
"서울특별시","2017",134.1,62.9,71.2,642.8,6.3,8.7,36.2,41.5,16.9,538.4,5.1,13.5,6.6,40.7
"서울특별시","2018",144.3,64.6,79.7,717.6,7.7,11.5,42.0,47.1,18.2,616.5,4.9,10.4,6.9,32.0
"서울특별시","2019",142.5,64.4,78.1,688.1,6.8,8.2,38.8,43.5,18.9,601.7,5.6,10.7,8.0,23.9
"서울특별시","2020",57.3,21.8,35.5,446.0,1.9,2.8,19.1,24.5,10.8,394.5,1.8,5.9,1.9,18.3
"서울특별시","2021",131.4,58.6,72.8,567.0,4.5,6.1,40.7,59.8,18.4,479.8,5.2,10.9,3.9,10.5
"서울특별시","2022",164.4,71.6,92.8,705.7,7.9,10.9,53.0,70.5,21.9,600.8,5.8,12.4,4.3,11.1
"부산광역시","2015",72.6,25.0,47.6,252.4,2.9,3.5,24.3,26.0,15.0,211.9,3.5,4.1,1.9,6.9
"부산광역시","2016",74.0,23.7,50.3,278.6,3.5,3.7,23.5,27.7,15.1,229.9,5.4,11.5,2.9,5.8
"부산광역시","2017",79.1,26.3,52.8,230.3,2.0,2.2,27.7,32.0,14.8,178.9,3.7,5.0,4.6,12.3
"부산광역시","2018",81.7,27.4,54.3,211.8,2.0,2.1,28.5,33.9,15.7,162.6,3.3,4.9,4.9,8.3
"부산광역시","2019",87.1,28.6,58.4,202.7,3.4,3.7,27.1,30.3,18.9,154.0,4.3,5.9,4.7,8.8
"부산광역시","2020",29.6,10.9,18.7,74.2,1.3,1.4,9.7,10.1,4.7,58.8,1.4,1.9,1.6,2.0
"부산광역시","2021",55.3,24.0,31.3,116.4,2.2,2.5,17.9,19.0,6.7,86.5,1.9,2.8,2.7,5.6
"부산광역시","2022",88.6,25.1,63.5,178.0,4.5,5.4,35.3,38.7,15.6,123.0,2.9,3.8,5.1,7.2
"대구광역시","2015",77.8,31.5,46.3,215.4,2.7,3.4,28.8,32.3,11.4,174.5,2.0,2.7,1.3,2.5
"대구광역시","2016",87.1,32.6,54.5,339.7,2.3,2.9,28.2,31.1,16.4,292.2,3.2,5.3,4.4,8.2
"대구광역시","2017",88.0,33.5,54.6,297.8,2.0,3.0,28.9,33.5,16.0,248.2,2.8,4.2,4.8,8.9
"대구광역시","2018",90.3,34.5,55.7,277.0,2.9,3.5,27.3,30.6,17.7,233.2,2.9,3.6,5.0,6.1
"대구광역시","2019",104.9,32.7,72.1,209.5,3.5,3.5,39.1,42.8,17.4,147.2,5.5,6.6,6.8,9.3
"대구광역시","2020",43.0,13.3,29.6,119.1,2.6,2.9,15.8,17.1,6.2,92.6,2.3,2.5,2.7,4.0
"대구광역시","2021",86.4,31.8,54.6,183.4,3.6,3.9,30.6,32.8,12.4,135.3,4.6,7.3,3.4,4.0
"대구광역시","2022",99.6,34.2,65.3,211.6,3.0,3.1,39.5,44.8,14.1,151.8,4.0,4.7,4.8,7.3
"인천광역시","2015",37.6,12.2,25.4,92.8,2.0,2.8,10.8,11.6,9.3,72.7,2.1,2.9,1.1,2.8
"인천광역시","2016",34.1,13.7,20.4,93.6,0.9,1.0,8.6,8.9,7.9,79.9,1.0,1.2,2.1,2.7
