"행정구역(시군구)별","시점",총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국","2010",50515666,25310385,25205281
"전국","2011",50734284,25406934,25327350
"전국","2012",50948272,25504060,25444212
"전국","2013",51141463,25588336,25553127
"전국","2014",51327916,25669296,25658620
"전국","2015",51529338,25758186,25771152
"전국","2016",51696216,25827594,25868622
"전국","2017",51778544,25855919,25922625
"전국","2018",51826059,25866129,25959930
"전국","2019",51849861,25864816,25985045
"전국","2020",51829023,25841029,25987994
"전국","2021",51638809,25746684,25892125
"서울특별시","2010",10312545,5111259,5201286
"서울특별시","2011",10249679,5073899,5175780
"서울특별시","2012",10195318,5041336,5153982
"서울특별시","2013",10143645,5007869,5135776
"서울특별시","2014",10103233,4979768,5123465
"서울특별시","2015",10022181,4930943,5091238
"서울특별시","2016",9930616,4876789,5053827
"서울특별시","2017",9857426,4830206,5027220
"서울특별시","2018",9765623,4773899,4991724
"서울특별시","2019",9729107,4744059,4985048
"서울특별시","2020",9668465,4701723,4966742
"서울특별시","2021",9509458,4618040,4891418
"부산광역시","2010",3567910,1773170,1794740
"부산광역시","2011",3550963,1762848,1788115
"부산광역시","2012",3538484,1754479,1784005
"부산광역시","2013",3527635,1747000,1780635
"부산광역시","2014",3519401,1740417,1778984
"부산광역시","2015",3513777,1735570,1778207
"부산광역시","2016",3498529,1725607,1772922
"부산광역시","2017",3470653,1709508,1761145
"부산광역시","2018",3441453,1692421,1749032
"부산광역시","2019",3413841,1675417,1738424
"부산광역시","2020",3391946,1661000,1730946
"부산광역시","2021",3350380,1639044,1711336
"대구광역시","2010",2511676,1255245,1256431
"대구광역시","2011",2507271,1251577,1255694
"대구광역시","2012",2505644,1249320,1256324
"대구광역시","2013",2501588,1246071,1255517
"대구광역시","2014",2493264,1241119,1252145
"대구광역시","2015",2487829,1237291,1250538
"대구광역시","2016",2484557,1234169,1250388
"대구광역시","2017",2475231,1227814,1247417
"대구광역시","2018",2461769,1219342,1242427
"대구광역시","2019",2438031,1205286,1232745
"대구광역시","2020",2418346,1193109,1225237
"대구광역시","2021",2385412,1175632,1209780
"인천광역시","2010",2758296,1390356,1367940
"인천광역시","2011",2801274,1410980,1390294
"인천광역시","2012",2843981,1431593,1412388
"인천광역시","2013",2879782,1448835,1430947
"인천광역시","2014",2902608,1459074,1443534
"인천광역시","2015",2925815,1469869,1455946
"인천광역시","2016",2943069,1477671,1465398
"인천광역시","2017",2948542,1479597,1468945
"인천광역시","2018",2954642,1481844,1472798
"인천광역시","2019",2957026,1482249,1474777
"인천광역시","2020",2942828,1473943,1468885
"인천광역시","2021",2948375,1476373,1472002
"광주광역시","2010",1454636,721780,732856
"광주광역시","2011",1463464,725606,737858
"광주광역시","2012",1469216,728406,740810
"광주광역시","2013",1472910,730216,742694
"광주광역시","2014",1475884,731339,744545
"광주광역시","2015",1472199,729662,742537
"광주광역시","2016",1469214,728137,741077
"광주광역시","2017",1463770,725295,738475
"광주광역시","2018",1459336,722581,736755
"광주광역시","2019",1456468,720740,735728
"광주광역시","2020",1450062,717348,732714
"광주광역시","2021",1441611,713015,728596
"대전광역시","2010",1503664,753648,750016
"대전광역시","2011",1515603,759188,756415
"대전광역시","2012",1524583,763671,760912
"대전광역시","2013",1532811,767309,765502
"대전광역시","2014",1531809,766497,765312
"대전광역시","2015",1518775,759778,758997
"대전광역시","2016",1514370,757289,757081
"대전광역시","2017",1502227,750969,751258
"대전광역시","2018",1489936,744338,745598
"대전광역시","2019",1474870,736607,738263
"대전광역시","2020",1463882,730699,733183
"대전광역시","2021",1452251,724626,727625
"울산광역시","2010",1126298,579071,547227
"울산광역시","2011",1135494,583825,551669
"울산광역시","2012",1147256,590424,556832
"울산광역시","2013",1156480,595319,561161
"울산광역시","2014",1166377,600904,565473
"울산광역시","2015",1173534,604889,568645
"울산광역시","2016",1172304,603797,568507
"울산광역시","2017",1165132,599480,565652
"울산광역시","2018",1155623,593819,561804
"울산광역시","2019",1148019,589712,558307
"울산광역시","2020",1136017,583708,552309
"울산광역시","2021",1121592,576217,545375
"세종특별자치시","2010",,,
"세종특별자치시","2011",,,
"세종특별자치시","2012",113117,57633,55484
"세종특별자치시","2013",122153,62205,59948
"세종특별자치시","2014",156125,78862,77263
"세종특별자치시","2015",210884,105752,105132
"세종특별자치시","2016",243048,121505,121543
"세종특별자치시","2017",280100,139734,140366
"세종특별자치시","2018",314126,156831,157295
"세종특별자치시","2019",340575,169845,170730
"세종특별자치시","2020",355831,177568,178263
"세종특별자치시","2021",371895,185678,186217
"경기도","2010",11786622,5942454,5844168
"경기도","2011",11937415,6015357,5922058
"경기도","2012",12093299,6091035,6002264
"경기도","2013",12234630,6159193,6075437
"경기도","2014",12357830,6219813,6138017
"경기도","2015",12522606,6299812,6222794
"경기도","2016",12716780,6395453,6321327
"경기도","2017",12873895,6475323,6398572
"경기도","2018",13077153,6577501,6499652
"경기도","2019",13239666,6659995,6579671
"경기도","2020",13427014,6754469,6672545
"경기도","2021",13565450,6827298,6738152
"강원특별자치도","2010",1529818,769807,760011
"강원특별자치도","2011",1536448,773278,763170
"강원특별자치도","2012",1538630,774273,764357
"강원특별자치도","2013",1542263,776498,765765
"강원특별자치도","2014",1544442,778007,766435
"강원특별자치도","2015",1549507,781434,768073
"강원특별자치도","2016",1550806,781146,769660
"강원특별자치도","2017",1550142,780635,769507
"강원특별자치도","2018",1543052,776456,766596
"강원특별자치도","2019",1541502,775386,766116
"강원특별자치도","2020",1542840,776505,766335
"강원특별자치도","2021",1538492,774332,764160
"충청북도","2010",1549528,781301,768227
"충청북도","2011",1562903,787981,774922
"충청북도","2012",1565628,789286,776342
"충청북도","2013",1572732,792862,779870
"충청북도","2014",1578933,796141,782792
"충청북도","2015",1583952,798896,785056
"충청북도","2016",1591625,803240,788385
"충청북도","2017",1594432,805091,789341
"충청북도","2018",1599252,808971,790281
"충청북도","2019",1600007,810384,789623
"충청북도","2020",1600837,811591,789246
"충청북도","2021",1597427,810672,786755
"충청남도","2010",2075514,1049363,1026151
"충청남도","2011",2101284,1063012,1038272
"충청남도","2012",2028777,1026812,1001965
"충청남도","2013",2047631,1037421,1010210
"충청남도","2014",2062273,1045892,1016381
"충청남도","2015",2077649,1054439,1023210
"충청남도","2016",2096727,1064765,1031962
"충청남도","2017",2116770,1076270,1040500
"충청남도","2018",2126282,1082009,1044273
"충청남도","2019",2123709,1081938,1041771
"충청남도","2020",2121029,1082634,1038395
"충청남도","2021",2119257,1083366,1035891
"전북특별자치도","2010",1868963,931481,937482
"전북특별자치도","2011",1874031,934002,940029
"전북특별자치도","2012",1873341,933386,939955
"전북특별자치도","2013",1872965,932894,940071
"전북특별자치도","2014",1871560,931536,940024
"전북특별자치도","2015",1869711,930255,939456
"전북특별자치도","2016",1864791,927505,937286
"전북특별자치도","2017",1854607,922307,932300
"전북특별자치도","2018",1836832,913297,923535
"전북특별자치도","2019",1818917,904110,914807
"전북특별자치도","2020",1804104,896874,907230
"전북특별자치도","2021",1786855,888994,897861
"전라남도","2010",1918485,958624,959861
"전라남도","2011",1914339,956747,957592
"전라남도","2012",1909618,954354,955264
"전라남도","2013",1907172,952597,954575
"전라남도","2014",1905780,951975,953805
"전라남도","2015",1908996,953881,955115
"전라남도","2016",1903914,951889,952025
"전라남도","2017",1896424,948290,948134
"전라남도","2018",1882970,943000,939970
"전라남도","2019",1868745,937674,931071
"전라남도","2020",1851549,930615,920934
"전라남도","2021",1832803,922221,910582
"경상북도","2010",2689920,1351202,1338718
"경상북도","2011",2699195,1355727,1343468
"경상북도","2012",2698353,1355294,1343059
"경상북도","2013",2699440,1355951,1343489
"경상북도","2014",2700794,1356182,1344612
"경상북도","2015",2702826,1357306,1345520
"경상북도","2016",2700398,1356868,1343530
"경상북도","2017",2691706,1353164,1338542
"경상북도","2018",2676831,1346689,1330142
"경상북도","2019",2665836,1342037,1323799
"경상북도","2020",2639422,1329211,1310211
"경상북도","2021",2626609,1323661,1302948
"경상남도","2010",3290536,1656042,1634494
"경상남도","2011",3308765,1664755,1644010
"경상남도","2012",3319314,1670545,1648769
"경상남도","2013",3333820,1678592,1655228
"경상남도","2014",3350257,1687114,1663143
"경상남도","2015",3364702,1694981,1669721
"경상남도","2016",3373871,1699219,1674652
"경상남도","2017",3380404,1701413,1678991
"경상남도","2018",3373988,1697412,1676576
"경상남도","2019",3362553,1692032,1670521
"경상남도","2020",3340216,1681423,1658793
"경상남도","2021",3314183,1668338,1645845
"제주특별자치도","2010",571255,285582,285673
"제주특별자치도","2011",576156,288152,288004
"제주특별자치도","2012",583713,292213,291500
"제주특별자치도","2013",593806,297504,296302
"제주특별자치도","2014",607346,304656,302690
"제주특별자치도","2015",624395,313428,310967
"제주특별자치도","2016",641597,322545,319052
"제주특별자치도","2017",657083,330823,326260
"제주특별자치도","2018",667191,335719,331472
"제주특별자치도","2019",670989,337345,333644
"제주특별자치도","2020",674635,338609,336026
"제주특별자치도","2021",676759,339177,337582
