기준일자,주요국가대륙명,국가명,목적구분,인원,전년동기,증감률
2018,대륙전체,연도,관광,1.2414348E7,1.0415594E7,19.2
2018,대륙전체,연도,상용,175547.0,177071.0,-0.9
2018,대륙전체,연도,공용,61017.0,54890.0,11.2
2018,대륙전체,연도,유학연수,332011.0,302652.0,9.7
2018,대륙전체,연도,기타,2363956.0,2385551.0,-0.9
2018,대륙전체,연도,전체,1.5346879E7,1.3335758E7,15.1
2018,아시아,연도대륙,관광,1.0516389E7,8727244.0,20.5
2018,아시아,연도대륙,상용,145477.0,140159.0,3.8
2018,아시아,연도대륙,공용,28127.0,23281.0,20.8
2018,아시아,연도대륙,유학연수,304917.0,276377.0,10.3
2018,아시아,연도대륙,기타,1606539.0,1607082.0,-0.0
2018,아시아,연도대륙,전체,1.2601449E7,1.0774143E7,17.0
2018,아시아,중국,관광,3701973.0,3116505.0,18.8
2018,아시아,중국,상용,42257.0,42861.0,-1.4
2018,아시아,중국,공용,4014.0,1998.0,100.9
2018,아시아,중국,유학연수,213930.0,202658.0,5.6
2018,아시아,중국,기타,827338.0,805331.0,2.7
2018,아시아,중국,전체,4789512.0,4169353.0,14.9
2018,아시아,일본,관광,2864110.0,2223214.0,28.8
2018,아시아,일본,상용,23368.0,24372.0,-4.1
2018,아시아,일본,공용,2268.0,1715.0,32.2
2018,아시아,일본,유학연수,10569.0,10122.0,4.4
2018,아시아,일본,기타,48212.0,52024.0,-7.3
2018,아시아,일본,전체,2948527.0,2311447.0,27.6
2018,아시아,대만,관광,1095329.0,907065.0,20.8
2018,아시아,대만,상용,907.0,798.0,13.7
2018,아시아,대만,공용,196.0,189.0,3.7
2018,아시아,대만,유학연수,4187.0,3744.0,11.8
2018,아시아,대만,기타,14714.0,13820.0,6.5
2018,아시아,대만,전체,1115333.0,925616.0,20.5
2018,아시아,홍콩,관광,669960.0,643973.0,4.0
2018,아시아,홍콩,상용,603.0,475.0,26.9
2018,아시아,홍콩,공용,27.0,40.0,-32.5
2018,아시아,홍콩,유학연수,2420.0,2187.0,10.7
2018,아시아,홍콩,기타,10808.0,11356.0,-4.8
2018,아시아,홍콩,전체,683818.0,658031.0,3.9
2018,아시아,마카오,관광,52180.0,51191.0,1.9
2018,아시아,마카오,상용,22.0,4.0,450.0
2018,아시아,마카오,공용,1.0,0.0,0.0
2018,아시아,마카오,유학연수,235.0,221.0,6.3
2018,아시아,마카오,기타,393.0,406.0,-3.2
2018,아시아,마카오,전체,52831.0,51822.0,1.9
2018,아시아,필리핀,관광,261721.0,220771.0,18.5
2018,아시아,필리핀,상용,2396.0,2933.0,-18.3
2018,아시아,필리핀,공용,1667.0,1676.0,-0.5
2018,아시아,필리핀,유학연수,1317.0,1413.0,-6.8
2018,아시아,필리핀,기타,193067.0,221909.0,-13.0
2018,아시아,필리핀,전체,460168.0,448702.0,2.6
2018,아시아,인도네시아,관광,171969.0,146190.0,17.6
2018,아시아,인도네시아,상용,2733.0,3526.0,-22.5
2018,아시아,인도네시아,공용,1189.0,929.0,28.0
2018,아시아,인도네시아,유학연수,2732.0,2504.0,9.1
2018,아시아,인도네시아,기타,70444.0,77688.0,-9.3
2018,아시아,인도네시아,전체,249067.0,230837.0,7.9
2018,아시아,태국,관광,482726.0,426801.0,13.1
2018,아시아,태국,상용,551.0,419.0,31.5
2018,아시아,태국,공용,2896.0,2261.0,28.1
2018,아시아,태국,유학연수,1437.0,1534.0,-6.3
2018,아시아,태국,기타,71302.0,67496.0,5.6
2018,아시아,태국,전체,558912.0,498511.0,12.1
2018,아시아,베트남,관광,322926.0,220675.0,46.3
2018,아시아,베트남,상용,15544.0,9265.0,67.8
2018,아시아,베트남,공용,4038.0,3518.0,14.8
2018,아시아,베트남,유학연수,37489.0,24824.0,51.0
2018,아시아,베트남,기타,77821.0,66458.0,17.1
2018,아시아,베트남,전체,457818.0,324740.0,41.0
2018,아시아,인도,관광,38014.0,32305.0,17.7
2018,아시아,인도,상용,32890.0,30061.0,9.4
2018,아시아,인도,공용,810.0,783.0,3.4
2018,아시아,인도,유학연수,1862.0,1812.0,2.8
2018,아시아,인도,기타,46215.0,58455.0,-20.9
2018,아시아,인도,전체,119791.0,123416.0,-2.9
2018,아시아,말레이시아,관광,348362.0,279558.0,24.6
2018,아시아,말레이시아,상용,1362.0,1477.0,-7.8
2018,아시아,말레이시아,공용,55.0,49.0,12.2
2018,아시아,말레이시아,유학연수,2520.0,2418.0,4.2
2018,아시아,말레이시아,기타,30630.0,24139.0,26.9
2018,아시아,말레이시아,전체,382929.0,307641.0,24.5
2018,아시아,싱가포르,관광,210437.0,194711.0,8.1
2018,아시아,싱가포르,상용,1511.0,1191.0,26.9
2018,아시아,싱가포르,공용,54.0,59.0,-8.5
2018,아시아,싱가포르,유학연수,1314.0,1406.0,-6.5
2018,아시아,싱가포르,기타,18581.0,18803.0,-1.2
2018,아시아,싱가포르,전체,231897.0,216170.0,7.3
2018,아시아,몽골,관광,92748.0,84260.0,10.1
2018,아시아,몽골,상용,1082.0,1235.0,-12.4
2018,아시아,몽골,공용,3852.0,3239.0,18.9
2018,아시아,몽골,유학연수,7902.0,7305.0,8.2
2018,아시아,몽골,기타,8280.0,7877.0,5.1
2018,아시아,몽골,전체,113864.0,103916.0,9.6
2018,아시아,우즈베키스탄,관광,36451.0,33258.0,9.6
2018,아시아,우즈베키스탄,상용,6219.0,4774.0,30.3
