기준일자,구분명,금액,전년동기
2018,관광수지 전체(백만달러),-13066.1,-14695.9
2018,관광수입 전체(백만달러),18461.8,13263.9
2018,관광수입 1인당(달러),1203.0,994.6
2018,관광지출 전체(백만달러),31527.9,27959.8
2018,관광지출 1인당(달러),1098.7,1055.2
2019,관광수지 전체(백만달러),-8515.6,-13066.1
2019,관광수입 전체(백만달러),20744.9,18461.8
2019,관광수입 1인당(달러),1185.2,1203.0
2019,관광지출 전체(백만달러),29260.5,31527.9
2019,관광지출 1인당(달러),1019.0,1098.7
2020,관광수지 전체(백만달러),-3175.3,-8515.6
2020,관광수입 전체(백만달러),10181.1,20744.9
2020,관광수입 1인당(달러),4041.5,1185.2
2020,관광지출 전체(백만달러),13356.4,29260.5
2020,관광지출 1인당(달러),3123.6,1019.0
2021,관광수지 전체(백만달러),-4328.6,-3175.3
2021,관광수입 전체(백만달러),10622.5,10181.1
2021,관광수입 1인당(달러),10985.0,4041.5
2021,관광지출 전체(백만달러),14951.1,13356.4
2021,관광지출 1인당(달러),12229.5,3123.6
2022,관광수지 전체(백만달러),-5715.1,-4328.6
2022,관광수입 전체(백만달러),12240.6,10622.5
2022,관광수입 1인당(달러),3827.6,10985.0
2022,관광지출 전체(백만달러),17955.7,14951.1
2022,관광지출 1인당(달러),2739.6,12229.5
2023,관광수지 전체(백만달러),-9859.3,-5715.1
2023,관광수입 전체(백만달러),15111.5,12240.6
2023,관광수입 1인당(달러),1369.8,3827.6
2023,관광지출 전체(백만달러),24970.8,17955.7
2023,관광지출 1인당(달러),1099.3,2739.6
총계,관광수지 전체(백만달러),-44660.0,-49496.6
총계,관광수입 전체(백만달러),87362.4,85514.8
총계,관광수입 1인당(달러),1727.7,1617.5
총계,관광지출 전체(백만달러),132022.4,135011.4
총계,관광지출 1인당(달러),1432.2,1407.0
