광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,1.8156692637E10,1.2771574911E10,42.2
부산광역시,2.121055963E9,1.438556761E9,47.4
대구광역시,2.46194937E8,1.87460031E8,31.3
인천광역시,2.693804779E9,1.915148948E9,40.7
광주광역시,7.9873886E7,5.973985E7,33.7
대전광역시,1.79171895E8,1.34542114E8,33.2
울산광역시,7.7650752E7,6.0679817E7,28.0
세종특별자치시,1.0340173E7,6634261.0,55.9
경기도,2.44375925E9,1.817712883E9,34.4
충청북도,8.5292309E7,6.3279052E7,34.8
충청남도,1.20627718E8,9.3214328E7,29.4
전라남도,6.8616405E7,4.8653919E7,41.0
경상북도,1.54591572E8,1.0756304E8,43.7
경상남도,2.30924558E8,1.81816352E8,27.0
제주특별자치도,9.85562879E8,6.76305198E8,45.7
강원특별자치도,1.92089101E8,1.39569443E8,37.6
전북특별자치도,1.07960279E8,7.925722E7,36.2
