대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,1.2408418049E10,38.9,4.58889589E8,3.7
쇼핑업,대형쇼핑몰,1.2408418049E10,38.9,8.17938344E9,65.9
쇼핑업,레저용품쇼핑,1.2408418049E10,38.9,5.40740333E8,4.4
쇼핑업,면세점,1.2408418049E10,38.9,3.229404687E9,26.0
숙박업,기타숙박,1.1635536876E10,36.5,3.062905057E9,26.3
숙박업,캠핑장/펜션,1.1635536876E10,36.5,6329856.0,0.1
숙박업,콘도,1.1635536876E10,36.5,3.47514676E8,3.0
숙박업,호텔,1.1635536876E10,36.5,8.218787288E9,70.6
식음료업,식음료,5.374413016E9,16.8,5.374413016E9,100.0
여가서비스업,골프장,2.11796444E9,6.6,1.19493994E8,5.6
여가서비스업,관광유원시설,2.11796444E9,6.6,4.8402751E7,2.3
여가서비스업,기타레저,2.11796444E9,6.6,2198379.0,0.1
여가서비스업,문화서비스,2.11796444E9,6.6,8.3182492E7,3.9
여가서비스업,스키장,2.11796444E9,6.6,1377768.0,0.1
여가서비스업,카지노,2.11796444E9,6.6,1.863309056E9,88.0
여행업,여행업,5.5055379E7,0.2,5.5055379E7,100.0
운송업,렌터카,3.2246601E8,1.0,9.9006982E7,30.7
운송업,수상운송,3.2246601E8,1.0,4857419.0,1.5
운송업,육상운송,3.2246601E8,1.0,1.24112029E8,38.5
운송업,항공운송,3.2246601E8,1.0,9.4489581E7,29.3
