광역지자체 명,기초지자체 명,광역지자체 지출액(천원),광역지자체 지출액 비율(%),기초지자체 지출액(천원),기초지자체 지출액 비율(%)
강원특별자치도,강릉시,1.92089101E8,0.7,3.4309409E7,17.9
강원특별자치도,고성군,1.92089101E8,0.7,4103002.0,2.1
강원특별자치도,동해시,1.92089101E8,0.7,3717657.0,1.9
강원특별자치도,삼척시,1.92089101E8,0.7,2088148.0,1.1
강원특별자치도,속초시,1.92089101E8,0.7,2.5069468E7,13.1
강원특별자치도,양구군,1.92089101E8,0.7,162360.0,0.1
강원특별자치도,양양군,1.92089101E8,0.7,1.1056977E7,5.8
강원특별자치도,영월군,1.92089101E8,0.7,449806.0,0.2
강원특별자치도,원주시,1.92089101E8,0.7,1.1547053E7,6.0
강원특별자치도,인제군,1.92089101E8,0.7,650650.0,0.3
강원특별자치도,정선군,1.92089101E8,0.7,9439687.0,4.9
강원특별자치도,철원군,1.92089101E8,0.7,470092.0,0.2
강원특별자치도,춘천시,1.92089101E8,0.7,1.9586785E7,10.2
강원특별자치도,태백시,1.92089101E8,0.7,1102020.0,0.6
강원특별자치도,평창군,1.92089101E8,0.7,5.0881641E7,26.5
강원특별자치도,홍천군,1.92089101E8,0.7,1.4176359E7,7.4
강원특별자치도,화천군,1.92089101E8,0.7,155512.0,0.1
강원특별자치도,횡성군,1.92089101E8,0.7,3122476.0,1.6
경기도,가평군,2.44375925E9,8.7,1.0957622E7,0.4
경기도,고양시 덕양구,2.44375925E9,8.7,3.0277757E7,1.2
경기도,고양시 일산동구,2.44375925E9,8.7,4.6857502E7,1.9
경기도,고양시 일산서구,2.44375925E9,8.7,2.5761621E7,1.1
경기도,과천시,2.44375925E9,8.7,3463096.0,0.1
경기도,광명시,2.44375925E9,8.7,1.9436473E7,0.8
경기도,광주시,2.44375925E9,8.7,1.1847244E7,0.5
경기도,구리시,2.44375925E9,8.7,5815166.0,0.2
경기도,군포시,2.44375925E9,8.7,8961990.0,0.4
