기준년월,광역지자체,대분류,지출액,전년도 지출액
2018,전국,관광총소비,5.157272718E9,0.0
2018,전국,호텔,1.320367545E9,0.0
2018,전국,콘도,8.8395871E7,0.0
2018,전국,캠핑장/펜션,718568.0,0.0
2018,전국,기타숙박,3.94586348E8,0.0
2018,전국,여행업,1.0563849E7,0.0
2018,전국,육상운송,2.2280953E7,0.0
2018,전국,수상운송,591048.0,0.0
2018,전국,항공운송,2.1319887E7,0.0
2018,전국,렌터카,8938840.0,0.0
2018,전국,면세점,7.83007683E8,0.0
2018,전국,관광기념품,9.1711483E7,0.0
2018,전국,레저용품쇼핑,8.0708839E7,0.0
2018,전국,대형쇼핑몰,1.338363123E9,0.0
2018,전국,카지노,3.38496662E8,0.0
2018,전국,관광유원시설,4475254.0,0.0
2018,전국,골프장,1.1932549E7,0.0
2018,전국,스키장,109999.0,0.0
2018,전국,기타레저,275628.0,0.0
2018,전국,문화서비스,1.0519121E7,0.0
2018,전국,식음료,6.29909466E8,0.0
2019,전국,관광총소비,5.490400336E9,5.157272718E9
2019,전국,호텔,1.439706129E9,1.320367545E9
2019,전국,콘도,5.5305727E7,8.8395871E7
2019,전국,캠핑장/펜션,455622.0,718568.0
2019,전국,기타숙박,4.45256841E8,3.94586348E8
2019,전국,여행업,9628658.0,1.0563849E7
2019,전국,육상운송,2.2324992E7,2.2280953E7
2019,전국,수상운송,721826.0,591048.0
2019,전국,항공운송,1.8484125E7,2.1319887E7
2019,전국,렌터카,9953837.0,8938840.0
2019,전국,면세점,9.3131228E8,7.83007683E8
2019,전국,관광기념품,1.2372464E8,9.1711483E7
2019,전국,레저용품쇼핑,7.6130233E7,8.0708839E7
2019,전국,대형쇼핑몰,1.211519602E9,1.338363123E9
2019,전국,카지노,4.06829085E8,3.38496662E8
2019,전국,관광유원시설,5563755.0,4475254.0
2019,전국,골프장,1.041684E7,1.1932549E7
2019,전국,스키장,93184.0,109999.0
2019,전국,기타레저,264778.0,275628.0
2019,전국,문화서비스,1.142405E7,1.0519121E7
2019,전국,식음료,7.11284133E8,6.29909466E8
2020,전국,관광총소비,1.327716924E9,5.490400336E9
2020,전국,호텔,3.11005539E8,1.439706129E9
2020,전국,콘도,2.5505393E7,5.5305727E7
2020,전국,캠핑장/펜션,144441.0,455622.0
2020,전국,기타숙박,1.34328316E8,4.45256841E8
2020,전국,여행업,7355320.0,9628658.0
2020,전국,육상운송,4411405.0,2.2324992E7
2020,전국,수상운송,165697.0,721826.0
2020,전국,항공운송,5580045.0,1.8484125E7
2020,전국,렌터카,3434673.0,9953837.0
2020,전국,면세점,1.29875155E8,9.3131228E8
2020,전국,관광기념품,1.6793398E7,1.2372464E8
2020,전국,레저용품쇼핑,2.0835702E7,7.6130233E7
2020,전국,대형쇼핑몰,3.31388602E8,1.211519602E9
2020,전국,카지노,8.5291006E7,4.06829085E8
2020,전국,관광유원시설,1110109.0,5563755.0
2020,전국,골프장,9384991.0,1.041684E7
2020,전국,스키장,55048.0,93184.0
2020,전국,기타레저,292565.0,264778.0
2020,전국,문화서비스,2145478.0,1.142405E7
2020,전국,식음료,2.38614041E8,7.11284133E8
2021,전국,관광총소비,1.074199875E9,1.327716924E9
2021,전국,호텔,2.79288638E8,3.11005539E8
2021,전국,콘도,3.0889812E7,2.5505393E7
2021,전국,캠핑장/펜션,174375.0,144441.0
