표측1,표측2,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
표측1,표측2,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계
표측1,표측2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1.전체, ,,0.3,1.2,6.4,28.6,63.6,4.5,88.5,,,,"16,525.00",0.6,2.1,6.7,20.8,69.7,,,90.5,,100,"3,976.00",0.6,2.2,8.9,26.6,61.7,,,88.3,,100,517,0.8,3.3,18.8,32.7,44.5,,,77.2,,100,,0.6,2.7,12,45.5,39.2,,,84.7,,100,,0.7,2.7,12.2,47.3,37,,,84.4,,100,"13,841.00",0.4,2.5,11.4,47.8,37.9,,,85.7,,100,"12,003.00",0.3,2.8,12.8,49,35.1,,,84.1,0,0,"12,882.00",0.3,2.6,11.5,49.1,36.5,,,85.6,0,0,"12,024.00",0.3,2.5,11.9,57.7,27.7,,,85.4,0,0
2.월별,1.1월,,0.3,0.7,6.3,25.3,67.5,4.6,89.8,,,,333,0,0.9,7.2,24.9,67,,,91.9,,100,153,0.7,4.6,15.7,27.5,51.6,,,79.1,,100,,,,,,,,,,,,,0.3,2.2,13.4,46.5,37.6,,,84.1,,100,,0.4,3.2,13.1,43.5,39.7,,,83.2,,100,"1,259.00",0.3,2.4,12.7,48.3,36.3,,,84.6,,100,758,0.1,3.7,13.1,49.8,33.2,,,83.1,0,0,922,0.1,2.2,12,54.2,31.6,,,85.7,0,0,717,0.3,1.9,9.1,59.1,29.5,,,88.6,0,0
2.월별,2.2월,,0.3,1.2,4.4,26.4,67.8,4.6,90.1,,,,418,0.7,2.2,5.5,23.7,67.9,,,91.6,,100,126,1.6,3.2,21.4,29.4,44.4,,,73.8,,100,,,,,,,,,,,,,0.6,2.1,9.9,43.5,44,,,87.4,,100,,0.5,3.4,11.7,47.4,37,,,84.4,,100,"1,300.00",0.1,1.2,12.9,53.6,32.3,,,85.9,,100,797,0.2,1.6,11.2,47.8,39.2,,,87,0,0,"1,061.00",0.8,2.8,10.6,58.9,26.9,,,85.8,0,0,771,0.2,1.6,10.9,54.8,32.4,,,87.3,0,0
2.월별,3.3월,,0.6,1.1,6.8,26.4,65.1,4.5,88.6,,,,561,0.7,1.8,9.6,26.4,61.5,,,87.9,,100,191,0,2.1,11.5,30.9,55.5,,,86.4,,100,,,,,,,,,,,,,0.6,3.1,11.7,43.6,41,,,84.6,,100,,0.8,3.7,10.9,49.2,35.4,,,84.6,,100,"1,276.00",1.1,2.4,11.7,47.7,37.1,,,84.8,,100,978,0.5,2.3,10.2,51.2,35.8,,,86.9,0,0,"1,238.00",0.2,2.6,10.5,53,33.7,,,86.6,0,0,968,0.3,2.9,14.6,54.1,28.1,,,82.2,0,0
2.월별,4.4월,,0.1,1.4,6.2,29.3,63,4.5,88.4,,,,"1,171.00",0.5,1.7,6.6,20.7,70.5,,,91.2,,100,257,0.4,2.3,9.7,31.9,55.6,,,87.5,,100,,,,,,,,,,,,,0.7,3.1,12.8,46.2,37.2,,,83.4,,100,,0.7,2.4,10.2,48.1,38.6,,,86.7,,100,"1,113.00",0.4,2.8,13.4,46.4,37,,,83.5,,100,"1,032.00",0.1,2.4,12.6,47.7,37.2,,,84.9,0,0,"1,363.00",0.4,3.2,9.5,55.2,31.7,,,86.8,0,0,"1,060.00",0.4,4,12.6,56,26.9,,,83,0,0
2.월별,5.5월,,0.2,1.5,7.4,22.4,68.5,4.6,89.4,,,,"1,880.00",0.4,1.9,6.2,19.7,71.9,,,91.5,,100,280,0.4,3.9,12.5,34.6,48.6,,,83.2,,100,,,,,,,,,,,,,0.8,4,12,44.5,38.8,,,83.3,,100,,0.7,2.3,12.5,46.8,37.7,,,84.5,,100,"1,000.00",0.3,3,10.8,45.9,40,,,85.9,,100,"1,030.00",0.3,2.9,14.7,45.8,36.3,,,82.1,0,0,"1,314.00",0.2,3,14.9,46.2,35.8,,,81.9,0,0,"1,042.00",0.2,2.6,12.7,56.8,27.7,,,84.5,0,0
2.월별,6.6월,,0.5,1,5.7,29,63.8,4.5,88.7,,,,"1,389.00",0.4,2.4,8,22,67.1,,,89.1,,100,255,0.4,3.1,8.6,37.6,50.2,,,87.8,,100,,,,,,,,,,,,,0.3,2.1,12.6,41.8,43.2,,,85,,100,,1.2,3.5,11.9,48.6,34.8,,,83.4,,100,"1,025.00",1.1,3,11.3,44.5,40.1,,,84.6,,100,"1,080.00",0.2,3.4,11.7,45.3,39.4,,,84.7,0,0,676,0.4,2.4,12,46.4,38.6,,,85.1,0,0,"1,022.00",0.4,1.8,11.4,65.1,21.2,,,86.4,0,0
2.월별,7.7월,,0.3,0.9,4.7,25.5,68.6,4.6,90.3,,,,"1,650.00",0.7,2.2,7.7,20.8,68.6,,,89.4,,100,246,0,3.3,8.9,32.1,55.7,,,87.8,,100,,,,,,,,,,,,,0.6,2.7,10.7,48.1,37.9,,,86,,100,,0.6,2.8,15,48.4,33.3,,,81.7,,100,"1,039.00",0.3,2.4,10,47.6,39.7,,,87.3,,100,"1,183.00",0,3.3,16,52.1,28.6,,,80.7,0,0,584,0.2,2.2,9.5,39.1,49,,,88.1,0,0,"1,124.00",0.2,2.2,11.3,61.1,25.2,,,86.3,0,0
