"국적별(1)",국적별(2),2022.01,2022.01,2022.01,2022.01,2022.01,2022.01,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.05,2022.05,2022.05,2022.05,2022.05,2022.05,2022.06,2022.06,2022.06,2022.06,2022.06,2022.06,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.08,2022.08,2022.08,2022.08,2022.08,2022.08,2022.09,2022.09,2022.09,2022.09,2022.09,2022.09,2022.10,2022.10,2022.10,2022.10,2022.10,2022.10,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.02,2023.02,2023.02,2023.02,2023.02,2023.02,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06,2023.07,2023.07,2023.07,2023.07,2023.07,2023.07,2023.08,2023.08,2023.08,2023.08,2023.08,2023.08,2023.09,2023.09,2023.09,2023.09,2023.09,2023.09,2023.10,2023.10,2023.10,2023.10,2023.10,2023.10,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2023.12,2023.12,2023.12,2023.12,2023.12,2023.12,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.02,2024.02,2024.02,2024.02,2024.02,2024.02,2024.03,2024.03,2024.03,2024.03,2024.03,2024.03,2024.04,2024.04,2024.04,2024.04,2024.04,2024.04,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.06,2024.06,2024.06,2024.06,2024.06,2024.06,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11
"국적별(1)",국적별(2),계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타
"총계",소계,81851,16961,2110,1957,2890,57933,99999,16512,2135,1222,25444,54686,96768,22492,2284,1509,11651,58832,127919,57448,3259,1960,3126,62126,175922,89179,4926,3088,4854,73875,227713,133883,6674,2662,7215,77279,263986,153171,8265,3986,10235,88329,310945,159128,7900,3607,44854,95456,337638,213310,8528,3589,21701,90510,476097,360862,9314,3660,3924,98337,459906,341686,9855,4750,6313,97302,539273,434305,6920,3702,9988,84358,434429,312847,7645,4145,13674,96118,479248,319098,7383,3165,53111,96491,800575,627681,10543,4719,30743,126889,888776,736870,9945,5603,6461,129897,867130,691789,11518,6162,15265,142396,960638,789269,9819,5513,16299,139738,1032188,853340,10328,6730,18504,143286,1089133,839458,10270,5354,70603,163448,1098034,901891,9753,6385,34234,145771,1229899,1009849,12852,6723,16956,183519,1114990,933033,11108,6858,16768,147223,1036625,865774,8642,5272,21362,135575,880881,696840,10204,4507,18077,151253,1030244,773941,9140,3935,70773,172455,1491748,1223899,11372,6317,52040,198120,1462797,1233368,11611,5520,14084,198214,1418463,1175823,12343,7076,25339,197882,1417274,1191056,11640,7739,23777,183062,1408499,1183145,10925,6921,23180,184328,1563221,1245119,11665,6601,84807,215029,1464300,1186832,12179,7028,49835,208426,1600263,1363685,12724,6911,18288,198655,1361076,1144106,12229,7220,25754,171767
"아시아주",소계,45724,10529,1233,273,1954,31735,59592,8841,1505,249,18212,30785,59820,12170,1619,303,10771,34957,61854,18923,2555,427,2949,37000,87630,32742,4004,731,4208,45945,122646,60845,5763,828,6586,48624,149181,75746,7251,1040,9358,55786,187714,85241,6615,967,34413,60478,198398,111510,7250,1547,20570,57521,307450,232227,7924,1816,3666,61817,313130,235921,8302,2164,4876,61867,390968,327115,5848,1121,8143,48741,311348,238034,5908,890,11430,55086,361780,248483,6209,979,45204,60905,592083,467983,8987,1665,29372,84076,614134,512813,8408,1829,5874,85210,629108,507467,9846,3060,13373,95362,718305,596935,8488,2267,14704,95911,771026,644804,8911,2320,16670,98321,863766,677852,8642,2124,59764,115384,852620,706692,8245,3004,32893,101786,947593,787273,11013,3774,16200,129333,888656,760274,9383,3516,14469,101014,850972,728774,7331,1760,19188,93919,720427,589174,8236,1184,15559,106274,873244,671888,7750,1260,62750,129596,1193544,984868,9804,1794,50278,146800,1128591,957604,9984,2343,13224,145436,1120500,938346,10680,3096,22613,145765,1119739,949800,10105,3206,21543,135085,1127273,957866,9498,2477,21104,136328,1280244,1034314,9911,2582,72754,160683,1168457,951504,10376,3427,48174,154976,1239158,1064144,10980,3315,17431,143288,1097552,937062,10547,3656,22470,123817
"아시아주",중국,9489,1641,170,8,264,7406,16752,1194,381,3,7881,7293,14726,1480,303,5,5366,7572,10230,1857,318,3,1034,7018,11253,1703,419,22,1024,8085,12741,3234,532,14,1239,7722,17907,5960,759,19,1614,9555,30248,5986,795,10,14610,8847,29531,8107,966,76,9975,10407,22940,9311,1273,25,1072,11259,24174,10331,1377,15,1266,11185,27367,15719,1026,64,2093,8465,24946,12343,845,44,2691,9023,45884,8813,1340,27,22250,13454,73390,29883,2409,222,16283,24593,105967,75815,2380,214,3291,24267,128171,87807,2858,280,8354,28872,168035,128482,2472,219,6773,30089,224805,179763,2801,221,7691,34329,259659,174012,2849,265,39348,43185,263940,199800,2806,236,19338,41760,249483,183449,3412,379,12594,49649,221469,172299,2999,321,9687,36163,253675,209361,2585,240,9619,31870,280035,233052,2654,93,7164,37072,343719,248966,2520,115,35771,56347,391347,305028,3535,237,31680,50867,411331,351071,3614,430,10150,46066,395222,326583,3706,474,16201,48258,397325,333707,3774,540,11758,47546,459069,395344,3506,298,10133,49788,505559,395471,3683,379,46050,59976,422809,329446,3648,382,28692,60641,392230,321087,3801,580,13883,52879,297840,234668,3821,394,15279,43678
"아시아주",일본,1162,103,336,17,140,566,2934,91,216,5,2088,534,1397,112,244,13,424,604,2231,535,622,8,124,942,3701,668,1314,19,751,949,5855,2042,1861,25,734,1193,11789,7737,2131,41,351,1529,26482,20324,1550,49,2910,1649,27560,23413,1504,64,1143,1436,67159,63905,1492,60,248,1454,62422,59089,1386,72,562,1313,84175,81012,1155,36,820,1152,66900,61766,1859,80,978,2217,94393,89217,1084,72,2702,1318,192318,187833,1541,87,972,1885,128309,124741,1317,135,256,1860,183691,178728,1538,204,905,2316,196512,192316,1310,132,771,1983,211468,206914,1218,169,796,2371,263453,256082,1269,125,3186,2791,250102,245965,756,196,1161,2024,255092,250235,1406,144,455,2852,278322,272686,919,579,694,3444,195869,191892,876,144,700,2257,143152,137713,1352,133,1196,2758,183999,177633,1153,119,2775,2319,338742,334131,1073,158,935,2445,229252,225182,902,132,300,2736,278423,272974,1183,158,971,3137,258431,253497,1122,235,687,2890,242953,237907,1076,173,786,3011,323465,315309,1305,187,3202,3462,310652,304277,1437,268,1179,3491,323266,317845,1240,189,456,3536,341198,334850,1153,679,838,3678
"아시아주",대만,309,64,35,6,19,185,857,50,42,1,531,233,410,49,54,3,59,245,505,122,121,-,26,236,786,178,181,6,110,311,1008,377,270,1,104,256,1756,943,474,12,50,277,4401,3057,330,1,687,326,4555,3719,343,5,148,340,11358,10672,260,6,65,355,17914,17063,267,10,196,378,29066,28358,224,7,178,299,49477,48543,190,11,266,467,47970,46456,224,8,910,372,63504,62629,285,11,257,322,77187,76519,201,7,113,347,66654,65745,209,12,271,417,97365,96524,180,9,223,429,103566,102600,192,13,252,509,98854,97022,103,10,1096,623,92411,91552,70,8,290,491,96845,96022,73,13,198,539,86141,85205,66,12,253,605,80633,79743,73,8,283,526,93589,92626,62,15,248,638,96704,94871,88,13,1055,677,115578,114512,51,7,410,598,117606,116752,74,20,147,613,116956,115839,68,7,372,670,144255,143174,72,5,320,684,142721,141615,73,18,304,711,148735,146623,76,13,1179,844,126130,124888,86,11,403,742,133433,132389,54,12,177,801,119505,118328,76,9,334,758
"아시아주",홍콩,76,18,14,0,11,33,272,17,9,-,207,39,150,23,32,-,69,26,140,33,65,-,20,22,307,81,103,4,72,47,662,297,143,0,164,58,1237,1084,61,3,31,58,2043,1679,33,1,272,58,3225,3002,53,-,93,77,11216,11050,71,1,23,71,14721,14409,74,2,79,157,27146,26623,75,5,122,321,26777,26243,54,-,118,362,16237,15534,49,1,422,231,27155,26631,86,2,164,272,38138,37774,37,3,39,285,28617,28111,50,3,144,309,31874,31356,29,3,157,329,39527,38973,44,2,155,353,43031,42213,44,4,425,345,30424,29883,38,1,187,315,41375,40772,47,3,112,441,38052,37523,45,4,151,329,42777,42280,38,2,148,309,25755,25272,38,1,125,319,35458,34605,41,2,447,363,49235,48591,42,2,233,367,42654,42209,40,1,104,300,45790,45286,33,0,172,299,54449,53960,51,2,161,275,58305,57746,48,1,196,314,61864,61101,46,0,398,319,40033,39370,47,3,281,332,52439,52012,34,3,94,296,46766,46305,53,2,145,261
"아시아주",마카오,3,1,1,-,1,-,2,-,-,-,2,0,5,-,-,-,5,-,6,-,1,-,-,5,8,2,1,-,4,1,7,2,3,-,2,0,16,10,4,-,0,2,39,21,-,-,10,8,41,33,1,-,3,4,75,61,1,-,2,11,97,92,1,-,2,2,141,128,1,-,6,6,247,224,1,-,6,16,346,312,3,-,24,7,814,775,3,-,17,19,1426,1402,4,-,5,15,1947,1904,4,-,12,27,2249,2221,3,-,10,15,3534,3495,6,-,11,22,4410,4364,8,-,23,15,2232,2191,3,-,15,23,2638,2602,10,-,9,17,2939,2905,4,-,8,22,4746,4709,7,-,11,19,1590,1553,7,-,7,23,3411,3346,9,-,32,24,3680,3633,4,-,18,25,2797,2736,5,-,13,43,2917,2839,9,-,11,58,3186,3093,9,-,19,65,5750,5624,12,-,20,94,6532,6390,8,-,42,92,2816,2689,11,-,28,88,3297,3169,5,-,10,113,3610,3438,7,-,26,139
"아시아주",필리핀,9363,2370,13,37,12,6931,9038,2447,15,45,36,6495,11397,3488,17,18,19,7855,12138,3280,34,50,65,8709,14119,4103,49,118,27,9822,15139,6409,125,106,43,8456,18146,8185,245,98,44,9574,17304,6940,217,133,293,9721,18191,9162,198,91,66,8674,26966,16511,372,138,24,9921,23963,14176,289,218,33,9247,24081,18614,160,108,36,5163,15759,8637,249,137,179,6557,14368,7880,229,68,206,5985,24735,12027,410,114,83,12101,35258,19543,517,188,39,14971,28094,12209,669,162,50,15004,29393,14584,420,270,71,14048,26215,11497,416,194,129,13979,24059,10364,340,168,334,12853,27175,13415,393,197,87,13083,43298,23919,688,231,73,18387,39219,21796,617,212,74,16520,35246,24367,310,143,75,10351,26908,12554,418,147,223,13566,25867,12493,325,82,278,12689,54881,29827,547,135,134,24238,50645,27012,518,133,51,22931,44686,21317,569,179,75,22546,44891,24327,532,235,81,19716,34632,15005,491,192,127,18817,35225,13547,466,216,336,20660,40278,19355,535,179,121,20088,58724,36291,702,189,57,21485,50599,33457,593,265,76,16208
