"통계분류(1)",통계분류(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,전통문화체험,연수교육연구,기타,K-POP/한류스타 관련 공연장 방문,스포츠/레포츠 관람 및 참가,유흥/오락,뷰티/의료관광,업무수행,시찰,사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,전통문화체험,연수교육연구,기타,K-POP/한류스타 관련 공연장 방문,스포츠/레포츠 관람 및 참가,유흥/오락,뷰티/의료관광,업무수행,시찰,사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,전통문화체험,연수교육연구,지역 축제 참여,기타,K-POP/한류스타 관련 공연장 방문,드라마/영화 촬영지 방문,스포츠/레포츠 관람 및 참가,유흥/오락,뷰티/의료관광,시찰 (산업 시설 등),연극 뮤지컬 발레 등 공연 관람 및 지역 축제 참여,업무수행,사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,전통문화체험,연수교육연구,지역 축제 참여,기타,K-POP/한류스타 관련 공연장 방문,드라마/영화 촬영지 방문,스포츠/레포츠 관람 및 참가,유흥/오락,시찰 (산업 시설 등),연극 뮤지컬 발레 등 공연 관람 및 지역 축제 참여,업무수행,쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,전통문화체험,비즈니스 전문 활동,오락,유흥,K-POP/한류스타 관련 공연장 및 드라마/영화 촬영지 방문,뷰티/미용관광,연수교육연구,연극 뮤지컬 발레 등 공연 관람,치료/건강검진,지역 축제 참여,국제회의,스포츠/레포츠 참가,스포츠/레포츠 관람,기타
"전체",소계,92.5,76.8,59.5,45.3,22.6,23.7,4.2,0.9,15.5,5.4,20.9,9.9,16.7,1.8,517,36.4,25.7,13.9,7.5,4.4,2.1,6.2,4.3,0.8,1.4,4.1,2.3,75.2,1.7,3976,54.1,28.3,27.8,22.2,12.9,9.6,12.2,1.1,4.8,1.7,1.6,2.2,6.2,4.9,0.7,1.2,61.1,16525,77.4,54.8,51.5,50.7,31.9,27.4,6.2,4.4,1.7,7.7,6.4,6.3,21.1,1.1,3.8,33.3,78.3,73.2,51,40.4,23.3,15.8,15.6,15.2,12.2,11.1,10,5.4,4.5,4,3.7,3.5,3,2.1,2.4
"월별",1월,92.6,74.8,55.8,40.4,19.9,24.2,4.8,0.7,19.1,10.7,20.8,9.3,16.8,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153,47.1,33.3,19,10.5,2,4.6,9.2,0,5.9,0,0.7,1.3,1.3,4.6,0.7,0,60.8,333,69.7,41.7,35.7,25.2,18.9,14.7,13.5,0.9,3.6,1.5,1.5,5.7,8.4,1.2,2.7,51.1,74.8,61.2,43,39.7,26.1,18.5,13.2,19.3,13.1,7.4,9.4,3,5.3,3.1,4.9,1.9,8,0.9,2.6
"월별",2월,92.9,77.4,55.2,43.5,21.1,24,6.4,0.9,13.4,7.7,18.3,11.2,19.1,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126,54.8,16.7,20.6,18.3,7.9,4.8,12.7,0,4.8,0,0,0.8,2.4,4.8,0.8,0.8,64.3,418,62.2,39.2,37.6,29.9,17,13.9,7.4,1.9,5.5,1.7,1.2,6.7,12,1.9,1.7,54.1,77.4,68.8,40.1,34.9,20.2,18.3,16.3,17.8,12.1,11.1,8.7,6.4,4.2,4.4,3.2,2.2,6.1,2,2.4
"월별",3월,91.2,79,53.2,40.7,17.2,22.3,2.9,1.1,12.9,2.9,19.4,10.8,15.3,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,191,44.5,18.3,16.2,12.6,5.8,5.8,5.2,0,6.8,0.5,0,1,3.7,3.1,0,0,80.6,561,64.7,43.9,37.8,34.2,19.1,12.7,7.8,1.6,4.5,3.4,1.6,3,11.9,3.2,1.1,51.3,76.9,71,42.5,35.7,20.1,13.8,17.5,16.8,10.3,11.2,10.1,5.4,3.4,3.8,3.1,4.4,2.7,1.5,2.1
"월별",4월,93.1,75.7,64,50.8,24.9,26.4,3.2,0.6,14,3.3,20.6,10.7,16.9,2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,257,46.3,23.7,22.6,15.2,7.4,7,7.8,0.8,3.5,1.9,0.8,0.8,3.9,3.1,0,1.6,74.7,1171,70.2,51,49.4,44.8,27.6,25.4,3.6,2.6,2.6,4,4.4,16.6,17.1,1,1.8,34.8,77.5,73.9,54.4,46.7,25.4,18.8,17.1,13.7,12.3,8.8,10.3,3.3,4.1,4.2,3,4.2,3,1.3,2.9
"월별",5월,91.8,75.6,59.6,47.1,22.6,24.1,3.7,1.4,13.9,4.4,20.2,10.9,16.7,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,280,52.1,29.6,26.1,21.1,10.7,9.3,14.3,1.8,3.9,0.4,1.1,0.7,3.2,5.4,1.1,0.4,60.4,1880,74.3,53.2,56.6,52.2,32.4,27.6,4.7,4.7,1.4,6.2,4.9,6.5,18.6,1.2,2.7,41.4,78.4,73.1,51.9,40.9,23.3,16.9,18.6,14.5,11,9.4,8.8,4.5,4.9,4.4,5.1,3.1,2,1.8,1.8
"월별",6월,92.8,74.7,59.3,50.5,24,24.9,5.3,0.8,17.2,3.8,24.9,11.1,17.9,1.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,255,54.9,34.9,26.3,18.4,11,6.3,30.2,0.8,1.2,1.6,2.4,4.3,9,10.2,0.4,2.7,55.7,1389,73.4,49,49.9,53.3,32.7,27.7,6.5,4.2,1.8,8.2,6,7.3,21.2,1,4.1,37.9,80.8,72.5,50.5,38.3,23.5,16.9,16.3,15.1,11.8,13,7.9,6.5,4.2,3.4,3.7,5.1,2.5,2.4,1.6
"월별",7월,92.2,76.8,58.9,44.3,25.7,22.2,4.3,1.5,17.1,6.4,23.5,8.8,16,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,246,51.6,30.5,27.6,15.9,13.8,6.9,13,0.4,6.1,2,3.3,2,9.8,8.1,0,2,65,1650,76.8,45.9,55.9,56.4,41.1,32.7,14.4,4.7,0.7,9.6,7.2,6.9,29,1,4.2,36.5,77,73.4,47.1,37.9,25.7,16.4,13.5,17.7,12.7,18.4,8.8,6.2,4.6,2.5,3.7,3.5,2.7,4.3,2.9
