"통계분류(1)",통계분류(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기후/뚜렷한 사계절,이미용 서비스,숙박시설/편리한 교통,친구 친지 방문,휴가 시간,템플스테이 태권도 등 한국전통 문화 체험,기타,계,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,휴가 시간,기타,계,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,자국과의 이동거리,경제적인 여행비용,기타,계,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타,계,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타,계
"전체",소계,30.3,23.6,4.1,9.8,4.2,1.2,1.9,0.4,1.6,1.1,0.6,0.8,0.6,14.2,3,0.7,1.9,100,33.4,22.4,6.8,11.8,6,1.3,3.4,1.2,0.6,2.4,0.9,6.9,3,100,168,8.3,7.1,6,4.2,1.2,1.2,1.2,1.8,1.2,0.6,67.3,100,928,23.3,10.9,4.3,11.2,1.5,1.6,2.2,1.7,1.3,0.8,0.6,0.5,40.1,100,9588,36.6,16.5,10.1,8.9,5.6,2.6,2.5,2,1,0.9,0.8,0.7,11.8,100
"월별",1월,32.6,27.6,2.5,7.6,4.8,1.8,1.4,0.8,1,1.2,0.5,0.8,0.6,11.5,2.2,0.7,2.3,100,33.3,19.1,6,11,12.6,0.8,2.2,1.5,1.1,1.8,2.3,4.9,3.4,100,-,-,-,-,-,-,-,-,-,-,-,-,-,35,17.1,14.3,2.9,8.6,0,0,2.9,11.4,0,0,0,0,42.9,100,120,24.2,9.2,6.7,10,2.5,0.8,2.5,3.3,0.8,2.5,1.7,0.8,35,100
"월별",2월,31.2,21.3,2.9,7.8,2.5,1,0.8,2.1,2.4,1.8,0.8,1,0.3,11.4,1.6,0.4,10.7,100,41,23.2,5.1,9.2,3.6,0.9,3.5,2.1,0.7,1.8,0.3,5,3.6,100,-,-,-,-,-,-,-,-,-,-,-,-,-,23,26.1,8.7,13,4.3,0,4.3,4.3,0,0,0,0,0,39.1,100,150,22,18.7,7.3,8,2,1.3,1.3,4,1.3,0.7,0,0,33.3,100
"월별",3월,33,25.2,3,8.2,3.3,1,2.8,0.1,2.3,1.1,0.7,0.7,0.5,11.1,3.9,0.8,2.2,100,32.3,29.8,5,11,5.7,1,2,1.1,0.3,3.4,1.3,5.6,1.6,100,-,-,-,-,-,-,-,-,-,-,-,-,-,16,31.3,12.5,0,25,0,0,0,0,0,6.3,0,0,25,100,223,26.5,17.5,6.3,10.3,2.2,0.9,1.8,4,0.9,1.3,0,0.9,27.4,100
"월별",4월,28.4,23.5,4.1,10.7,3.2,1.2,1.5,0.2,1.4,1.9,0.5,0.7,1.1,15.8,4.1,0.6,1.1,100,32.4,21.2,8.8,12.2,4,2.8,2.4,0.7,0.4,2.8,0.9,8.4,3,100,-,-,-,-,-,-,-,-,-,-,-,-,-,40,40,10,0,17.5,0,0,2.5,0,2.5,0,0,0,27.5,100,570,28.8,15.6,9.6,9.8,2.3,2.3,1.9,3.5,0.9,1.1,0.4,0.2,23.7,100
"월별",5월,28.9,21.6,5,9.7,4.7,0.8,2.2,0.3,1.3,1.3,0.5,0.9,1,16.6,2.7,1,1.3,100,34.3,19.4,8.7,12.3,5.4,1.1,3,1.9,0.5,1.6,1.1,7.9,2.9,100,-,-,-,-,-,-,-,-,-,-,-,-,-,51,19.6,5.9,2,15.7,0,0,13.7,0,2,0,0,0,41.2,100,986,33.2,18,9.8,9.1,3.1,2.4,2.9,2.6,0.7,1.5,0.1,1.7,14.7,100
"월별",6월,24.8,24.1,4.9,10.6,4.1,1.4,2.9,0.5,2.4,1.6,0.6,1.6,0.9,15,2.9,0.8,1.1,100,36.6,23.4,5.2,10.1,5.2,1.6,3.7,1.3,0.4,2.3,0.2,5.8,4.1,100,-,-,-,-,-,-,-,-,-,-,-,-,-,30,36.7,0,0,6.7,0,0,6.7,3.3,10,0,0,0,36.7,100,722,34.1,14.3,12,7.3,5.8,4.2,2.6,1.9,1.2,0.7,1,1.1,13.7,100
"월별",7월,28.8,22,6.1,10.1,3.6,1.8,1.1,0.6,1.8,0.9,0.4,0.6,1,15.5,3.6,0.9,1.2,100,29.1,23.6,6.2,11.6,7.1,2.2,4.6,0.9,0.4,2.5,0.7,7.2,4.1,100,-,-,-,-,-,-,-,-,-,-,-,-,-,41,22,7.3,4.9,19.5,2.4,0,0,0,4.9,0,2.4,0,36.6,100,763,35.1,13.1,12.7,9.6,4.8,3,2.9,2.2,1.6,0.8,0.5,0.8,12.8,100
