지점명,지점번호,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
속초,90,1.5,5.6,-2.5,128.2,49.8,548.5,,,1019.1,1021.4,2.5
철원,95,-3.7,2.6,-9.6,65.5,66.7,510.1,,,1004.5,1024.3,1.4
동두천,98,-2.2,4.1,-7.4,67.4,60.3,536.3,,,1010.3,1024.6,1.5
파주,99,-2.9,3.4,-8.7,63.6,65.2,555.9,,,1020.9,1024.8,1.5
대관령,100,-5.3,-0.2,-10.5,132.5,66.1,587.4,,,924,1023.2,4.7
춘천,101,-2.3,3.7,-7.5,69.3,67.6,493.4,,,1014.4,1024.2,1.1
백령도,102,0.1,2.7,-2.2,54,63.4,425.7,5.3,,1007.9,1024.8,4.6
강릉,105,2.3,6.8,-1.5,131.1,47.1,563.9,,,1018.5,1021.8,3.3
동해,106,2.4,6.7,-1.6,108.5,48.2,559.1,,,1016.6,1021.3,2.7
서울,108,-0.3,3.9,-4,67.1,56.1,503.1,3.7,138.5,1013.4,1024.4,2.4
인천,112,0,3.9,-3.4,62.8,61.2,552.7,3.7,157,1015.4,1024.2,3.3
원주,114,-1.4,4.2,-6.4,68.8,63.6,482.7,,,1005.2,1024.2,1
울릉도,115,2.9,5.8,0.5,340,68.2,323.8,6.7,140.6,993.4,1020.9,3.5
수원,119,-0.5,4.5,-5.1,71.4,63.1,520.7,3.7,127.7,1020.1,1024.6,1.7
영월,121,-1.9,4.2,-7.6,69.6,63.4,528.4,,,993.8,1024.1,1.3
충주,127,-1.6,4.3,-6.8,73.3,66,487.2,,,1012,1024.6,1.5
서산,129,-0.2,4.9,-4.9,87.8,70.2,479.9,,,1021.5,1024.7,2.3
울진,130,2.7,7.8,-1.8,116.6,51.5,592.9,,,1015.2,1021.5,3.5
청주,131,0.1,5.1,-4.4,74.7,61.9,506.1,4.2,116.5,1017.3,1024.6,1.5
대전,133,0.5,5.8,-4.1,91,64.5,509.5,4.2,112.4,1015.8,1024.5,1.5
추풍령,135,-0.4,4.7,-5,81.9,60,525.1,,,993.4,1024.1,3.4
안동,136,-0.3,5.7,-5.8,58.6,59.7,576.1,3.5,161,1006,1023.8,1.8
상주,137,0.3,5.5,-4.3,75.4,56.5,536,,,1011.7,1024.1,2.2
포항,138,3.6,8.2,-0.2,101.1,49.8,570.6,3.4,223.2,1022.2,1022.6,2.7
군산,140,1.3,5.5,-2.5,100.3,70.7,486.8,,,1021.3,1024.7,2.9
울산,152,3.7,8.9,-0.7,106,50.1,574.1,3.4,,1017.1,1022.4,2.2
창원,155,4,8.6,-0.1,102.2,48.9,567.1,3.2,,1019.7,1022.6,2
광주,156,2.4,7.4,-1.6,113.1,64.6,489.7,4.7,,1015.2,1024.3,1.9
부산,159,5,9.6,1.2,117.6,48,599.4,3.3,210.3,1013.5,1022.2,3.4
통영,162,4.5,9.3,0.4,114.4,55.2,588.9,,,1019.1,1023,2.7
목포,165,3,7.2,-0.4,105.6,70.3,454.6,5.3,136.9,1019.2,1024.5,4.2
여수,168,4.1,8,0.9,95.4,53.6,584.4,3.5,237.8,1014.7,1023.2,4.7
흑산도,169,4.4,6.8,2.5,91.2,69.7,353.8,6.1,,1014.6,1024.4,6.7
완도,170,3.9,7.9,0.4,123.6,65.1,463.1,,,1020.1,1023.9,3.9
고창,172,1.5,6.3,-2.9,107.5,76.4,437,,,1018.8,1025.4,2.9
제주,184,7.1,9.9,4.5,180.4,63.8,262.1,6.6,170.1,1021.5,1024.2,4
고산,185,7.1,9.7,4.6,130.2,67.3,336.5,,,1014.3,1023.2,9.4
성산,188,6.4,10.1,2.9,237.5,66.7,408.5,,,1021.2,1023.6,3.3
서귀포,189,8.3,11.9,5.1,190.7,63.1,470,5.5,185.7,1016.3,1022.5,2.4
진주,192,1.7,8.7,-4.3,98,58.6,583.3,,,1019.9,1023.2,1.3
강화,201,-1.6,3.4,-6.5,59.7,63.3,543.2,,,1019,1025,1.7
양평,202,-1.6,4.1,-6.8,65.8,66.2,512.2,,,1018.8,1025,1.3
이천,203,-1.5,4.4,-6.9,70.5,62.9,507.1,,,1014.6,1024.5,1.2
인제,211,-2.8,3.3,-8.4,59.5,64.5,463.3,,,998.8,1024.2,1.7
홍천,212,-2.9,3.8,-8.5,60,65,483.9,,,1006.7,1024.8,0.9
태백,216,-3.1,2.3,-8.1,73.2,58.4,522.5,,,935.2,1022.6,1.6
정선군,217,-2.3,3.5,-7.4,70.9,59.6,447.9,,,985.9,1024.6,2
제천,221,-3.1,3.5,-9.1,76.3,67.5,516.4,,,991.5,1024.7,1.4
보은,226,-1.4,4.9,-7.1,83.3,66,503.2,,,1002.3,1024.2,1.5
