발생예보발령제목,병해충명,병해충관리기관코드,발생예보발령일자,발생경보예보발령구분,발생예보발령지역코드,발생예보발령내용,발생예보발령상태
대벌레 발생 예보 발령,기타해충,1400377,2023-02-21,관심,6110000;6410000,(1차) 대벌레 관심 발령,해제
(1차) 광릉긴나무좀 관심 발령,광릉긴나무좀,1400377,2021-05-11,관심,"6110000;6280000,6310000,6430000,6460000,6260000,6290000,6410000,6440000,6470000,6270000,6300000,6530000,6540000,6480000,6500000,5690000",ㅇ(1차) 광릉긴나무좀(참나무시들음병 매개충) 관심 발령 ㅇ(국립산림과학원) 2021.11.1일자로 관심발령 해제,해제
솔나방 지자체발령,솔잎혹파리 ,1400000,2021-02-25,관심,"6280000;6410000,3500000,3540000,3550000,4530000",솔나방,해제
매미나방(1차),매미나방,1400000,2021-02-24,관심,"6110000;6280000,6410000,6530000,6440000,6430000,6480000,6470000",매미나방 관심발령,해제
잣나무,잣나무넓적잎벌 ,1400000,2021-02-25,경계,3720000;3730000,발령,해제
솔잎혹파리 관심 발령,솔잎혹파리 ,1400377,2021-03-17,관심,"6110000;6260000,6270000,6280000,6290000,6300000,6310000,6410000,6530000,6430000,6440000,6540000,6460000,6470000,6480000,6500000,5690000",ㅇ(1차) 솔잎혹파리 관심 발령 ㅇ(국립산림과학원) 2021.11.1일자로 관심발령 해제,해제
(1차) 미국흰불나방 관심 발령,미국흰불나방 ,1400377,2021-02-24,관심,"6110000;6260000,6270000,6290000,6300000,6310000,6410000,6530000,6430000,6440000,6540000,6470000,6480000,6460000,5690000,6280000",ㅇ(1차) 미국흰불나방 관심 발령 ㅇ(국립산림과학원) 2021.11.1일자로 관심발령 해제,해제
매미나방(2차),매미나방,1400377,2021-03-29,관심,"6540000;6460000,5690000,6260000,6300000,6270000,6310000,6290000,6500000",ㅇ(2차)매미나방 발생 관심발령 ㅇ(국립산림과학원) 2021.11.1일자로 관심발령 해제,해제
큰대왕참나무유리나방 발생 예보 발령,기타해충,1400377,2024-03-12,관심,"6530000;6410000,6440000,6470000",ㅇ(큰대왕참나무유리나방),유지
솔잎혹파리 발생 예보 발령,솔잎혹파리 ,1400377,2024-03-29,관심,1400000,,유지
대벌레 발생 예보 발령,대벌레,1400377,2024-02-13,관심,"6110000;6410000,6530000,6430000",,유지
광릉긴나무좀 발생 예보 발령,참나무시들음병 ,1400377,2024-05-02,관심,1400000,,유지
호두나무 갈색썩음병 발생 예보 발령,기타병해,1400377,2024-07-08,관심,"6110000;6260000,6270000,6280000,6290000,6300000,6310000,5690000,6410000,6530000,6430000,6440000,6540000,6460000,6470000,6480000",ㅇ(호두나무 갈색썩음병),유지
매미나방(2차),매미나방,1400377,2021-03-29,주의,"6110000;6280000,6410000,6530000,6440000,6430000,6480000,6470000",ㅇ(2차)매미나방 발생 주의(상향)발령 ㅇ(국립산림과학원) 2021.11.1일자로 주의발령 해제,해제
미국흰불나방 발생 예보 발령,미국흰불나방 ,1400377,2024-08-21,주의,"6110000;6260000,6270000,6280000,6290000,6300000,6310000,5690000,6410000,6530000,6430000,6440000,6540000,6460000,6470000,6480000",,유지
솔나방 발생경보,솔나방 ,1400377,2014-11-07,관심,6430000;6440000,솔나방 발생경보,해제
솔잎혹파리 발생 예보 발령,솔잎혹파리 ,1400377,2022-03-30,관심,1400000,"조치사항:나무주사(5월하순~6월),천적방사(5월하순~6월하순)임업적방제(6월~11월)",해제
매미나방 발생 예보 발령,매미나방,1400377,2022-02-28,관심,"6110000;6280000,6410000,6530000,6430000,6440000,6470000,6480000,6460000","조치사항 : 알덩어리 제거(~’22.3월), 월동난 부화시기 모니터링",해제
매미나방 전국발령,매미나방,1400000,2021-03-29,주의,1400000,전국발령,해제
미국흰불나방 발생 예보 발령,미국흰불나방 ,1400377,2022-03-30,관심,"6110000;6260000,6270000,6280000,6290000,6300000,6310000,6410000,6530000,6430000,6440000,6540000,6460000,6470000,6480000,5690000","조치사항:알덩어리제거(5월중~),유충제거(5월하순~10월상순),유충약제살포(5월하순~6월초순)",해제
솔잎혹파리 발생 예보 발령,솔잎혹파리 ,1400377,2023-03-28,관심,1400000,(1차)솔잎혹파리 관심 발령,해제
작은대왕참나무유리나방 발생 예보 발령,기타해충,1400377,2024-03-12,관심,6530000,ㅇ (작은대왕참나무유리나방),유지
참나무시들음병 발생 예보 발령,참나무시들음병 ,1400377,2023-04-06,관심,1400000,(1차)참나무시들음병(매개충:광릉긴나무좀) 관심 발령,해제
미국흰불나방 발생 예보 발령,미국흰불나방 ,1400377,2023-08-16,경계,"6110000;6260000,6270000,6280000,6290000,6300000,6310000,6410000,6530000,6430000,6440000,6540000,6460000,6470000,6480000,5690000",ㅇ(1차)미국흰불나방 관심 발령_2023.3.26. ㅇ(2차)미국흰불나방 경계 발령_2023.8.16.,해제
맵시혹나방 발생 예보 발령,기타해충,1400377,2024-02-23,관심,6460000,ㅇ(맵시혹나방),유지
