지점명,지점번호,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
속초,90,12.5,16.6,8.7,1407.2,65,2166.4,,,1012.9,1015.1,2.3
철원,95,10.3,16.4,4.7,1354.4,69.9,2183.5,,,997.5,1016.2,1.7
동두천,98,11.5,17.8,6.3,1417.1,65.6,2221.8,,,1002.9,1016.3,1.5
파주,99,11,17.3,5.6,1295.8,71.6,2288.3,,,1012.9,1016.5,1.6
대관령,100,7.1,12.2,2.3,1695.1,73.3,2253.9,,,921.7,1016.1,3.8
춘천,101,11.4,17.4,6.3,1341.5,70.5,2139.7,,,1007.1,1016.3,1.2
백령도,102,11.3,14.5,8.7,787.3,71,2193.6,5.4,,1000,1016.3,4.4
강릉,105,13.5,17.8,9.6,1444.9,59.5,2196.6,,,1012.3,1015.4,2.6
동해,106,12.8,17,9,1264.3,64.4,2219.2,,,1010.5,1015,2.4
서울,108,12.8,17.4,8.9,1417.9,61.8,2143.1,4.8,1179.3,1005.9,1016.3,2.3
인천,112,12.5,16.6,9.1,1207.4,68.8,2378.3,4.7,1163.3,1007.8,1016.1,2.9
원주,114,12,17.8,6.9,1299,66.6,2063.2,,,998.3,1016.3,1.1
울릉도,115,12.7,16,10.1,1480.6,72.9,1961.4,6.1,1159.3,989.1,1015.4,3.6
수원,119,12.5,17.7,8,1320.3,68.3,2227,4.8,1125.1,1012.3,1016.6,1.7
영월,121,11.2,17.7,5.6,1205.1,68.1,2142.8,,,987.6,1016.3,1.3
충주,127,11.7,17.9,6.3,1214.3,67.3,2138.7,,,1004.8,1016.5,1.5
서산,129,12.1,17.5,7.3,1253.9,73.8,2224.8,,,1013.6,1016.6,2.4
울진,130,12.8,17.5,8.7,1181.7,67.2,2350.9,,,1009.4,1015.3,3.2
청주,131,13.1,18.4,8.4,1232.4,64,2232,5,1174.7,1009.6,1016.5,1.6
대전,133,13.1,18.5,8.4,1351.2,67.9,2253.7,5,1074.7,1008.2,1016.5,1.7
추풍령,135,11.8,17.5,6.7,1195.3,66.3,2206,,,987.2,1016.4,2.5
안동,136,12.2,18.4,6.8,1045.7,66.2,2292.6,4.9,1254.3,999.5,1016.4,1.6
상주,137,12.8,18.6,7.8,1178.6,64.8,2205.3,,,1004.7,1016.4,1.7
포항,138,14.6,18.9,10.9,1192.4,62.9,2303.5,4.8,1343,1015.6,1016.1,2.6
군산,140,13,17.6,9.2,1246,75.3,2217.5,,,1013.4,1016.6,3
울산,152,14.4,19.4,10.2,1292.6,63.5,2249.5,4.8,,1010.9,1015.8,2.1
