년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			1991-01",143,0.6,-3.5,5.7
"			1991-02",143,1.2,-2.9,6.2
"			1991-03",143,7,2.2,12.4
"			1991-04",143,13.8,7.3,20.9
"			1991-05",143,18.3,12.6,24.5
"			1991-06",143,24.2,19.6,29.2
"			1991-07",143,25.3,22.2,29.3
"			1991-08",143,24.2,20.8,28.3
"			1991-09",143,21.5,17.3,26.3
"			1991-10",143,15.4,9.6,22
"			1991-11",143,8.1,2.5,14.6
"			1991-12",143,4.6,0.4,9.8
"			1992-01",143,2.3,-1.7,7.5
"			1992-02",143,2.9,-1.9,8.7
"			1992-03",143,8.3,3.8,13.6
"			1992-04",143,14.2,8.3,20.7
"			1992-05",143,17.6,11.8,24.1
"			1992-06",143,22.3,16.8,28.6
"			1992-07",143,27.5,22.8,33.2
"			1992-08",143,25.1,22,29
"			1992-09",143,21.7,17.9,26.6
"			1992-10",143,14.9,9.9,21.1
"			1992-11",143,8.2,3.1,14.7
"			1992-12",143,3.9,0,8.6
"			1993-01",143,0.6,-3.2,5.2
"			1993-02",143,3.8,-0.9,9.7
"			1993-03",143,7.3,1.9,13.4
"			1993-04",143,13.8,7.4,20.5
"			1993-05",143,18.4,12.6,25.3
"			1993-06",143,22.9,18.7,28
"			1993-07",143,22.9,19.3,27.1
"			1993-08",143,22.9,19.8,27
"			1993-09",143,21.1,16.7,26.5
"			1993-10",143,14.7,9.3,21
"			1993-11",143,9.7,5.7,14.5
"			1993-12",143,2.3,-2.2,8
"			1994-01",143,0.9,-3.5,6.7
"			1994-02",143,3.2,-1.4,9.1
"			1994-03",143,6.2,1.4,12.1
"			1994-04",143,15.7,9.6,22.4
"			1994-05",143,19.3,13.5,25.3
"			1994-06",143,23.1,17.7,28.9
"			1994-07",143,30.2,25.4,36
"			1994-08",143,29.1,24.6,34.5
"			1994-09",143,22.8,17.2,29.4
"			1994-10",143,16.4,11,22.9
"			1994-11",143,11.1,5.9,17.5
"			1994-12",143,3.9,-0.6,9.4
"			1995-01",143,0.4,-3.8,6
"			1995-02",143,3.5,-1.6,10.1
"			1995-03",143,8,3,14.2
"			1995-04",143,13.9,7.5,21.2
"			1995-05",143,18.2,12,24.9
"			1995-06",143,21.2,16.5,27.2
"			1995-07",143,26.7,23,31.2
"			1995-08",143,28.6,24.3,34
"			1995-09",143,20.4,15.9,25.6
"			1995-10",143,16.3,10.7,22.9
"			1995-11",143,8,2,15.1
"			1995-12",143,1.7,-2.9,7.5
"			1996-01",143,0.8,-3.6,6.2
"			1996-02",143,1.5,-3.3,7.3
"			1996-03",143,6.4,1.9,11.7
"			1996-04",143,12.9,6.9,18.9
"			1996-05",143,19.3,13.1,26.1
"			1996-06",143,22.4,18.5,27
"			1996-07",143,25.3,21.6,30.2
"			1996-08",143,26.9,22.9,32.3
"			1996-09",143,21.8,16.7,28
"			1996-10",143,16,10.5,22.6
"			1996-11",143,8.6,4.3,13.5
"			1996-12",143,2.8,-2.3,9.3
"			1997-01",143,0.3,-4.2,5.7
"			1997-02",143,3.4,-2.2,9.9
"			1997-03",143,8.8,3.4,15.1
"			1997-04",143,14.4,8.6,21
"			1997-05",143,19.6,13.9,25.9
"			1997-06",143,24,18.6,30.2
"			1997-07",143,26.1,22.2,30.7
"			1997-08",143,26.3,22.7,30.9
"			1997-09",143,21.4,16.6,27.1
"			1997-10",143,15.9,9.8,22.9
"			1997-11",143,10.5,5.8,15.9
"			1997-12",143,3.6,-0.4,8.3
"			1998-01",143,1.1,-2.8,5.6
"			1998-02",143,5.4,1,10.6
"			1998-03",143,9.4,4.3,15.2
"			1998-04",143,16.2,11.7,21.7
"			1998-05",143,19.9,14.6,25.4
"			1998-06",143,21,17.6,24.8
"			1998-07",143,25.2,22.3,28.6
"			1998-08",143,26.1,23,30.1
"			1998-09",143,23.1,19.2,28
"			1998-10",143,18,13.6,23.1
"			1998-11",143,9.1,4.2,15
"			1998-12",143,4.6,-0.1,10.2
"			1999-01",143,1.6,-2.8,6.8
"			1999-02",143,3.4,-1.3,8.2
"			1999-03",143,8.2,3.2,13.6
"			1999-04",143,14.9,9.2,20.8
"			1999-05",143,19.5,13.7,25.4
"			1999-06",143,23.5,18.9,28.4
"			1999-07",143,24.6,21.9,28.2
"			1999-08",143,25.5,22.4,29.1
"			1999-09",143,23.3,19.9,27.6
"			1999-10",143,15.2,10.7,20.4
"			1999-11",143,9.2,4.6,14.4
"			1999-12",143,2.8,-1.5,8
"			2000-01",143,1.1,-2.7,5.1
"			2000-02",143,1.3,-2.9,6
"			2000-03",143,7.9,2.8,13.6
"			2000-04",143,13,7.9,18.5
"			2000-05",143,19.5,14.2,25.1
"			2000-06",143,23.3,19.2,28.1
"			2000-07",143,26.9,23.4,31.5
"			2000-08",143,26.5,23.6,30.4
"			2000-09",143,21.2,18,25.1
"			2000-10",143,16.7,12.4,21.5
"			2000-11",143,9.4,5.2,14.4
"			2000-12",143,3.9,-0.8,9.2
"			2001-01",143,0.7,-2.9,4.7
"			2001-02",143,4.2,-0.4,8.9
"			2001-03",143,9.1,4,14.8
"			2001-04",143,15.8,9.6,22.3
"			2001-05",143,20.5,15.5,25.8
"			2001-06",143,23.9,20.1,28.6
"			2001-07",143,27.7,24.1,32
"			2001-08",143,27.2,23.7,31.4
"			2001-09",143,22,17.8,27
"			2001-10",143,16.6,12.5,21.7
"			2001-11",143,8.3,3.5,14.1
"			2001-12",143,1.9,-1.9,6.6
"			2002-01",143,2.3,-1.4,6.7
"			2002-02",143,4,-1.3,10
"			2002-03",143,10.1,4.5,16.4
"			2002-04",143,15.6,9.5,21.5
"			2002-05",143,18.5,13.3,24
"			2002-06",143,23.3,17.9,29.3
"			2002-07",143,26.1,22.8,30.4
"			2002-08",143,24.9,22.1,28.5
"			2002-09",143,21,16.7,26.1
"			2002-10",143,14.3,9.6,19.9
"			2002-11",143,6.2,1.2,11.6
"			2002-12",143,3.4,-0.2,7.6
"			2003-01",143,-0.4,-4.4,4.3
"			2003-02",143,4,-0.2,8.6
"			2003-03",143,7.8,3.1,12.8
"			2003-04",143,14.1,9.3,19.5
"			2003-05",143,18.5,13.1,24.1
"			2003-06",143,22.2,18.3,26.6
"			2003-07",143,22.5,19.8,26.1
"			2003-08",143,25,21.7,29.2
"			2003-09",143,22.1,18.5,26.7
"			2003-10",143,15,9.7,20.9
"			2003-11",143,10.9,6.6,15.5
"			2003-12",143,3.3,-0.8,8.2
"			2004-01",143,0.8,-3.3,6
"			2004-02",143,4.8,-0.5,10.6
"			2004-03",143,8.4,2.8,14.6
"			2004-04",143,15.4,9.3,22
"			2004-05",143,19.4,14.7,24.4
"			2004-06",143,23.1,18.1,28.7
"			2004-07",143,27.3,23.4,31.9
"			2004-08",143,25.8,22.4,30.7
"			2004-09",143,21.6,18,26.3
"			2004-10",143,15.7,10.6,21.5
"			2004-11",143,11,6,16.9
"			2004-12",143,4.8,0.5,9.9
"			2005-01",143,0.7,-3.3,5.4
"			2005-02",143,1.4,-2.6,6
"			2005-03",143,7.2,2,13.1
"			2005-04",143,16,9.8,22.3
"			2005-05",143,19.5,13.8,25.9
"			2005-06",143,24.9,20.3,30.4
"			2005-07",143,26.4,23,30.8
"			2005-08",143,26.3,22.9,31
"			2005-09",143,22.6,19.3,27.1
"			2005-10",143,15.8,11.3,21.2
"			2005-11",143,10,4.9,15.8
"			2005-12",143,-0.3,-4.4,4.5
"			2006-01",143,2.6,-1.2,7
"			2006-02",143,3.1,-1.3,8.1
"			2006-03",143,8.2,2.8,14.1
"			2006-04",143,13.4,8.6,19.1
"			2006-05",143,18.9,14.2,24.3
"			2006-06",143,23.4,18.6,28.8
"			2006-07",143,24.2,21.5,27.7
"			2006-08",143,28.2,24.3,33.3
"			2006-09",143,20.6,16.5,25.4
"			2006-10",143,18.6,13.7,24.7
"			2006-11",143,10.2,5.8,15
"			2006-12",143,3.6,-0.5,8.6
"			2007-01",143,3.3,-0.6,8.1
"			2007-02",143,6.2,1.2,11.9
"			2007-03",143,8.8,4.2,14.4
"			2007-04",143,14.2,8.6,19.9
"			2007-05",143,19.9,14.3,26.3
"			2007-06",143,23,18.6,28.3
"			2007-07",143,24.8,21.5,28.8
"			2007-08",143,27.6,24.2,32
"			2007-09",143,22.4,19.4,25.8
"			2007-10",143,16.7,12.4,21.7
"			2007-11",143,9,4,14.8
"			2007-12",143,4.3,0.8,8.5
"			2008-01",143,1.5,-2,5.6
"			2008-02",143,1.5,-3.2,7
"			2008-03",143,9.1,3.9,14.8
"			2008-04",143,14.8,9.3,21
"			2008-05",143,19.7,14.2,25.7
"			2008-06",143,21.1,17.2,25.8
"			2008-07",143,28.4,24.8,33.1
"			2008-08",143,25.8,22.2,30.7
"			2008-09",143,23,18.9,28
"			2008-10",143,17.8,12.6,23.6
"			2008-11",143,9.5,4.9,14.7
"			2008-12",143,3.3,-1.2,8.7
"			2009-01",143,0.7,-3.7,5.8
"			2009-02",143,6.4,1.7,11.5
"			2009-03",143,9,3.7,14.5
"			2009-04",143,15.4,9.5,21.9
"			2009-05",143,20.9,15.1,27.7
"			2009-06",143,24,19.3,29.6
"			2009-07",143,24.8,21.3,29.4
"			2009-08",143,25.5,22.2,29.7
"			2009-09",143,22.6,18.2,28
"			2009-10",143,17.2,11.7,23.4
"			2009-11",143,9.1,4.9,14.1
"			2009-12",143,2.5,-1.3,7.2
"			2010-01",143,0,-4.3,5
"			2010-02",143,3.9,-0.1,8.7
"			2010-03",143,6.9,3.1,11.1
"			2010-04",143,11.5,6.5,17
"			2010-05",143,19.4,13.7,25.3
"			2010-06",143,24.8,19.5,30.5
"			2010-07",143,26.7,23.5,31.3
"			2010-08",143,28.7,25,33.6
"			2010-09",143,23.3,19.2,28.6
"			2010-10",143,16.4,11.7,21.9
"			2010-11",143,8.6,3.2,14.9
"			2010-12",143,2,-2.5,7.3
"			2011-01",143,-2.5,-6.6,2.2
"			2011-02",143,4.2,-0.5,9.5
"			2011-03",143,7,1.8,12.6
"			2011-04",143,13.7,8,19.8
"			2011-05",143,18.8,13.8,24.2
"			2011-06",143,24.3,19.6,29.6
"			2011-07",143,26.8,23.4,31.3
"			2011-08",143,26.2,23.1,30.3
"			2011-09",143,23,18.9,27.9
"			2011-10",143,15.7,10.8,21.2
"			2011-11",143,11.9,8.2,16.3
"			2011-12",143,2.3,-1.5,6.9
"			2012-01",143,0.8,-2.8,5.1
"			2012-02",143,1.1,-3.2,5.9
"			2012-03",143,7.7,3.5,12.7
"			2012-04",143,15.1,9.5,21.3
"			2012-05",143,20.1,15.1,26.2
"			2012-06",143,23.2,19.2,28.3
"			2012-07",143,27.5,23.7,32.1
"			2012-08",143,27.9,24.5,32.4
"			2012-09",143,21.7,17.6,26.8
"			2012-10",143,15.8,10.5,22.2
"			2012-11",143,8.2,3.9,13.2
"			2012-12",143,-0.3,-3.9,3.9
"			2013-01",143,-0.1,-4.5,4.8
