"시점",국내총생산(명목 원화표시) (십억원),국내총생산(명목 원화표시) (십억원),국내총생산(명목 원화표시) (십억원),국내총생산(명목 달러표시) (억달러),국내총생산(명목 달러표시) (억달러),국내총생산(명목 달러표시) (억달러),국민총소득(명목 원화표시) (십억원),국민총소득(명목 원화표시) (십억원),국민총소득(명목 원화표시) (십억원),국민총소득(명목 달러표시) (억달러),국민총소득(명목 달러표시) (억달러),국민총소득(명목 달러표시) (억달러),요소비용국민소득(명목) (십억원),요소비용국민소득(명목) (십억원),요소비용국민소득(명목) (십억원),국민처분가능소득(명목) (십억원),국민처분가능소득(명목) (십억원),국민처분가능소득(명목) (십억원),국민총처분가능소득(명목) (십억원),국민총처분가능소득(명목) (십억원),국민총처분가능소득(명목) (십억원),가계총처분가능소득(명목) (십억원),가계총처분가능소득(명목) (십억원),가계총처분가능소득(명목) (십억원),1인당 국내총생산(명목 원화표시) (만원),1인당 국내총생산(명목 원화표시) (만원),1인당 국내총생산(명목 원화표시) (만원),1인당 국내총생산(명목 달러표시) (달러),1인당 국내총생산(명목 달러표시) (달러),1인당 국내총생산(명목 달러표시) (달러),1인당 국민총소득(명목 원화표시) (만원),1인당 국민총소득(명목 원화표시) (만원),1인당 국민총소득(명목 원화표시) (만원),1인당 국민총소득(명목 달러표시) (달러),1인당 국민총소득(명목 달러표시) (달러),1인당 국민총소득(명목 달러표시) (달러),1인당 가계총처분가능소득(명목 원화표시) (만원),1인당 가계총처분가능소득(명목 원화표시) (만원),1인당 가계총처분가능소득(명목 원화표시) (만원),1인당 가계총처분가능소득(명목 달러표시) (달러),1인당 가계총처분가능소득(명목 달러표시) (달러),1인당 가계총처분가능소득(명목 달러표시) (달러)
"시점",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"1953",47.7,,,13.5,,,48.3,,,13.6,,,42.6,,,46.7,,,50.6,,,0.0,,,0.2,,,65.7,,,0.2,,,66.5,,,0.0,,,0.0,,
"1954",66.4,18.6,39.0,14.6,1.1,8.0,67.0,18.7,38.8,14.7,1.1,7.8,58.7,16.1,37.7,64.4,17.7,37.9,69.5,18.8,37.2,0.0,,,0.3,0.1,34.8,69.0,3.3,5.0,0.3,0.1,33.3,69.7,3.2,4.8,0.0,,,0.0,,
"1955",114.5,48.1,72.4,13.9,-0.6,-4.3,115.9,48.9,72.9,14.1,-0.6,-3.9,101.6,42.9,73.0,111.0,46.6,72.4,120.6,51.2,73.6,0.0,,,0.5,0.2,71.0,64.2,-4.8,-6.9,0.5,0.2,65.6,65.0,-4.6,-6.6,0.0,,,0.0,,
"1956",151.9,37.4,32.7,14.5,0.6,4.3,153.4,37.5,32.3,14.7,0.6,4.0,135.5,34.0,33.4,155.7,44.7,40.2,167.6,47.0,39.0,0.0,,,0.7,0.2,28.3,65.1,0.9,1.3,0.7,0.2,30.2,65.7,0.7,1.0,0.0,,,0.0,,
"1957",198.9,47.1,31.0,16.8,2.3,15.6,200.5,47.1,30.7,17.0,2.3,15.5,176.1,40.6,29.9,201.5,45.7,29.4,216.3,48.7,29.0,0.0,,,0.9,0.2,27.9,73.2,8.1,12.4,0.9,0.2,26.1,73.8,8.1,12.2,0.0,,,0.0,,
"1958",208.2,9.3,4.7,19.1,2.3,13.4,209.8,9.3,4.6,19.2,2.3,13.4,181.8,5.7,3.2,209.9,8.5,4.2,225.4,9.1,4.2,0.0,,,0.9,0.0,1.1,80.7,7.5,10.2,0.9,0.0,2.3,81.3,7.5,10.2,0.0,,,0.0,,
"1959",221.5,13.4,6.4,19.9,0.8,4.1,223.3,13.5,6.4,20.0,0.8,4.1,189.3,7.6,4.2,219.7,9.8,4.7,237.5,12.1,5.3,0.0,,,0.9,0.0,3.4,81.7,1.0,1.2,0.9,0.0,3.4,82.3,1.0,1.2,0.0,,,0.0,,
"1960",250.8,29.2,13.2,19.9,0.1,0.5,253.0,29.7,13.3,20.1,0.1,0.6,215.1,25.8,13.6,252.0,32.2,14.7,271.2,33.7,14.2,0.0,,,1.0,0.1,9.9,79.7,-1.9,-2.3,1.0,0.1,9.8,80.5,-1.8,-2.2,0.0,,,0.0,,
"1961",302.9,52.2,20.8,21.7,1.7,8.6,306.7,53.6,21.2,21.9,1.8,8.9,263.4,48.2,22.4,305.0,53.1,21.1,329.3,58.1,21.4,0.0,,,1.2,0.2,18.0,84.0,4.3,5.4,1.2,0.2,17.8,85.1,4.6,5.7,0.0,,,0.0,,
