"시점",국내총생산(명목 원화표시) (십억원),국내총생산(명목 달러표시) (억달러),국민총소득(명목 원화표시) (십억원),국민총소득(명목 달러표시) (억달러),요소비용국민소득(명목) (십억원),국민처분가능소득(명목) (십억원),국민총처분가능소득(명목) (십억원),가계총처분가능소득(명목) (십억원),1인당 국내총생산(명목 원화표시) (만원),1인당 국내총생산(명목 달러표시) (달러),1인당 국민총소득(명목 원화표시) (만원),1인당 국민총소득(명목 달러표시) (달러),1인당 가계총처분가능소득(명목 원화표시) (만원),1인당 가계총처분가능소득(명목 달러표시) (달러),국내총생산(실질성장률) (%),농림어업 (%),광공업 (%),(제조업) (%),전기 가스 및 수도사업 (%),건설업 (%),서비스업 (%),순생산물세 (%),국내총소득 (%),국민총소득 (%),최종소비지출(실질증감률) (%),민간 (%),정부 (%),총고정자본형성 (%),총고정자본형성(민간) (%),총고정자본형성(정부) (%),건설투자 (%),(건물건설) (%),(토목건설) (%),설비투자 (%),(기계류) (%),(운송장비) (%),지식재산생산물투자 (%),재화와 서비스의 수출 (%),(재화) (%),재화와 서비스의 수입 (%),(재화) (%),농림어업(생산구조-명목) (%),광공업 (%),(제조업) (%),전기 가스 및 수도사업 (%),건설업 (%),서비스업 (%),최종소비지출(지출구조-명목) (%),민간 (%),정부 (%),총고정자본형성 (%),재화와 서비스의 수출 (%),(공제)재화와 서비스의 수입 (%),피용자보수 (%),기업 및 재산소득 (%),고정자본소모 (%),생산 및 수입세 (공제)보조금 (%),가계 (%),기업 (%),정부 (%),피용자보수 (%),기업 및 재산소득 (%),고정자본소모 (%),생산 및 수입세 (공제)보조금 (%),국외순수취경상이전 (%),가계 (%),기업 (%),정부 (%),가계 (%),기업 (%),정부 (%),피용자보수비율 (%),실질 가계총처분가능소득 (십억원),총저축률 (%),민간 (%),(가계 및 비영리단체) (%),(기업) (%),정부 (%),국내총투자율 (%),(국내총고정투자율) (%),(가계순저축률) (%),수출입의 대 GNI 비율(명목) (%),총수출 (%),(재화) (%),(서비스) (%),총수입 (%),(재화) (%),(서비스) (%),GDP 디플레이터 (2020=100),(등락률) (%)
"1953",47.7,13.5,48.3,13.6,42.6,46.7,50.6,0.0,0.2,65.7,0.2,66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6,9.0,7.9,0.4,2.2,39.8,94.5,86.5,8.0,7.3,1.7,9.7,24.1,64.2,8.1,3.6,0.0,0.0,0.0,23.0,61.2,7.7,3.5,4.6,0.0,0.0,0.0,0.0,0.0,0.0,27.3,0.0,10.9,0.0,0.0,0.0,0.0,14.7,6.9,4.6,12.5,2.9,1.5,0.3,9.6,9.5,0.2,0.222,0.0
"1954",66.4,14.6,67.0,14.7,58.7,64.4,69.5,0.0,0.3,69.0,0.3,69.7,0.0,0.0,7.5,9.0,10.7,13.5,26.9,21.6,4.3,5.6,7.1,6.9,6.6,7.3,-0.4,27.6,0.0,0.0,22.4,0.0,0.0,42.5,0.0,0.0,43.7,-38.4,-36.8,-28.7,-29.5,41.4,11.5,10.4,0.4,2.7,44.1,98.5,88.2,10.3,9.3,1.0,7.2,28.6,59.0,7.5,4.9,0.0,0.0,0.0,27.6,57.0,7.3,4.7,3.5,0.0,0.0,0.0,0.0,0.0,0.0,32.6,0.0,5.9,0.0,0.0,0.0,0.0,11.0,8.8,0.2,9.1,2.0,0.9,0.1,7.1,7.0,0.1,0.287,29.3
"1955",114.5,13.9,115.9,14.1,101.6,111.0,120.6,0.0,0.5,64.2,0.5,65.0,0.0,0.0,5.6,1.9,16.3,16.9,-0.4,-0.2,6.0,12.0,7.3,7.2,9.1,9.7,3.8,18.4,0.0,0.0,12.7,0.0,0.0,36.1,0.0,0.0,15.2,-7.2,-29.6,34.3,34.6,46.0,11.4,10.3,0.4,3.1,39.0,96.5,87.7,8.8,10.4,1.3,9.9,27.8,59.9,8.3,4.1,0.0,0.0,0.0,26.7,57.5,7.9,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,31.7,0.0,8.4,0.0,0.0,0.0,0.0,11.7,9.9,3.3,12.3,2.5,0.7,0.6,9.7,9.6,0.1,0.469,63.4
"1956",151.9,14.5,153.4,14.7,135.5,155.7,167.6,0.0,0.7,65.1,0.7,65.7,0.0,0.0,0.7,-5.8,14.8,16.1,15.1,-7.1,4.0,6.5,-0.8,-0.8,7.5,7.7,6.0,7.3,0.0,0.0,-6.7,0.0,0.0,44.4,0.0,0.0,5.4,1.2,43.2,16.5,16.1,48.7,11.6,10.4,0.2,2.9,36.7,103.0,93.8,9.2,10.4,1.2,13.0,26.4,62.0,7.8,3.9,0.0,0.0,0.0,24.1,56.7,7.1,3.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,29.9,0.0,6.7,0.0,0.0,0.0,0.0,8.3,9.4,-3.1,15.1,2.2,0.9,0.3,12.9,12.5,0.4,0.618,31.8
"1957",198.9,16.8,200.5,17.0,176.1,201.5,216.3,0.0,0.9,73.2,0.9,73.8,0.0,0.0,9.4,9.9,10.5,8.2,15.8,25.0,7.1,9.0,10.4,10.4,4.4,4.7,1.6,20.6,0.0,0.0,25.2,0.0,0.0,12.5,0.0,0.0,18.2,23.2,-22.8,22.6,2.7,46.9,11.3,9.7,0.5,3.5,37.8,95.6,84.8,10.8,10.8,1.2,11.5,27.5,60.4,7.4,4.8,0.0,0.0,0.0,25.5,55.9,6.9,4.4,7.3,0.0,0.0,0.0,0.0,0.0,0.0,31.3,0.0,12.1,0.0,0.0,0.0,0.0,14.3,9.9,4.9,13.4,2.0,0.6,0.6,11.4,9.9,1.5,0.740,19.7
"1958",208.2,19.1,209.8,19.2,181.8,209.9,225.4,0.0,0.9,80.7,0.9,81.3,0.0,0.0,6.7,8.3,9.7,10.8,25.3,2.4,3.8,7.3,6.8,6.8,8.3,8.9,3.6,-2.8,0.0,0.0,0.6,0.0,0.0,-12.4,0.0,0.0,27.9,18.5,-11.2,-13.7,-12.0,42.7,12.7,11.0,0.8,3.3,40.4,97.6,84.9,12.6,10.3,1.5,10.3,30.5,56.1,7.4,6.0,0.0,0.0,0.0,28.4,52.3,6.9,5.6,6.9,0.0,0.0,0.0,0.0,0.0,0.0,35.2,0.0,9.9,0.0,0.0,0.0,0.0,11.5,9.5,1.5,12.5,2.3,0.5,1.0,10.2,9.0,1.2,0.726,-1.9
"1959",221.5,19.9,223.3,20.0,189.3,219.7,237.5,0.0,0.9,81.7,0.9,82.3,0.0,0.0,5.7,0.3,11.1,10.2,18.7,21.3,7.5,9.4,5.3,5.3,6.1,6.9,0.8,9.1,0.0,0.0,18.0,0.0,0.0,-14.4,0.0,0.0,36.1,15.8,14.5,-18.8,-20.4,36.0,14.1,12.1,0.6,3.5,45.8,98.0,84.0,13.9,11.4,1.9,9.8,34.0,50.8,7.9,7.3,0.0,0.0,0.0,32.0,47.8,7.5,6.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,40.1,0.0,8.6,0.0,0.0,0.0,0.0,10.1,10.6,-0.8,12.4,2.7,0.7,1.2,9.7,8.5,1.2,0.731,0.7
"1960",250.8,19.9,253.0,20.1,215.1,252.0,271.2,0.0,1.0,79.7,1.0,80.5,0.0,0.0,2.4,-1.4,9.9,7.4,-1.8,-1.9,3.0,5.1,2.3,2.3,1.6,1.4,3.1,6.8,0.0,0.0,1.8,0.0,0.0,22.3,0.0,0.0,-5.1,26.2,66.6,14.0,12.2,39.2,14.7,12.3,0.6,3.3,42.3,99.1,84.9,14.2,11.2,2.6,11.9,32.7,52.3,7.6,7.4,0.0,0.0,0.0,30.5,48.8,7.1,6.9,6.7,0.0,0.0,0.0,0.0,0.0,0.0,38.4,0.0,8.4,0.0,0.0,0.0,0.0,9.8,10.4,-3.1,15.3,3.5,1.4,1.2,11.8,10.3,1.5,0.808,10.5
"1961",302.9,21.7,306.7,21.9,263.4,305.0,329.3,0.0,1.2,84.0,1.2,85.1,0.0,0.0,6.9,14.9,5.6,5.5,7.0,9.6,1.0,0.1,6.0,5.8,2.2,2.5,0.6,6.7,0.0,0.0,9.7,0.0,0.0,-1.4,0.0,0.0,11.5,35.3,23.1,-8.6,-7.3,41.0,14.8,12.7,1.0,3.2,40.1,96.9,83.7,13.2,11.7,4.0,13.9,30.5,55.3,7.9,6.2,0.0,0.0,0.0,28.4,51.5,7.4,5.8,6.9,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.0,10.9,0.0,0.0,0.0,0.0,11.8,10.8,-1.3,19.0,5.2,1.7,2.2,13.7,11.7,2.0,0.913,13.0
"1962",367.5,23.9,371.7,24.2,316.2,367.5,395.3,0.0,1.4,90.3,1.4,91.3,0.0,0.0,3.9,-6.3,16.3,15.2,25.9,14.5,7.6,9.2,4.0,4.1,9.1,9.9,4.0,29.6,0.0,0.0,26.3,0.0,0.0,37.6,0.0,0.0,18.3,15.8,33.9,35.9,39.7,39.3,14.9,12.6,1.1,3.2,41.6,96.5,83.0,13.5,13.8,3.9,15.5,31.5,53.6,7.5,7.5,0.0,0.0,0.0,29.6,50.4,7.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,10.3,0.0,0.0,0.0,0.0,13.3,12.8,-2.0,20.3,4.9,1.9,1.9,15.4,13.5,1.9,1.066,16.8
"1963",521.0,28.2,525.7,28.4,462.4,517.9,550.5,0.0,1.9,103.3,1.9,104.2,0.0,0.0,9.0,9.6,14.6,16.1,12.6,17.3,5.6,9.8,11.3,11.3,4.5,4.3,5.6,25.4,0.0,0.0,22.3,0.0,0.0,33.9,0.0,0.0,3.0,14.3,48.6,24.8,31.1,45.4,15.5,13.6,0.8,2.8,35.5,90.9,80.4,10.5,13.5,3.9,14.6,27.4,60.5,6.2,5.8,0.0,0.0,0.0,26.2,57.8,5.9,5.6,4.5,0.0,0.0,0.0,0.0,0.0,0.0,31.2,0.0,14.0,0.0,0.0,0.0,0.0,18.0,12.8,4.6,19.3,4.8,2.7,1.2,14.5,12.9,1.6,1.386,30.0
"1964",743.5,29.9,751.4,30.2,672.1,736.0,781.7,0.0,2.7,106.7,2.7,107.8,0.0,0.0,9.4,16.0,10.2,9.8,22.9,5.6,1.3,5.8,7.9,7.9,7.6,8.6,0.0,-6.2,0.0,0.0,4.3,0.0,0.0,-26.2,0.0,0.0,0.7,29.1,36.9,-24.9,-26.2,48.3,16.7,14.9,0.8,2.6,31.5,90.8,82.6,8.2,11.5,4.9,12.3,25.6,63.9,6.1,4.5,0.0,0.0,0.0,24.6,61.4,5.8,4.3,3.9,0.0,0.0,0.0,0.0,0.0,0.0,28.6,0.0,13.7,0.0,0.0,0.0,0.0,14.9,11.0,5.1,18.2,6.0,3.6,1.3,12.2,10.7,1.5,1.808,30.4
"1965",836.8,31.2,848.5,31.7,745.9,828.4,883.4,0.0,2.9,108.8,3.0,110.3,0.0,0.0,7.3,1.2,20.8,22.4,22.2,24.3,6.9,13.9,7.8,7.9,7.0,7.0,6.5,28.9,0.0,0.0,30.2,0.0,0.0,26.1,0.0,0.0,26.2,36.7,38.8,13.6,13.8,39.4,20.2,18.0,1.1,3.2,36.1,92.2,83.3,8.9,15.1,7.1,14.2,28.6,59.3,6.5,5.6,0.0,0.0,0.0,27.5,56.9,6.2,5.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,32.6,0.0,12.7,0.0,0.0,0.0,0.0,14.1,14.3,0.7,22.5,8.4,5.2,1.8,14.1,12.3,1.7,1.896,4.9
"1966",1073.7,38.0,1096.6,38.8,957.6,1065.9,1132.0,0.0,3.7,129.1,3.7,131.9,0.0,0.0,12.0,8.9,16.9,18.4,24.2,21.4,11.2,14.0,11.6,12.9,7.1,6.6,11.5,57.7,0.0,0.0,26.3,0.0,0.0,136.7,0.0,0.0,22.7,42.6,31.9,49.6,54.3,36.5,19.8,17.8,1.2,3.4,39.0,88.0,78.4,9.6,20.2,8.4,18.1,29.9,57.4,6.0,6.7,0.0,0.0,0.0,28.9,55.6,5.8,6.4,3.1,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0.0,16.5,0.0,0.0,0.0,0.0,20.7,19.2,5.9,28.3,10.4,5.7,2.5,17.9,15.9,1.8,2.172,14.6
"1967",1324.2,44.2,1364.4,45.5,1181.3,1316.2,1398.0,0.0,4.4,146.6,4.5,151.1,0.0,0.0,9.2,-5.1,22.1,23.5,28.3,18.9,13.0,16.8,9.2,10.5,9.0,8.9,9.3,26.2,0.0,0.0,21.9,0.0,0.0,32.0,0.0,0.0,31.9,30.2,25.4,30.4,28.6,32.3,20.2,18.1,1.2,3.6,42.7,88.7,78.9,9.8,21.9,9.0,19.5,33.2,53.4,6.0,7.4,0.0,0.0,0.0,32.4,52.1,5.8,7.2,2.4,0.0,0.0,0.0,0.0,0.0,0.0,38.3,0.0,15.9,0.0,0.0,0.0,0.0,21.1,20.8,3.1,31.2,12.0,6.0,2.8,19.2,16.9,2.0,2.454,13.0
