"시점",전국,전국,전국,전국,전국,전국,전국,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,혼인연차별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,맞벌이여부별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별,주택소유물건수별
"시점",소계,소계,소계,소계,소계,소계,소계,혼인 1년차,혼인 1년차,혼인 1년차,혼인 1년차,혼인 1년차,혼인 1년차,혼인 1년차,혼인 2년차,혼인 2년차,혼인 2년차,혼인 2년차,혼인 2년차,혼인 2년차,혼인 2년차,혼인 3년차,혼인 3년차,혼인 3년차,혼인 3년차,혼인 3년차,혼인 3년차,혼인 3년차,혼인 4년차,혼인 4년차,혼인 4년차,혼인 4년차,혼인 4년차,혼인 4년차,혼인 4년차,혼인 5년차,혼인 5년차,혼인 5년차,혼인 5년차,혼인 5년차,혼인 5년차,혼인 5년차,맞벌이,맞벌이,맞벌이,맞벌이,맞벌이,맞벌이,맞벌이,외벌이,외벌이,외벌이,외벌이,외벌이,외벌이,외벌이,기타,기타,기타,기타,기타,기타,기타,주택 미소유,주택 미소유,주택 미소유,주택 미소유,주택 미소유,주택 미소유,주택 미소유,주택 소유(소계),주택 소유(소계),주택 소유(소계),주택 소유(소계),주택 소유(소계),주택 소유(소계),주택 소유(소계),1건,1건,1건,1건,1건,1건,1건,2건,2건,2건,2건,2건,2건,2건,3건이상,3건이상,3건이상,3건이상,3건이상,3건이상,3건이상
"시점",합계,12개월미만,12~24개월 미만,24~36개월 미만,36~48개월 미만,48~60개월 미만,60개월 이상,합계,12개월미만,12~24개월 미만,24~36개월 미만,36~48개월 미만,48~60개월 미만,60개월 이상,합계,12개월미만,12~24개월 미만,24~36개월 미만,36~48개월 미만,48~60개월 미만,60개월 이상,합계,12개월미만,12~24개월 미만,24~36개월 미만,36~48개월 미만,48~60개월 미만,60개월 이상,합계,12개월미만,12~24개월 미만,24~36개월 미만,36~48개월 미만,48~60개월 미만,60개월 이상,합계,12개월미만,12~24개월 미만,24~36개월 미만,36~48개월 미만,48~60개월 미만,60개월 이상,합계,12개월미만,12~24개월 미만,24~36개월 미만,36~48개월 미만,48~60개월 미만,60개월 이상,합계,12개월미만,12~24개월 미만,24~36개월 미만,36~48개월 미만,48~60개월 미만,60개월 이상,합계,12개월미만,12~24개월 미만,24~36개월 미만,36~48개월 미만,48~60개월 미만,60개월 이상,합계,12개월미만,12~24개월 미만,24~36개월 미만,36~48개월 미만,48~60개월 미만,60개월 이상,합계,12개월미만,12~24개월 미만,24~36개월 미만,36~48개월 미만,48~60개월 미만,60개월 이상,합계,12개월미만,12~24개월 미만,24~36개월 미만,36~48개월 미만,48~60개월 미만,60개월 이상,합계,12개월미만,12~24개월 미만,24~36개월 미만,36~48개월 미만,48~60개월 미만,60개월 이상,합계,12개월미만,12~24개월 미만,24~36개월 미만,36~48개월 미만,48~60개월 미만,60개월 이상
"2015",336344,15508,122169,115133,38511,12754,32269,27666,981,7867,7590,3836,2224,5168,31597,2003,9777,7537,3809,2196,6275,54024,3355,25553,12653,3639,2109,6715,94873,4233,37358,36940,7139,2180,7023,128184,4936,41614,50413,20088,4045,7088,112016,5635,41383,38209,13092,4106,9591,185132,8391,67114,64467,20806,6660,17694,39196,1482,13672,12457,4613,1988,4984,168980,7864,62258,56324,18568,6468,17498,167364,7644,59911,58809,19943,6286,14771,131153,6171,47483,46550,15305,4588,11056,27777,1144,9609,9508,3538,1235,2743,8434,329,2819,2751,1100,463,972
"2016",321646,15512,117625,108638,36472,12296,31103,25990,915,7320,7179,3701,2040,4835,31185,2021,9895,7241,3706,2212,6110,51350,3174,23992,11866,3653,2141,6524,88406,4448,35922,33030,6242,2011,6753,124715,4954,40496,49322,19170,3892,6881,111605,5947,41578,38016,12541,4096,9427,171190,8085,62481,58410,19323,6222,16669,38851,1480,13566,12212,4608,1978,5007,159534,7735,59283,52456,17397,6130,16533,162112,7777,58342,56182,19075,6166,14570,125810,6201,45743,44078,14568,4442,10778,27649,1227,9747,9296,3388,1244,2747,8653,349,2852,2808,1119,480,1045
"2017",299218,15112,110789,99110,33069,11660,29478,24529,896,6906,6852,3501,1930,4444,29193,1844,9288,6865,3576,2015,5605,48818,3081,22492,11230,3565,2138,6312,81141,4145,33056,29281,6110,2066,6483,115537,5146,39047,44882,16317,3511,6634,105480,5893,39890,34683,11624,3968,9422,158531,7794,58466,53513,17343,5838,15577,35207,1425,12433,10914,4102,1854,4479,145838,7474,54740,46990,15480,5680,15474,153380,7638,56049,52120,17589,5980,14004,118414,6059,43850,40517,13402,4283,10303,26336,1224,9325,8792,3083,1200,2712,8630,355,2874,2811,1104,497,989
"2018",273964,14163,100125,89532,31400,11157,27587,23834,823,6620,6814,3389,1887,4301,27172,1698,8553,6593,3416,1915,4997,44375,2846,20027,10441,3417,1944,5700,74322,4010,29430,26728,5859,2053,6242,104261,4786,35495,38956,15319,3358,6347,102479,5935,38109,33205,11657,4109,9464,141003,7019,51395,46898,16070,5468,14153,30482,1209,10621,9429,3673,1580,3970,131824,6922,49191,41621,14369,5281,14440,142140,7241,50934,47911,17031,5876,13147,109228,5735,39662,37126,12930,4199,9576,24850,1138,8659,8207,3044,1195,2607,8062,368,2613,2578,1057,482,964
"2019",249505,13692,88906,80522,29987,10707,25691,22078,733,6268,6133,3227,1765,3952,26256,1724,8014,6550,3285,1858,4825,39632,2679,17113,9581,3280,1844,5135,66382,3822,26118,23315,5578,1882,5667,95157,4734,31393,34943,14617,3358,6112,95480,5874,34507,30711,11353,3989,9046,126163,6723,44853,41217,15168,5211,12991,27862,1095,9546,8594,3466,1507,3654,119401,6663,43621,37123,13749,5026,13219,130104,7029,45285,43399,16238,5681,12472,99631,5532,35062,33576,12320,4025,9116,23072,1187,7865,7483,2909,1175,2453,7401,310,2358,2340,1009,481,903
"2020",222588,13084,78750,70470,27115,9864,23305,19496,640,5424,5528,2886,1546,3472,24012,1582,7440,5805,3097,1718,4370,36990,2776,15513,8884,3136,1773,4908,57523,3576,22212,19919,5014,1760,5042,84567,4510,28161,30334,12982,3067,5513,89644,5989,32102,28272,10826,3842,8613,109509,6150,38825,34972,13267,4737,11558,23435,945,7823,7226,3022,1285,3134,107052,6433,38911,32754,12549,4524,11881,115536,6651,39839,37716,14566,5340,11424,88755,5311,30976,29188,11068,3838,8374,20283,1058,6813,6449,2630,1075,2258,6498,282,2050,2079,868,427,792
"2021",200802,12860,70801,62108,24516,9306,21211,18183,687,5127,5004,2644,1517,3204,21418,1454,6630,5226,2793,1510,3805,33625,2694,14065,7798,2969,1646,4453,53429,3768,20622,17820,4708,1698,4813,74147,4257,24357,26260,11402,2935,4936,85673,6265,30589,26425,10321,3822,8251,94872,5775,33424,29560,11529,4295,10289,20257,820,6788,6123,2666,1189,2671,97016,6430,35116,29116,11327,4240,10787,103786,6430,35685,32992,13189,5066,10424,80810,5214,28121,25810,10112,3726,7827,17661,958,5891,5505,2335,1001,1971,5315,258,1673,1677,742,339,626
