"신혼부부 특성별(1)","신혼부부 특성별(2)",시점,합계,12개월미만,12~24개월 미만,24~36개월 미만,36~48개월 미만,48~60개월 미만,60개월 이상
"전국","소계",2015,336344,15508,122169,115133,38511,12754,32269
"전국","소계",2016,321646,15512,117625,108638,36472,12296,31103
"전국","소계",2017,299218,15112,110789,99110,33069,11660,29478
"전국","소계",2018,273964,14163,100125,89532,31400,11157,27587
"전국","소계",2019,249505,13692,88906,80522,29987,10707,25691
"전국","소계",2020,222588,13084,78750,70470,27115,9864,23305
"전국","소계",2021,200802,12860,70801,62108,24516,9306,21211
"전국","소계",2022,183490,12917,64719,55395,22110,8691,19658
"전국","소계",2023,164933,12285,57968,48862,19716,8029,18073
"맞벌이여부별","맞벌이",2015,112016,5635,41383,38209,13092,4106,9591
"맞벌이여부별","맞벌이",2016,111605,5947,41578,38016,12541,4096,9427
"맞벌이여부별","맞벌이",2017,105480,5893,39890,34683,11624,3968,9422
"맞벌이여부별","맞벌이",2018,102479,5935,38109,33205,11657,4109,9464
"맞벌이여부별","맞벌이",2019,95480,5874,34507,30711,11353,3989,9046
"맞벌이여부별","맞벌이",2020,89644,5989,32102,28272,10826,3842,8613
"맞벌이여부별","맞벌이",2021,85673,6265,30589,26425,10321,3822,8251
"맞벌이여부별","맞벌이",2022,82322,6639,29264,24776,9801,3761,8081
"맞벌이여부별","맞벌이",2023,74559,6630,26625,21938,8756,3381,7229
"맞벌이여부별","외벌이",2015,185132,8391,67114,64467,20806,6660,17694
"맞벌이여부별","외벌이",2016,171190,8085,62481,58410,19323,6222,16669
"맞벌이여부별","외벌이",2017,158531,7794,58466,53513,17343,5838,15577
"맞벌이여부별","외벌이",2018,141003,7019,51395,46898,16070,5468,14153
"맞벌이여부별","외벌이",2019,126163,6723,44853,41217,15168,5211,12991
"맞벌이여부별","외벌이",2020,109509,6150,38825,34972,13267,4737,11558
"맞벌이여부별","외벌이",2021,94872,5775,33424,29560,11529,4295,10289
"맞벌이여부별","외벌이",2022,83698,5574,29740,25306,9993,3899,9186
"맞벌이여부별","외벌이",2023,73173,4914,25688,21830,8687,3606,8448
"맞벌이여부별","기타",2015,39196,1482,13672,12457,4613,1988,4984
"맞벌이여부별","기타",2016,38851,1480,13566,12212,4608,1978,5007
"맞벌이여부별","기타",2017,35207,1425,12433,10914,4102,1854,4479
"맞벌이여부별","기타",2018,30482,1209,10621,9429,3673,1580,3970
"맞벌이여부별","기타",2019,27862,1095,9546,8594,3466,1507,3654
"맞벌이여부별","기타",2020,23435,945,7823,7226,3022,1285,3134
"맞벌이여부별","기타",2021,20257,820,6788,6123,2666,1189,2671
"맞벌이여부별","기타",2022,17470,704,5715,5313,2316,1031,2391
"맞벌이여부별","기타",2023,17201,741,5655,5094,2273,1042,2396
"주택소유물건수별","주택 미소유",2015,168980,7864,62258,56324,18568,6468,17498
"주택소유물건수별","주택 미소유",2016,159534,7735,59283,52456,17397,6130,16533
"주택소유물건수별","주택 미소유",2017,145838,7474,54740,46990,15480,5680,15474
"주택소유물건수별","주택 미소유",2018,131824,6922,49191,41621,14369,5281,14440
"주택소유물건수별","주택 미소유",2019,119401,6663,43621,37123,13749,5026,13219
"주택소유물건수별","주택 미소유",2020,107052,6433,38911,32754,12549,4524,11881
"주택소유물건수별","주택 미소유",2021,97016,6430,35116,29116,11327,4240,10787
"주택소유물건수별","주택 미소유",2022,89593,6551,32522,26267,10291,3941,10021
"주택소유물건수별","주택 미소유",2023,78807,6105,28550,22648,8923,3604,8977
"주택소유물건수별","주택 소유(소계)",2015,167364,7644,59911,58809,19943,6286,14771
"주택소유물건수별","주택 소유(소계)",2016,162112,7777,58342,56182,19075,6166,14570
"주택소유물건수별","주택 소유(소계)",2017,153380,7638,56049,52120,17589,5980,14004
"주택소유물건수별","주택 소유(소계)",2018,142140,7241,50934,47911,17031,5876,13147
"주택소유물건수별","주택 소유(소계)",2019,130104,7029,45285,43399,16238,5681,12472
"주택소유물건수별","주택 소유(소계)",2020,115536,6651,39839,37716,14566,5340,11424
"주택소유물건수별","주택 소유(소계)",2021,103786,6430,35685,32992,13189,5066,10424
"주택소유물건수별","주택 소유(소계)",2022,93897,6366,32197,29128,11819,4750,9637
"주택소유물건수별","주택 소유(소계)",2023,86126,6180,29418,26214,10793,4425,9096
"주택소유물건수별","1건",2015,131153,6171,47483,46550,15305,4588,11056
"주택소유물건수별","1건",2016,125810,6201,45743,44078,14568,4442,10778
"주택소유물건수별","1건",2017,118414,6059,43850,40517,13402,4283,10303
"주택소유물건수별","1건",2018,109228,5735,39662,37126,12930,4199,9576
"주택소유물건수별","1건",2019,99631,5532,35062,33576,12320,4025,9116
"주택소유물건수별","1건",2020,88755,5311,30976,29188,11068,3838,8374
"주택소유물건수별","1건",2021,80810,5214,28121,25810,10112,3726,7827
"주택소유물건수별","1건",2022,73177,5221,25468,22698,9011,3496,7283
"주택소유물건수별","1건",2023,66591,5091,22980,20284,8134,3231,6871
"주택소유물건수별","2건",2015,27777,1144,9609,9508,3538,1235,2743
