항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
마스에어,M73228,WUX(수난 슈오팡 국제공항),00:10,18:00,17:49,NaN,지연,항공기 정비(계획되지 않은 정비),NaN
중국동방항공,MU5051,PVG(푸동),00:10,01:16,01:05,여객,지연,항공기 연결(도착지연),NaN
카타르항공,QR8982,DOH(도하),00:35,01:11,00:52,화물,지연,항공기 연결(도착지연),NaN
산동항공,SC7683,YNT(연대),00:40,01:08,00:55,여객,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y555,JFK(뉴욕),00:50,02:55,02:33,화물,지연,항공기 연결(도착지연),NaN
산동항공,SC4617,TAO(청도),01:00,01:35,01:24,여객,지연,항공기 연결(도착지연),NaN
실크웨이웨스트항공,7L121,GYD(헤이다르 알리예프),01:00,20:28,20:18,화물,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ968,HKG(홍콩),01:10,01:45,01:27,화물,지연,NaN,NaN
에어인천,KJ2426,SZX(선전(심천)),01:10,02:21,02:02,화물,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
비엣젯항공,VJ978,PQC(푸꾸옥),01:25,02:19,02:08,여객,지연,항공기 연결(도착지연),NaN
칼리타항공,K4614,CVG(신시내티),01:45,18:24,18:16,화물,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ838,CXR(깜라인(나트랑)),02:20,02:20,03:59,여객,지연,항공기 연결(도착지연),NaN
폴라에어카고,PO927,LAX(로스앤젤레스),03:35,21:35,:,화물,취소,기타(지연코드 외),NaN
폴라에어카고,PO224,CVG(신시내티),03:35,21:35,:,화물,취소,기타(지연코드 외),NaN
대한항공,KE026,SFO(샌프란시스코),04:00,04:17,04:08,여객,지연,NaN,NaN
아시아나항공,OZ241,SEA(시애틀),04:05,04:52,04:42,화물,지연,항공기 연결(도착지연),NaN
대한항공,KE012,LAX(로스앤젤레스),04:30,04:47,04:40,여객,지연,NaN,NaN
비엣젯항공,VJ836,CXR(깜라인(나트랑)),04:30,07:29,07:21,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
베트남항공,VN440,CXR(깜라인(나트랑)),04:30,05:03,04:55,여객,지연,공표된 최소지상시간(GT) 대비 운항스케줄 상 GT 부족,NaN
대한항공,KE624,MNL(마닐라),04:35,05:54,05:44,여객,지연,NaN,NaN
대한항공,KE086,JFK(뉴욕),04:45,05:11,05:02,여객,지연,NaN,NaN
아시아나항공,OZ704,MNL(마닐라),04:50,06:09,05:59,여객,지연,운송(PO) 사유 접속 지연,NaN
에어프레미아,YP132,EWR(뉴어크 리버티 국제공항),04:55,05:35,05:26,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
비엣젯항공,VJ880,DAD(다낭),05:00,05:33,05:21,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ223,JFK(뉴욕),05:10,05:33,05:23,여객,지연,ATFM(목적공항 기상),NaN
필리핀항공,PR466,MNL(마닐라),05:20,05:42,05:32,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ834,CXR(깜라인(나트랑)),05:45,06:32,06:21,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
비엣젯항공,VJ864,SGN(호찌민),05:45,07:20,07:13,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ878,DAD(다낭),06:00,09:49,09:41,여객,지연,항공기 연결(도착지연),NaN
에어부산,BX748,BKK(수안나폼(방콕)),06:05,06:56,06:46,여객,지연,NaN,NaN
대한항공,KE626,MNL(마닐라),06:15,06:31,06:24,여객,지연,NaN,NaN
폴란드항공,LO97,WAW(바르샤바),06:20,07:25,07:14,여객,지연,"운항통제(항로변경, 회항, 항공기 교체)",NaN
제주항공,7C4104,PQC(푸꾸옥),06:25,07:42,07:31,여객,지연,NaN,NaN
진에어,LJ038,CRK(클라크 국제공항),06:30,07:54,07:47,여객,지연,"공항, 관제 사유 접속 지연",NaN
베트남항공,VN430,DAD(다낭),06:40,07:15,07:07,여객,지연,승무원 교체(운항 또는 승무원 전체),NaN
베트남항공,VN408,SGN(호찌민),06:40,07:03,06:54,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
타이항공,TG656,BKK(수안나폼(방콕)),06:55,07:16,07:05,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
대한항공,KE476,SGN(호찌민),07:00,07:29,07:17,여객,지연,영업 사유 접속 지연,NaN
대한항공,KE690,PNH(프놈펜),07:00,07:24,07:16,여객,지연,NaN,NaN
아시아나항공,OZ708,CRK(클라크 국제공항),07:05,07:52,07:38,여객,지연,NaN,NaN
아시아나항공,OZ776,FRA(프랑크푸르트),07:05,11:53,11:47,화물,지연,항공기 연결(도착지연),NaN
에어서울,RS512,DAD(다낭),07:05,07:22,07:11,여객,지연,NaN,NaN
아시아나항공,OZ736,SGN(호찌민),07:10,07:54,07:42,여객,지연,NaN,NaN
에어서울,RS528,CXR(깜라인(나트랑)),07:10,07:42,07:30,여객,지연,NaN,NaN
아시아나항공,OZ740,PNH(프놈펜),07:20,08:08,07:59,여객,지연,NaN,NaN
진에어,LJ088,CXR(깜라인(나트랑)),07:30,07:51,07:44,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
에어홍콩화물항공,LD128,HKG(홍콩),07:45,08:42,08:28,화물,지연,화물 연결,NaN
유피에스화물항공,5X196,ANC(앵커리지),07:55,09:05,09:03,화물,지연,항공기 연결(도착지연),NaN
대한항공,KE468,CXR(깜라인(나트랑)),07:55,08:50,08:41,여객,지연,"공항, 관제 사유 접속 지연",NaN
이스타항공,ZE562,CXR(깜라인(나트랑)),07:55,08:28,08:21,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
비엣젯항공,VJ960,HAN(노이바이(하노이)),07:55,08:10,07:59,여객,지연,항공기 연결(도착지연),NaN
진에어,LJ082,DAD(다낭),08:00,09:08,08:56,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
제주항공,7C2904,DAD(다낭),08:05,09:42,09:35,여객,지연,NaN,NaN
에어서울,RS530,CXR(깜라인(나트랑)),08:10,09:36,09:27,여객,지연,NaN,NaN
페덱스화물항공,FX5926,MEM(멤피스),08:15,08:33,08:16,화물,지연,"공항, 관제 사유 접속 지연",NaN
대한항공,KE320,CAN(광저우),08:25,08:51,08:39,화물,지연,NaN,NaN
가루다인도네시아,GA878,CGK(자카르타(수카르노 하타) 국제 공항),08:30,09:00,08:47,여객,지연,기타(여객 및 위탁수화물 관련),NaN
제주항공,7C2312,DLI(달랏),08:35,08:53,08:45,여객,지연,NaN,NaN
티웨이항공,TW128,DAD(다낭),08:35,09:23,09:15,여객,지연,NaN,NaN
폴라에어카고,PO325,LAX(로스앤젤레스),08:35,09:21,09:07,화물,지연,항공기 연결(도착지연),NaN
제주항공,7C2204,BKK(수안나폼(방콕)),08:40,09:05,08:58,여객,지연,NaN,NaN
터키항공,TK20,IST(이스탄불),08:45,09:20,09:13,여객,지연,공표된 최소지상시간(GT) 대비 운항스케줄 상 GT 부족,NaN
아시아나항공,OZ742,BKK(수안나폼(방콕)),08:50,09:40,09:29,여객,지연,NaN,NaN
티웨이항공,TW102,BKK(수안나폼(방콕)),08:55,09:29,09:20,여객,지연,NaN,NaN
페덱스화물항공,FX5434,MEM(멤피스),08:55,09:26,09:10,화물,지연,화물 연결,NaN
유피에스화물항공,5X11,SDF(루이즈빌),08:55,09:19,09:05,화물,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
폴라에어카고,PO947,CVG(신시내티),09:05,15:20,:,화물,취소,기타(지연코드 외),NaN
가루다인도네시아,GA870,DPS(덴파사(응우라 라이)),09:15,10:04,09:53,여객,지연,지상조업 사유 접속 지연,NaN
제주항공,7C2206,BKK(수안나폼(방콕)),09:20,09:54,09:47,여객,지연,NaN,NaN
칼리타항공,K4867,EHU(어저우화후),09:20,14:52,14:44,NaN,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ744,BKK(수안나폼(방콕)),09:35,09:57,09:49,여객,지연,[기상]항공로 또는 대체공항,NaN
제주항공,7C4908,CXR(깜라인(나트랑)),09:40,10:03,09:57,여객,지연,NaN,NaN
비엣젯항공,VJ862,SGN(호찌민),09:40,10:16,10:08,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE9210,LAX(로스앤젤레스),09:50,10:21,10:10,화물,지연,NaN,NaN
싱가폴항공,SQ612,SIN(싱가포르),09:50,10:28,10:21,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
대한항공,KE362,HAN(노이바이(하노이)),10:00,10:10,09:59,화물,지연,NaN,NaN
타이에어아시아엑스,XJ700,BKK(수안나폼(방콕)),10:05,13:40,13:32,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ390,HAN(노이바이(하노이)),10:35,16:44,16:35,화물,지연,"공항, 관제 사유 접속 지연",NaN
진에어,LJ262,FUK(후쿠오카),10:55,11:14,11:03,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ115,KIX(간사이),11:00,11:19,11:10,여객,지연,NaN,NaN
중국동방항공,MU2039,TAO(청도),11:00,11:17,11:09,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
아틀라스화물항공,5Y8185,ORD(시카고),11:10,11:47,11:30,화물,지연,항공기 연결(도착지연),NaN
중국동방항공,MU579,NKG(남경),11:15,12:42,12:34,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
유피에스화물항공,5X64,ANC(앵커리지),11:15,12:00,11:53,화물,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
중국동방항공,MU5071,HGH(항저우),11:25,12:14,12:06,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
페덱스화물항공,FX5154,MEM(멤피스),11:25,11:44,11:27,화물,지연,수속 지연(우편 단독의 경우),NaN
아시아나항공,OZ368,PVG(푸동),11:30,12:07,12:01,여객,지연,항공기 연결(도착지연),NaN
롱하오 항공,GI4203,WEH(위해),11:35,13:53,13:42,화물,지연,기타(화물 관련),NaN
중국남방항공,CZ313,PVG(푸동),11:35,11:46,11:39,여객,지연,[기상]기타 기상 악화,NaN
중국국제항공,CA123,PEK(베이징),11:35,11:55,11:48,여객,지연,"공항, 관제 사유 접속 지연",NaN
폴라에어카고,PO947,CVG(신시내티),11:45,13:00,12:51,화물,지연,항공기 연결(도착지연),NaN
홍콩익스프레스,UO618,HKG(홍콩),11:50,12:05,11:57,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
대한항공,KE896,PVG(푸동),11:55,13:25,13:16,여객,지연,NaN,NaN
중국동방항공,MU5041,PVG(푸동),11:55,12:39,12:32,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
중국국제항공,CA139,HGH(항저우),12:05,13:06,13:00,여객,지연,"공항, 관제 사유 접속 지연",NaN
진에어,LJ692F,GMP(김포),12:10,12:33,12:25,NaN,지연,항공기 연결(도착지연),NaN
필리핀에어아시아,Z2884,MNL(마닐라),12:10,13:06,12:57,여객,지연,항공기 연결(도착지연),NaN
중국동방항공,MU2033,TAO(청도),12:10,12:32,12:24,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
아틀라스화물항공,5Y8468,JFK(뉴욕),12:35,14:55,14:48,화물,지연,항공기 연결(도착지연),NaN
대한항공,KE8284,ORD(시카고),12:40,15:38,15:28,화물,지연,NaN,NaN
아시아나항공,OZ121,NGO(나고야),13:00,13:13,13:04,여객,지연,[기상]항공로 또는 대체공항,NaN
이스타항공,ZE612,KIX(간사이),13:00,14:06,13:58,여객,지연,항공기 연결(도착지연),NaN
중국국제항공,CA143,YNJ(연길),13:10,14:11,14:02,여객,지연,"공항, 관제 사유 접속 지연",NaN
중국동방항공,MU2017,WEH(위해),13:15,13:30,13:20,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
중국동방항공,MU5061,PVG(푸동),13:30,14:30,14:18,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
칼리타항공,K4917,PVG(푸동),13:30,15:50,15:43,NaN,지연,항공기 연결(도착지연),NaN
진에어,LJ204,NRT(도쿄/나리타),13:40,14:41,14:31,여객,지연,항공기 연결(도착지연),NaN
중국남방항공,CZ3089,SZX(선전(심천)),13:40,15:17,15:07,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
심천항공,ZH633,SZX(선전(심천)),13:40,14:25,14:15,여객,지연,"공항, 관제 사유 접속 지연",NaN
아틀라스화물항공,5Y8192,DFW(댈러스),13:45,15:33,15:25,NaN,지연,항공기 연결(도착지연),NaN
홍콩익스프레스,UO616,HKG(홍콩),13:45,14:18,14:06,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
중국남방항공,CZ337,CAN(광저우),13:55,15:35,15:24,여객,지연,[기상]기타 기상 악화,NaN
이스타항공,ZE882,TPE(타이완 타오위안 국제 공항),13:55,14:19,14:08,여객,지연,항공기 연결(도착지연),NaN
에어로케이항공(주),RF325,NRT(도쿄/나리타),14:20,14:38,14:26,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE894,PVG(푸동),14:20,15:04,14:57,여객,지연,NaN,NaN
아시아나항공,OZ932,HAN(노이바이(하노이)),14:25,16:01,15:51,화물,지연,"공항, 관제 사유 접속 지연",NaN
아시아나항공,OZ362,PVG(푸동),14:30,15:20,15:05,여객,지연,NaN,NaN
아시아나항공,OZ562,FCO(로마),14:40,15:12,15:00,여객,지연,NaN,NaN
대한항공,KE538,FRA(프랑크푸르트),14:40,16:09,15:57,화물,지연,NaN,NaN
중국동방항공,MU267,YNT(연대),14:55,15:10,15:09,여객,지연,항공기 연결(도착지연),NaN
델타항공,DL171,MSP(미니애폴리스),15:20,15:38,15:30,여객,지연,항공기 연결(도착지연),NaN
중국동방항공,MU5033,PVG(푸동),15:20,16:11,16:00,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
중국남방항공,CZ3061,CAN(광저우),15:25,16:06,15:56,여객,지연,[기상]기타 기상 악화,NaN
제주항공,7C8802,SJW(석가장),15:25,16:31,16:18,여객,지연,NaN,NaN
